"Date","CWSR0000SEHA"
1981-01-01,84.9
1981-02-01,85.3
1981-03-01,86
1981-04-01,86.6
1981-05-01,87.2
1981-06-01,87.6
1981-07-01,87.9
1981-08-01,88.9
1981-09-01,89.5
1981-10-01,90
1981-11-01,90.6
1981-12-01,91.3
1982-01-01,91.9
1982-02-01,92.4
1982-03-01,92.9
1982-04-01,93.3
1982-05-01,93.8
1982-06-01,94.3
1982-07-01,95.1
1982-08-01,95.5
1982-09-01,95.8
1982-10-01,96.5
1982-11-01,97
1982-12-01,97.4
1983-01-01,98
1983-02-01,98.5
1983-03-01,98.8
1983-04-01,99.2
1983-05-01,99.5
1983-06-01,99.9
1983-07-01,100.2
1983-08-01,100.6
1983-09-01,101.1
1983-10-01,101.3
1983-11-01,101.7
1983-12-01,102.1
1984-01-01,102.5
1984-02-01,102.9
1984-03-01,103.5
1984-04-01,104.3
1984-05-01,104.6
1984-06-01,105.2
1984-07-01,105.5
1984-08-01,106
1984-09-01,106.5
1984-10-01,107
1984-11-01,107.4
1984-12-01,108
1985-01-01,108.4
1985-02-01,109
1985-03-01,109.5
1985-04-01,110
1985-05-01,111.1
1985-06-01,111.6
1985-07-01,111.9
1985-08-01,112.5
1985-09-01,112.9
1985-10-01,113.7
1985-11-01,114.4
1985-12-01,114.9
1986-01-01,115.3
1986-02-01,115.5
1986-03-01,116.3
1986-04-01,117.4
1986-05-01,117.7
1986-06-01,118.1
1986-07-01,118.8
1986-08-01,118.9
1986-09-01,119.3
1986-10-01,119.9
1986-11-01,120.3
1986-12-01,120.6
1987-01-01,121.1
1987-02-01,121.5
1987-03-01,121.8
1987-04-01,122.1
1987-05-01,122.3
1987-06-01,122.5
1987-07-01,122.8
1987-08-01,123.6
1987-09-01,124
1987-10-01,124.3
1987-11-01,124.4
1987-12-01,125.1
1988-01-01,125.6
1988-02-01,126.1
1988-03-01,126.3
1988-04-01,126.5
1988-05-01,126.9
1988-06-01,127.2
1988-07-01,127.6
1988-08-01,128
1988-09-01,128.7
1988-10-01,128.7
1988-11-01,129.1
1988-12-01,129.5
1989-01-01,130
1989-02-01,130.5
1989-03-01,130.8
1989-04-01,131.2
1989-05-01,131.5
1989-06-01,132.1
1989-07-01,132.5
1989-08-01,133
1989-09-01,133.1
1989-10-01,133.9
1989-11-01,134.4
1989-12-01,134.8
1990-01-01,135.2
1990-02-01,135.5
1990-03-01,136.1
1990-04-01,136.6
1990-05-01,137.1
1990-06-01,137.7
1990-07-01,138.2
1990-08-01,138.8
1990-09-01,139.3
1990-10-01,139.8
1990-11-01,140
1990-12-01,140.5
1991-01-01,140.7
1991-02-01,141.2
1991-03-01,141.6
1991-04-01,142.1
1991-05-01,142.6
1991-06-01,142.8
1991-07-01,143.2
1991-08-01,143.2
1991-09-01,144
1991-10-01,144
1991-11-01,144.4
1991-12-01,144.7
1992-01-01,145.1
