"Date","CWSR0000SEHA"
1992-02-01,145.3
1992-03-01,146.1
1992-04-01,145.8
1992-05-01,146.1
1992-06-01,146.3
1992-07-01,146.6
1992-08-01,146.7
1992-09-01,146.8
1992-10-01,147.5
1992-11-01,148
1992-12-01,148.1
1993-01-01,148.5
1993-02-01,148.7
1993-03-01,148.7
1993-04-01,149.3
1993-05-01,149.6
1993-06-01,150.2
1993-07-01,150.2
1993-08-01,150.5
1993-09-01,150.6
1993-10-01,151
1993-11-01,151.1
1993-12-01,151.6
1994-01-01,151.9
1994-02-01,152.4
1994-03-01,152.8
1994-04-01,153
1994-05-01,153.1
1994-06-01,153.3
1994-07-01,153.7
1994-08-01,154.2
1994-09-01,154.6
1994-10-01,154.8
1994-11-01,155.3
1994-12-01,155.4
1995-01-01,155.7
1995-02-01,156
1995-03-01,156.4
1995-04-01,156.7
1995-05-01,157
1995-06-01,157.4
1995-07-01,157.6
1995-08-01,157.8
1995-09-01,158.1
1995-10-01,158.5
1995-11-01,158.8
1995-12-01,159.3
1996-01-01,159.6
1996-02-01,160
1996-03-01,160.3
1996-04-01,160.6
1996-05-01,161
1996-06-01,161.4
1996-07-01,162
1996-08-01,162.2
1996-09-01,162.6
1996-10-01,162.9
1996-11-01,163.3
1996-12-01,163.6
1997-01-01,164
1997-02-01,164.3
1997-03-01,164.7
1997-04-01,165.3
1997-05-01,165.7
1997-06-01,166.1
1997-07-01,166.6
1997-08-01,167.1
1997-09-01,167.5
1997-10-01,167.9
1997-11-01,168.3
1997-12-01,168.7
1998-01-01,169.1
1998-02-01,169.5
1998-03-01,170
1998-04-01,170.4
1998-05-01,170.9
1998-06-01,171.4
1998-07-01,171.9
1998-08-01,172.5
1998-09-01,173
1998-10-01,173.5
1998-11-01,174
1998-12-01,174.5
1999-01-01,174.8
1999-02-01,175.2
1999-03-01,175.6
1999-04-01,176.1
1999-05-01,176.5
1999-06-01,176.9
1999-07-01,177.3
1999-08-01,177.6
1999-09-01,178.1
1999-10-01,178.4
1999-11-01,179.2
1999-12-01,179.7
2000-01-01,180.5
2000-02-01,180.9
2000-03-01,181.4
2000-04-01,181.9
2000-05-01,182.3
2000-06-01,182.9
2000-07-01,183.6
2000-08-01,184.2
2000-09-01,184.9
2000-10-01,185.6
2000-11-01,186.1
2000-12-01,186.8
2001-01-01,187.5
2001-02-01,188.1
2001-03-01,188.9
2001-04-01,189.6
2001-05-01,190.5
2001-06-01,191.2
2001-07-01,191.9
2001-08-01,192.6
2001-09-01,193.4
2001-10-01,194.1
2001-11-01,194.8
2001-12-01,195.5
2002-01-01,196
2002-02-01,196.8
2002-03-01,197.4
2002-04-01,197.8
2002-05-01,198.2
2002-06-01,198.9
2002-07-01,199.4
2002-08-01,199.7
2002-09-01,200.1
2002-10-01,200.7
2002-11-01,201.2
2002-12-01,201.8
2003-01-01,202.4
2003-02-01,202.8
2003-03-01,203.3
2003-04-01,203.7
2003-05-01,204.2
2003-06-01,204.5
2003-07-01,205
2003-08-01,205.4
2003-09-01,205.9
2003-10-01,206.2
2003-11-01,206.5
2003-12-01,206.9
2004-01-01,207.2
2004-02-01,207.8
2004-03-01,208.3
2004-04-01,208.9
2004-05-01,209.5
2004-06-01,210.1
2004-07-01,210.5
2004-08-01,211.1
2004-09-01,211.7
2004-10-01,212
2004-11-01,212.3
2004-12-01,212.8
2005-01-01,213.5
2005-02-01,214
2005-03-01,214.5
2005-04-01,215.2
2005-05-01,215.6
2005-06-01,216.1
2005-07-01,216.8
2005-08-01,217.2
2005-09-01,217.8
2005-10-01,218.4
2005-11-01,219
2005-12-01,219.5
2006-01-01,220
2006-02-01,220.6
2006-03-01,221.3
2006-04-01,222
2006-05-01,222.8
2006-06-01,223.7
2006-07-01,224.5
2006-08-01,225.5
2006-09-01,226.3
2006-10-01,227.1
2006-11-01,227.9
2006-12-01,228.9
2007-01-01,229.657
2007-02-01,230.638
2007-03-01,231.508
2007-04-01,232.092
2007-05-01,232.789
2007-06-01,233.399
2007-07-01,234.14
2007-08-01,234.688
2007-09-01,235.368
2007-10-01,236.317
2007-11-01,237.199
2007-12-01,237.962
2008-01-01,238.61
2008-02-01,239.154
2008-03-01,239.729
2008-04-01,240.449
2008-05-01,240.919
2008-06-01,241.857
2008-07-01,242.583
2008-08-01,243.322
2008-09-01,244.014
2008-10-01,244.707
2008-11-01,245.338
2008-12-01,245.738
2009-01-01,246.282
2009-02-01,246.665
2009-03-01,247.021
2009-04-01,247.42
2009-05-01,247.823
2009-06-01,247.962
2009-07-01,247.916
2009-08-01,247.958
2009-09-01,247.826
2009-10-01,247.526
2009-11-01,247.28
2009-12-01,247.145
2010-01-01,247.15
2010-02-01,247.135
2010-03-01,247.297
2010-04-01,247.389
2010-05-01,247.457
2010-06-01,247.706
2010-07-01,247.775
2010-08-01,247.58
2010-09-01,247.925
2010-10-01,247.912
2010-11-01,248.447
2010-12-01,248.899
2011-01-01,249.407
2011-02-01,249.778
2011-03-01,250.148
2011-04-01,250.5
2011-05-01,250.865
2011-06-01,251.266
2011-07-01,251.631
2011-08-01,252.499
2011-09-01,253.094
2011-10-01,253.782
2011-11-01,254.319
2011-12-01,254.911
2012-01-01,255.354
2012-02-01,255.942
2012-03-01,256.411
2012-04-01,256.992
2012-05-01,257.481
2012-06-01,257.866
2012-07-01,258.442
2012-08-01,258.874
2012-09-01,259.534
2012-10-01,260.6
2012-11-01,261.08
2012-12-01,261.607
2013-01-01,262.175
2013-02-01,262.786
2013-03-01,263.439
2013-04-01,263.928
2013-05-01,264.655
2013-06-01,265.236
2013-07-01,265.645
2013-08-01,266.588
2013-09-01,267.054
2013-10-01,267.548
2013-11-01,268.091
2013-12-01,268.909
2014-01-01,269.584
2014-02-01,270.126
2014-03-01,270.994
2014-04-01,271.903
2014-05-01,272.652
2014-06-01,273.456
2014-07-01,274.228
2014-08-01,274.85
2014-09-01,275.643
2014-10-01,276.303
2014-11-01,277.22
2014-12-01,277.873
2015-01-01,278.717
2015-02-01,279.656
2015-03-01,280.542
2015-04-01,281.233
2015-05-01,281.974
2015-06-01,282.861
2015-07-01,283.795
2015-08-01,284.684
2015-09-01,285.705
2015-10-01,286.576
2015-11-01,287.22
2015-12-01,287.988
2016-01-01,288.92
2016-02-01,289.805
2016-03-01,290.629
2016-04-01,291.509
2016-05-01,292.482
2016-06-01,293.39
2016-07-01,294.243
2016-08-01,295.081
2016-09-01,296.019
2016-10-01,297.195
2016-11-01,298.119
2016-12-01,299.163
2017-01-01,299.997
2017-02-01,300.935
2017-03-01,301.732
2017-04-01,302.497
2017-05-01,303.557
2017-06-01,304.538
2017-07-01,305.345
2017-08-01,306.47
2017-09-01,307.236
2017-10-01,308.183
2017-11-01,309.157
2017-12-01,310.268
2018-01-01,311.32
2018-02-01,311.936
2018-03-01,312.657
2018-04-01,313.704
2018-05-01,314.495
2018-06-01,315.302
2018-07-01,316.328
2018-08-01,317.527
2018-09-01,318.21
2018-10-01,319.085
2018-11-01,320.275
2018-12-01,321.055
2019-01-01,321.987
2019-02-01,322.88
2019-03-01,324.146
2019-04-01,325.474
2019-05-01,326.23
2019-06-01,327.589
2019-07-01,328.554
2019-08-01,329.479
2019-09-01,330.48
2019-10-01,331.071
2019-11-01,332.05
2019-12-01,332.902
2020-01-01,334.065
2020-02-01,335.044
2020-03-01,336.102
2020-04-01,336.897
2020-05-01,337.626
2020-06-01,338.079
2020-07-01,338.8
2020-08-01,339.181
2020-09-01,339.43
2020-10-01,339.978
2020-11-01,340.268
2020-12-01,340.709
2021-01-01,341.16
2021-02-01,341.817
2021-03-01,342.439
2021-04-01,343.155
2021-05-01,344.028
2021-06-01,344.849
2021-07-01,345.56
2021-08-01,346.747
2021-09-01,348.131
2021-10-01,349.636
2021-11-01,351.13
2021-12-01,352.535
2022-01-01,354.47
2022-02-01,356.594
2022-03-01,358.214
2022-04-01,360.288
2022-05-01,362.626
2022-06-01,365.406
2022-07-01,368.095
2022-08-01,370.896
2022-09-01,374.025
2022-10-01,376.834
2022-11-01,379.79
2022-12-01,382.852
2023-01-01,385.708
2023-02-01,388.733
2023-03-01,390.735
2023-04-01,392.994
2023-05-01,394.959
2023-06-01,396.758
2023-07-01,398.435
2023-08-01,400.354
2023-09-01,402.266
2023-10-01,404.347
2023-11-01,406.338
