"Date","SUUR0000SAD"
1999-12-01,100
2000-01-01,99.8
2000-02-01,99.4
2000-03-01,99.4
2000-04-01,99.3
2000-05-01,99.1
2000-06-01,98.9
2000-07-01,98.6
2000-08-01,98.1
2000-09-01,98.2
2000-10-01,98.2
2000-11-01,98.3
2000-12-01,98.1
2001-01-01,97.8
2001-02-01,97.4
2001-03-01,97
2001-04-01,96.9
2001-05-01,96.4
2001-06-01,96.1
2001-07-01,95.8
2001-08-01,95.3
2001-09-01,95
2001-10-01,95.1
2001-11-01,95.5
2001-12-01,95.3
2002-01-01,94.7
2002-02-01,94
2002-03-01,93.5
2002-04-01,93.3
2002-05-01,93.2
2002-06-01,92.8
2002-07-01,92.6
2002-08-01,92.4
2002-09-01,92.2
2002-10-01,92.2
2002-11-01,91.9
2002-12-01,91.7
2003-01-01,91.4
2003-02-01,91.2
2003-03-01,91
2003-04-01,90.7
2003-05-01,90.3
2003-06-01,89.9
2003-07-01,89.4
2003-08-01,89
2003-09-01,88.3
2003-10-01,88.1
2003-11-01,88
2003-12-01,88
2004-01-01,88
2004-02-01,88.4
2004-03-01,88.3
2004-04-01,88.4
2004-05-01,88.3
2004-06-01,87.9
2004-07-01,87.5
2004-08-01,87.3
2004-09-01,87.7
2004-10-01,88.2
2004-11-01,88.5
2004-12-01,88.7
2005-01-01,89
2005-02-01,88.7
2005-03-01,88.5
2005-04-01,88.5
2005-05-01,88.5
2005-06-01,88.2
2005-07-01,87.5
2005-08-01,87.2
2005-09-01,87.5
2005-10-01,87.7
2005-11-01,87.6
2005-12-01,87.5
2006-01-01,87.6
2006-02-01,87.5
2006-03-01,87.4
2006-04-01,87.4
2006-05-01,87.3
2006-06-01,87.1
2006-07-01,86.9
2006-08-01,86.6
2006-09-01,86.2
2006-10-01,86.1
2006-11-01,85.8
2006-12-01,85.5
2007-01-01,85.389
2007-02-01,85.341
2007-03-01,85.257
2007-04-01,85.112
2007-05-01,84.861
2007-06-01,84.47
2007-07-01,84.286
2007-08-01,84.167
2007-09-01,83.982
