"Date","APUB40072611"
1978-11-01,21.342
1978-12-01,21.314
1979-01-01,22.098
1979-02-01,22.254
1979-03-01,22.268
1979-04-01,23.322
1979-05-01,26.896
1979-06-01,27.703
1979-07-01,29.2
1979-08-01,29.2
1979-09-01,29.176
1979-10-01,32.441
1979-11-01,28.713
1979-12-01,29.307
1980-01-01,29.315
1980-02-01,29.772
1980-03-01,32.032
1980-04-01,32.464
1980-05-01,43.165
1980-06-01,44.562
1980-07-01,46.537
1980-08-01,48.717
1980-09-01,47.009
1980-10-01,48.703
1980-11-01,34.909
1980-12-01,37.863
1981-01-01,35.705
1981-02-01,34.833
1981-03-01,36.053
1981-04-01,35.863
1981-05-01,49.153
1981-06-01,48.327
1981-07-01,52.968
1981-08-01,42.749
1981-09-01,53.595
1981-10-01,49.308
1981-11-01,42.729
1981-12-01,37.099
1982-01-01,39.131
1982-02-01,38.426
1982-03-01,38.365
1982-04-01,36.996
1982-05-01,59.569
1982-06-01,57.813
1982-07-01,61.384
1982-08-01,58.112
1982-09-01,60.392
1982-10-01,60.769
1982-11-01,49.942
1982-12-01,49.913
1983-01-01,52.033
1983-02-01,52.597
1983-03-01,52.597
1983-04-01,52.711
1983-05-01,62.794
1983-06-01,66.389
1983-07-01,69.405
1983-08-01,69.581
1983-09-01,70.269
1983-10-01,69.668
1983-11-01,53.235
1983-12-01,53.235
1984-01-01,51.438
1984-02-01,52.251
1984-03-01,53.934
1984-04-01,54.101
1984-05-01,69.78
1984-06-01,68.357
1984-07-01,68.126
1984-08-01,68.688
1984-09-01,70.41
1984-10-01,70.039
1984-11-01,56.198
1984-12-01,53.666
1985-01-01,52.661
1985-02-01,53.308
1985-03-01,50.415
1985-04-01,52.704
1985-05-01,74.12
1985-06-01,69.171
1985-07-01,74.116
1985-08-01,74.005
1985-09-01,NA
1985-10-01,73.355
1985-11-01,51.911
1985-12-01,50.458
1986-01-01,50.911
1986-02-01,52.164
1986-03-01,50.904
1986-04-01,51.104
1986-05-01,68.588
1986-06-01,68.637
1986-07-01,69.014
1986-08-01,68.98
1986-09-01,63.115
1986-10-01,62.842
1986-11-01,43.328
1986-12-01,43.328
1987-01-01,46.784
1987-02-01,46.883
1987-03-01,46.886
1987-04-01,47.234
1987-05-01,64.62
1987-06-01,65.995
1987-07-01,65.999
1987-08-01,65.999
1987-09-01,69.087
1987-10-01,69.096
1987-11-01,54.019
1987-12-01,54.011
1988-01-01,53.028
1988-02-01,53.019
1988-03-01,49.143
1988-04-01,54.793
1988-05-01,70.736
1988-06-01,70.732
1988-07-01,65.44
1988-08-01,65.45
1988-09-01,65.445
1988-10-01,65.438
1988-11-01,58.344
1988-12-01,58.341
