"Date","CUUR0300SA0LE"
1977-12-01,62.9
1978-01-01,NA
1978-02-01,63.7
1978-03-01,NA
1978-04-01,64.8
1978-05-01,NA
1978-06-01,66.2
1978-07-01,NA
1978-08-01,67.1
1978-09-01,NA
1978-10-01,68.2
1978-11-01,NA
1978-12-01,69.2
1979-01-01,NA
1979-02-01,70.3
1979-03-01,NA
1979-04-01,71.5
1979-05-01,NA
1979-06-01,72.9
1979-07-01,NA
1979-08-01,74
1979-09-01,NA
1979-10-01,75.1
1979-11-01,NA
1979-12-01,76.5
1980-01-01,NA
1980-02-01,78.1
1980-03-01,NA
1980-04-01,80.1
1980-05-01,NA
1980-06-01,81.6
1980-07-01,NA
1980-08-01,82.1
1980-09-01,NA
1980-10-01,83.8
1980-11-01,NA
1980-12-01,85.5
1981-01-01,NA
1981-02-01,86.9
1981-03-01,NA
1981-04-01,87.9
1981-05-01,NA
1981-06-01,89.3
1981-07-01,NA
1981-08-01,91
1981-09-01,NA
1981-10-01,92.3
1981-11-01,NA
1981-12-01,93.8
1982-01-01,NA
1982-02-01,94.7
1982-03-01,NA
1982-04-01,94.8
1982-05-01,NA
1982-06-01,96.5
1982-07-01,NA
1982-08-01,97
1982-09-01,NA
1982-10-01,97.6
1982-11-01,NA
1982-12-01,97.5
1983-01-01,NA
1983-02-01,98.2
1983-03-01,NA
1983-04-01,98.8
1983-05-01,NA
1983-06-01,99.2
1983-07-01,NA
1983-08-01,100
1983-09-01,NA
1983-10-01,101
1983-11-01,NA
1983-12-01,101.5
1984-01-01,NA
1984-02-01,102.7
1984-03-01,NA
1984-04-01,103.5
1984-05-01,NA
1984-06-01,103.8
1984-07-01,NA
1984-08-01,104.6
1984-09-01,NA
1984-10-01,105.6
1984-11-01,NA
1984-12-01,106.1
1985-01-01,NA
1985-02-01,106.9
1985-03-01,NA
1985-04-01,107.2
1985-05-01,NA
1985-06-01,107.6
1985-07-01,NA
1985-08-01,108.2
1985-09-01,NA
1985-10-01,109.1
1985-11-01,NA
1985-12-01,109.6
1986-01-01,NA
1986-02-01,110.3
1986-03-01,NA
1986-04-01,110.9
1986-05-01,NA
1986-06-01,111.3
1986-07-01,NA
1986-08-01,112
1986-09-01,NA
1986-10-01,113
1986-11-01,NA
1986-12-01,113.5
1987-01-01,113.7
1987-02-01,114.1
1987-03-01,114.5
1987-04-01,115
1987-05-01,115.3
1987-06-01,115.4
1987-07-01,115.7
1987-08-01,115.9
1987-09-01,116.6
1987-10-01,117.1
1987-11-01,117.5
1987-12-01,117.4
1988-01-01,117.8
1988-02-01,118.1
1988-03-01,118.6
1988-04-01,119.2
1988-05-01,119.4
1988-06-01,119.7
1988-07-01,120.2
1988-08-01,120.4
1988-09-01,121.3
1988-10-01,122
1988-11-01,122.2
1988-12-01,122.5
1989-01-01,122.9
1989-02-01,123.4
1989-03-01,123.9
1989-04-01,124.6
1989-05-01,124.8
1989-06-01,125.1
1989-07-01,125.3
1989-08-01,125.7
1989-09-01,126.2
1989-10-01,126.9
1989-11-01,127.2
1989-12-01,127.5
1990-01-01,128.5
1990-02-01,129.4
1990-03-01,130.2
1990-04-01,130.3
1990-05-01,130.5
1990-06-01,131.2
1990-07-01,131.8
1990-08-01,132.4
1990-09-01,132.8
1990-10-01,133.6
1990-11-01,133.9
1990-12-01,134
1991-01-01,135
1991-02-01,135.9
1991-03-01,136.3
1991-04-01,136.6
1991-05-01,136.7
1991-06-01,137
1991-07-01,137.2
1991-08-01,137.5
1991-09-01,138
1991-10-01,138.5
1991-11-01,138.9
1991-12-01,138.9
1992-01-01,139.1
1992-02-01,139.9
1992-03-01,140.5
1992-04-01,140.9
1992-05-01,140.9
1992-06-01,141.1
1992-07-01,141.2
1992-08-01,141.4
1992-09-01,141.7
1992-10-01,142.5
1992-11-01,142.9
1992-12-01,142.8
1993-01-01,143.5
1993-02-01,144.5
1993-03-01,145
1993-04-01,145.4
1993-05-01,145.7
1993-06-01,145.5
1993-07-01,145.6
1993-08-01,146.4
1993-09-01,146.6
1993-10-01,147.2
1993-11-01,147.6
1993-12-01,147.7
1994-01-01,148.2
1994-02-01,148.6
1994-03-01,149.4
1994-04-01,149.7
1994-05-01,150
1994-06-01,150.1
1994-07-01,150.3
1994-08-01,150.6
1994-09-01,151
1994-10-01,151.4
1994-11-01,151.7
1994-12-01,151.9
1995-01-01,152.6
1995-02-01,153.4
1995-03-01,154.2
1995-04-01,154.7
1995-05-01,154.7
1995-06-01,154.6
1995-07-01,154.8
1995-08-01,155.4
1995-09-01,155.8
1995-10-01,156.6
1995-11-01,156.8
1995-12-01,156.8
1996-01-01,157.5
1996-02-01,158
1996-03-01,158.8
1996-04-01,159.2
1996-05-01,159.2
1996-06-01,159.4
1996-07-01,159.7
1996-08-01,159.8
1996-09-01,160.2
1996-10-01,160.8
1996-11-01,161.1
1996-12-01,161
1997-01-01,161.6
1997-02-01,162.1
1997-03-01,162.7
1997-04-01,163.1
1997-05-01,163
1997-06-01,163
1997-07-01,163
1997-08-01,163.1
1997-09-01,163.4
1997-10-01,164
1997-11-01,164.3
1997-12-01,164.3
1998-01-01,164.9
1998-02-01,165.4
1998-03-01,166
1998-04-01,166.4
1998-05-01,166.5
1998-06-01,166.4
1998-07-01,166.6
1998-08-01,167
1998-09-01,167.3
1998-10-01,167.7
1998-11-01,167.8
1998-12-01,168
1999-01-01,168.5
1999-02-01,168.7
1999-03-01,169.2
1999-04-01,169.6
1999-05-01,169.5
1999-06-01,169.3
1999-07-01,169.5
1999-08-01,169.7
1999-09-01,170.2
1999-10-01,170.7
1999-11-01,170.8
1999-12-01,170.8
2000-01-01,171.3
2000-02-01,171.7
2000-03-01,172.8
2000-04-01,173.2
2000-05-01,173.2
2000-06-01,173.2
2000-07-01,173.5
2000-08-01,173.8
2000-09-01,174.1
2000-10-01,174.4
2000-11-01,174.7
2000-12-01,174.6
2001-01-01,175.3
2001-02-01,176.2
2001-03-01,176.9
2001-04-01,177.3
2001-05-01,177
2001-06-01,177.3
2001-07-01,177.5
2001-08-01,177.8
2001-09-01,178.2
2001-10-01,178.8
2001-11-01,179
2001-12-01,178.7
2002-01-01,179
2002-02-01,179.6
2002-03-01,180.2
2002-04-01,180.6
2002-05-01,180.6
2002-06-01,180.6
2002-07-01,180.7
2002-08-01,180.9
2002-09-01,181.3
2002-10-01,182.1
2002-11-01,182.3
2002-12-01,182.2
2003-01-01,182.3
2003-02-01,183
2003-03-01,183.6
