"Date","CWSR0000SAF"
1967-01-01,34.8
1967-02-01,34.7
1967-03-01,34.7
1967-04-01,34.5
1967-05-01,34.6
1967-06-01,34.8
1967-07-01,35
1967-08-01,35.2
1967-09-01,35.2
1967-10-01,35.2
1967-11-01,35.3
1967-12-01,35.4
1968-01-01,35.5
1968-02-01,35.7
1968-03-01,35.8
1968-04-01,35.9
1968-05-01,36
1968-06-01,36.1
1968-07-01,36.2
1968-08-01,36.3
1968-09-01,36.5
1968-10-01,36.8
1968-11-01,36.8
1968-12-01,36.9
1969-01-01,37
1969-02-01,37
1969-03-01,37.1
1969-04-01,37.3
1969-05-01,37.5
1969-06-01,37.9
1969-07-01,38.1
1969-08-01,38.3
1969-09-01,38.6
1969-10-01,38.7
1969-11-01,39
1969-12-01,39.5
1970-01-01,39.6
1970-02-01,39.8
1970-03-01,39.8
1970-04-01,39.9
1970-05-01,40.1
1970-06-01,40.1
1970-07-01,40.1
1970-08-01,40.2
1970-09-01,40.3
1970-10-01,40.5
1970-11-01,40.4
1970-12-01,40.5
1971-01-01,40.4
1971-02-01,40.5
1971-03-01,40.8
1971-04-01,41.1
1971-05-01,41.3
1971-06-01,41.5
1971-07-01,41.6
1971-08-01,41.6
1971-09-01,41.6
1971-10-01,41.7
1971-11-01,41.8
1971-12-01,42.2
1972-01-01,42.1
1972-02-01,42.6
1972-03-01,42.6
1972-04-01,42.6
1972-05-01,42.7
1972-06-01,42.8
1972-07-01,43
1972-08-01,43.1
1972-09-01,43.4
1972-10-01,43.7
1972-11-01,43.9
1972-12-01,44.1
1973-01-01,44.8
1973-02-01,45.4
1973-03-01,46.5
1973-04-01,47.1
1973-05-01,47.7
1973-06-01,48.2
1973-07-01,48.3
1973-08-01,50.9
1973-09-01,50.8
1973-10-01,51.1
1973-11-01,51.8
1973-12-01,52.2
1974-01-01,52.8
1974-02-01,53.9
1974-03-01,54.4
1974-04-01,54.4
1974-05-01,54.8
1974-06-01,54.8
1974-07-01,54.7
1974-08-01,55.5
1974-09-01,56.6
1974-10-01,57.2
1974-11-01,57.9
1974-12-01,58.5
1975-01-01,58.8
1975-02-01,58.9
1975-03-01,58.9
1975-04-01,58.8
1975-05-01,59
1975-06-01,59.5
1975-07-01,60.6
1975-08-01,60.6
1975-09-01,61
1975-10-01,61.5
1975-11-01,61.9
1975-12-01,62.3
1976-01-01,62.1
1976-02-01,61.6
