"Date","CWSR0000SETB01"
1978-12-01,55.3
1979-01-01,55.9
1979-02-01,56.3
1979-03-01,59
1979-04-01,62.1
1979-05-01,65.2
1979-06-01,69.1
1979-07-01,72.7
1979-08-01,76.1
1979-09-01,78.9
1979-10-01,80.4
1979-11-01,81.8
1979-12-01,84
1980-01-01,89.8
1980-02-01,94.3
1980-03-01,99.8
1980-04-01,98.8
1980-05-01,98.7
1980-06-01,98.1
1980-07-01,97.8
1980-08-01,97.7
1980-09-01,97.6
1980-10-01,98.5
1980-11-01,98.8
1980-12-01,99.1
1981-01-01,103.5
1981-02-01,110
1981-03-01,113
1981-04-01,110.5
1981-05-01,108.9
1981-06-01,107.7
1981-07-01,107.1
1981-08-01,107.1
1981-09-01,107.6
1981-10-01,108.3
1981-11-01,108.9
1981-12-01,108.5
1982-01-01,108.1
1982-02-01,106
1982-03-01,103.5
1982-04-01,97.2
1982-05-01,97.8
1982-06-01,102.8
1982-07-01,104.3
1982-08-01,104.1
1982-09-01,103.2
1982-10-01,103.1
1982-11-01,102.8
1982-12-01,100.4
1983-01-01,99
1983-02-01,95.9
1983-03-01,94.3
1983-04-01,98.3
1983-05-01,100.5
1983-06-01,101
1983-07-01,101.4
1983-08-01,102.1
1983-09-01,101.3
1983-10-01,100.8
1983-11-01,99.6
1983-12-01,98.7
1984-01-01,99
1984-02-01,99.5
1984-03-01,100.3
1984-04-01,99.9
1984-05-01,99.5
1984-06-01,98.2
1984-07-01,96.3
1984-08-01,95.2
1984-09-01,95.9
1984-10-01,97.2
1984-11-01,96.9
1984-12-01,95.8
1985-01-01,96.2
1985-02-01,96.6
1985-03-01,98.1
1985-04-01,99.7
1985-05-01,99.4
1985-06-01,99.7
1985-07-01,100
1985-08-01,98.6
1985-09-01,98.3
1985-10-01,98.2
1985-11-01,99
1985-12-01,99.6
1986-01-01,100.1
1986-02-01,95.6
1986-03-01,83.3
1986-04-01,74
1986-05-01,75.3
1986-06-01,77.9
1986-07-01,72.8
1986-08-01,68.7
1986-09-01,70.5
1986-10-01,69
1986-11-01,68.4
1986-12-01,69
1987-01-01,74.4
1987-02-01,78.6
1987-03-01,78.6
1987-04-01,79.3
1987-05-01,77.8
1987-06-01,79.6
1987-07-01,80.9
1987-08-01,83.5
1987-09-01,82.6
1987-10-01,82.6
1987-11-01,82.6
1987-12-01,82
1988-01-01,81.1
1988-02-01,80.7
1988-03-01,79.9
1988-04-01,80.4
1988-05-01,80.2
1988-06-01,80
1988-07-01,81.1
1988-08-01,82.7
1988-09-01,81.5
1988-10-01,80.7
1988-11-01,80.8
1988-12-01,80.5
1989-01-01,81.2
1989-02-01,82.7
1989-03-01,84.5
1989-04-01,94.1
1989-05-01,96
1989-06-01,94.4
1989-07-01,93.4
1989-08-01,89.2
1989-09-01,87
1989-10-01,87.9
1989-11-01,86.2
1989-12-01,86
1990-01-01,93.3
1990-02-01,93.4
1990-03-01,92.7
1990-04-01,93.1
1990-05-01,91.6
1990-06-01,92.9
1990-07-01,93.3
1990-08-01,101
1990-09-01,109.5
1990-10-01,117.1
1990-11-01,117.3
1990-12-01,117.6
1991-01-01,110.9
1991-02-01,102.6
1991-03-01,97.9
1991-04-01,97.9
1991-05-01,99.3
1991-06-01,98.3
1991-07-01,96.6
1991-08-01,97.8
1991-09-01,97.8
1991-10-01,97.1
1991-11-01,98.1
1991-12-01,99.4
1992-01-01,97.2
1992-02-01,96.6
1992-03-01,96.9
1992-04-01,96.6
1992-05-01,97.5
1992-06-01,99.7
1992-07-01,100.4
1992-08-01,99.7
1992-09-01,99.5
1992-10-01,100.8
1992-11-01,101.2
1992-12-01,101.7
1993-01-01,101.3
1993-02-01,101.4
1993-03-01,100.6
1993-04-01,99.9
1993-05-01,97.8
1993-06-01,96.5
1993-07-01,95.2
1993-08-01,94.9
1993-09-01,93.8
1993-10-01,98.7
1993-11-01,97.2
1993-12-01,95.7
1994-01-01,94.6
1994-02-01,96.3
1994-03-01,95.7
1994-04-01,95.6
1994-05-01,93.7
1994-06-01,94.9
1994-07-01,97.8
1994-08-01,102.6
1994-09-01,101.9
1994-10-01,101.1
1994-11-01,101.9
1994-12-01,101.8
1995-01-01,100.9
1995-02-01,100.6
1995-03-01,100
1995-04-01,100.5
1995-05-01,101.6
1995-06-01,103.6
1995-07-01,101.1
1995-08-01,99.5
1995-09-01,98.1
1995-10-01,97.6
1995-11-01,95.7
1995-12-01,97.5
1996-01-01,101.4
1996-02-01,101.2
1996-03-01,104.2
1996-04-01,108.7
1996-05-01,109.4
1996-06-01,107.8
1996-07-01,106
1996-08-01,104.3
1996-09-01,104.5
1996-10-01,105.2
1996-11-01,107.5
1996-12-01,110.7
1997-01-01,111.4
1997-02-01,110.7
1997-03-01,108.1
1997-04-01,105
1997-05-01,101
1997-06-01,103
1997-07-01,101.3
1997-08-01,106.3
1997-09-01,108.5
1997-10-01,106.9
1997-11-01,104.5
1997-12-01,103.5
1998-01-01,99.3
1998-02-01,95.8
1998-03-01,91.9
1998-04-01,89.6
1998-05-01,91.4
1998-06-01,92.7
1998-07-01,92.7
1998-08-01,90.4
1998-09-01,89.8
1998-10-01,90.8
1998-11-01,89.4
1998-12-01,87.3
1999-01-01,86.8
1999-02-01,84.9
1999-03-01,87.8
1999-04-01,98
1999-05-01,97.5
1999-06-01,96.7
1999-07-01,101.1
1999-08-01,106.3
1999-09-01,110.3
1999-10-01,110
1999-11-01,108.8
1999-12-01,114.5
2000-01-01,116.4
2000-02-01,120.1
2000-03-01,133.4
2000-04-01,124.8
2000-05-01,123.8
2000-06-01,136.3
2000-07-01,134.1
2000-08-01,126
2000-09-01,134.6
2000-10-01,132.9
2000-11-01,132.1
2000-12-01,130.6
2001-01-01,130.9
2001-02-01,129.3
2001-03-01,125.6
2001-04-01,128.5
2001-05-01,140.7
2001-06-01,137.1
2001-07-01,122.5
2001-08-01,120.5
2001-09-01,131.8
2001-10-01,116.9
2001-11-01,104.1
2001-12-01,99.7
2002-01-01,100.9
2002-02-01,99.9
2002-03-01,108.1
2002-04-01,116.2
2002-05-01,116.8
2002-06-01,117.3
2002-07-01,119
2002-08-01,120.1
2002-09-01,121
2002-10-01,126.5
2002-11-01,125.6
2002-12-01,125.1
2003-01-01,137.4
2003-02-01,149.1
2003-03-01,147.6
2003-04-01,133.8
2003-05-01,119.4
2003-06-01,120
2003-07-01,125.6
2003-08-01,137.2
2003-09-01,146.9
2003-10-01,137.3
2003-11-01,136.4
2003-12-01,140
2004-01-01,148.8
2004-02-01,151.5
2004-03-01,151.6
2004-04-01,147.5
2004-05-01,155.2
2004-06-01,160.9
2004-07-01,158.8
2004-08-01,158.1
2004-09-01,161.6
2004-10-01,173.4
2004-11-01,179.7
2004-12-01,176.7
2005-01-01,167.5
2005-02-01,174.7
2005-03-01,178.1
2005-04-01,181.5
2005-05-01,172.6
2005-06-01,173.7
2005-07-01,191.3
2005-08-01,211.9
2005-09-01,251.4
2005-10-01,239.7
2005-11-01,202.8
2005-12-01,201.4
2006-01-01,214
2006-02-01,210.9
2006-03-01,209.1
2006-04-01,224.9
2006-05-01,228
2006-06-01,228.7
2006-07-01,246.2
2006-08-01,253.7
2006-09-01,222
2006-10-01,197.7
2006-11-01,195.5
2006-12-01,212
2007-01-01,205.88
2007-02-01,209.035
2007-03-01,223.345
2007-04-01,230.011
2007-05-01,241.422
2007-06-01,242.069
2007-07-01,243.26
2007-08-01,237.452
2007-09-01,245.756
2007-10-01,247.35
2007-11-01,268.968
2007-12-01,272.899
2008-01-01,274.697
2008-02-01,278.453
2008-03-01,280.536
2008-04-01,277.913
2008-05-01,291.284
2008-06-01,323.047
2008-07-01,335.623
2008-08-01,320.634
2008-09-01,323.332
2008-10-01,279.664
2008-11-01,192.322
2008-12-01,154.989
2009-01-01,161.578
2009-02-01,175.309
2009-03-01,167.459
2009-04-01,168.945
2009-05-01,177.755
2009-06-01,213.933
2009-07-01,212.403
2009-08-01,224.647
2009-09-01,226.924
2009-10-01,229.551
2009-11-01,239.145
2009-12-01,238.312
2010-01-01,243.113
2010-02-01,236.877
2010-03-01,234.189
2010-04-01,233.614
2010-05-01,228.79
2010-06-01,223.866
2010-07-01,230.001
2010-08-01,233.593
2010-09-01,236.754
2010-10-01,251.04
2010-11-01,257.236
2010-12-01,272.78
2011-01-01,277.017
2011-02-01,281.246
2011-03-01,296.338
2011-04-01,311.601
2011-05-01,316.307
2011-06-01,305.516
2011-07-01,306.416
2011-08-01,307.816
2011-09-01,310.665
2011-10-01,307.217
2011-11-01,309.963
2011-12-01,301.966
2012-01-01,307.664
2012-02-01,317.797
2012-03-01,320.792
2012-04-01,320.794
2012-05-01,304.818
2012-06-01,292.602
2012-07-01,288.679
2012-08-01,311.83
2012-09-01,328.537
2012-10-01,333.941
2012-11-01,316.459
2012-12-01,307.694
2013-01-01,308.074
2013-02-01,330.816
2013-03-01,311.841
2013-04-01,296.449
2013-05-01,294.643
2013-06-01,299.714
2013-07-01,300.146
2013-08-01,304.722
2013-09-01,298.718
2013-10-01,296.765
2013-11-01,298.61
2013-12-01,304.605
2014-01-01,308.895
2014-02-01,307.143
2014-03-01,302.222
2014-04-01,307.3
2014-05-01,302.789
2014-06-01,303.624
2014-07-01,300.946
2014-08-01,295.761
2014-09-01,287.575
2014-10-01,278.298
2014-11-01,264.724
2014-12-01,239.306
2015-01-01,200.066
2015-02-01,207.958
2015-03-01,215.716
2015-04-01,212.582
2015-05-01,226.432
2015-06-01,231.98
2015-07-01,232.899
2015-08-01,226.861
2015-09-01,202.861
2015-10-01,200.551
2015-11-01,199.92
2015-12-01,191.675
2016-01-01,182.231
2016-02-01,163.264
2016-03-01,175.982
2016-04-01,185.509
2016-05-01,188.408
2016-06-01,197.481
2016-07-01,186.281
2016-08-01,184.603
2016-09-01,190.455
2016-10-01,198.809
2016-11-01,200.052
2016-12-01,207.216
2017-01-01,218.86
2017-02-01,214.454
2017-03-01,211.422
2017-04-01,209.878
2017-05-01,198.476
2017-06-01,196.338
2017-07-01,192.441
2017-08-01,204.333
2017-09-01,228.933
2017-10-01,219.802
2017-11-01,229.955
2017-12-01,229.832
2018-01-01,236.257
2018-02-01,240.535
2018-03-01,232.086
2018-04-01,239.638
2018-05-01,243.388
2018-06-01,244.154
2018-07-01,242.272
2018-08-01,247.127
2018-09-01,251.295
2018-10-01,254.195
2018-11-01,238.73
2018-12-01,225.325
2019-01-01,213.21
2019-02-01,219.302
2019-03-01,229.539
2019-04-01,246.565
2019-05-01,242.046
2019-06-01,229.872
2019-07-01,233.388
2019-08-01,230.109
2019-09-01,231.148
2019-10-01,235.59
2019-11-01,236.562
2019-12-01,244.882
2020-01-01,241.557
2020-02-01,232.073
2020-03-01,205.435
2020-04-01,166.433
2020-05-01,159.746
2020-06-01,176.075
2020-07-01,185.208
2020-08-01,191.494
2020-09-01,195.168
2020-10-01,192.962
2020-11-01,190.542
2020-12-01,208.351
2021-01-01,221.469
2021-02-01,236.026
2021-03-01,250.805
2021-04-01,249.237
2021-05-01,249.085
2021-06-01,255.401
2021-07-01,261.786
2021-08-01,273.371
2021-09-01,277.563
2021-10-01,288.74
2021-11-01,301.055
2021-12-01,312.542
2022-01-01,311.647
2022-02-01,326.197
2022-03-01,369.29
2022-04-01,357.879
2022-05-01,369.161
2022-06-01,407.149
2022-07-01,374.265
2022-08-01,343.032
2022-09-01,329.351
2022-10-01,340.929
2022-11-01,332.258
2022-12-01,308.982
2023-01-01,317.023
2023-02-01,320.326
2023-03-01,306.101
2023-04-01,315.408
2023-05-01,297.373
2023-06-01,300.47
2023-07-01,300.906
2023-08-01,332.791
2023-09-01,339.699
2023-10-01,322.055
2023-11-01,302.851
