"Date","CWSR0000SETB01"
1967-01-01,26.1
1967-02-01,26.1
1967-03-01,26
1967-04-01,26.3
1967-05-01,26.3
1967-06-01,26.3
1967-07-01,26.3
1967-08-01,26.3
1967-09-01,26.6
1967-10-01,26.3
1967-11-01,26.7
1967-12-01,26.3
1968-01-01,26.6
1968-02-01,26.8
1968-03-01,26.6
1968-04-01,26.4
1968-05-01,26.5
1968-06-01,26.6
1968-07-01,26.6
1968-08-01,26.9
1968-09-01,26.8
1968-10-01,26.8
1968-11-01,27
1968-12-01,26.8
1969-01-01,27
1969-02-01,27.1
1969-03-01,27.5
1969-04-01,27.8
1969-05-01,27.7
1969-06-01,27.9
1969-07-01,27.7
1969-08-01,27.7
1969-09-01,27.6
1969-10-01,27.6
1969-11-01,27.4
1969-12-01,27.6
1970-01-01,27.5
1970-02-01,27.6
1970-03-01,27.1
1970-04-01,28.2
1970-05-01,28
1970-06-01,27.7
1970-07-01,27.9
1970-08-01,27.4
1970-09-01,27.6
1970-10-01,28
1970-11-01,28.1
1970-12-01,28.3
1971-01-01,28.4
1971-02-01,28
1971-03-01,27.8
1971-04-01,27.4
1971-05-01,27.4
1971-06-01,27.5
1971-07-01,27.2
1971-08-01,28.3
1971-09-01,28.4
1971-10-01,28.5
1971-11-01,28.3
1971-12-01,28.4
1972-01-01,28.1
1972-02-01,28
1972-03-01,28
1972-04-01,27.7
1972-05-01,27.9
1972-06-01,27.6
1972-07-01,27.9
1972-08-01,28.3
1972-09-01,28.9
1972-10-01,29
1972-11-01,29.2
1972-12-01,29.2
1973-01-01,29.3
1973-02-01,29.5
1973-03-01,29.6
1973-04-01,30.1
1973-05-01,30.3
1973-06-01,30.9
1973-07-01,30.9
1973-08-01,30.9
1973-09-01,30.7
1973-10-01,32.1
1973-11-01,33.6
1973-12-01,35
1974-01-01,37.1
1974-02-01,39.1
1974-03-01,42
1974-04-01,42.6
1974-05-01,43.4
1974-06-01,43.5
1974-07-01,43.5
1974-08-01,43.3
1974-09-01,43.1
1974-10-01,42.4
1974-11-01,42.2
1974-12-01,42.3
1975-01-01,42.6
1975-02-01,42.6
1975-03-01,42.8
1975-04-01,42.9
1975-05-01,43.3
1975-06-01,44.3
1975-07-01,45.9
1975-08-01,46.4
1975-09-01,46.8
1975-10-01,47.2
1975-11-01,47.2
1975-12-01,47
1976-01-01,46.9
1976-02-01,46.6
1976-03-01,46.1
1976-04-01,45.6
1976-05-01,45.9
1976-06-01,46.5
1976-07-01,46.6
1976-08-01,46.7
1976-09-01,47
1976-10-01,47.6
1976-11-01,48
1976-12-01,48.1
1977-01-01,48.3
1977-02-01,49
1977-03-01,49.5
1977-04-01,49.5
1977-05-01,49.8
1977-06-01,49.6
1977-07-01,49.2
1977-08-01,49.2
1977-09-01,49.4
1977-10-01,49.9
1977-11-01,50.3
1977-12-01,50.7
1978-01-01,50.7
1978-02-01,50.4
1978-03-01,50.5
1978-04-01,50.2
1978-05-01,50.3
1978-06-01,50.5
1978-07-01,50.9
1978-08-01,51.6
1978-09-01,52.3
1978-10-01,53.4
1978-11-01,54.3
