"Date","APU0000FJ1101"
2018-04-01,2.658
2018-05-01,2.616
2018-06-01,2.627
2018-07-01,2.567
2018-08-01,2.588
2018-09-01,2.573
2018-10-01,2.625
2018-11-01,2.648
2018-12-01,2.629
2019-01-01,2.631
2019-02-01,2.656
2019-03-01,2.67
2019-04-01,2.694
2019-05-01,2.683
2019-06-01,2.672
2019-07-01,2.674
2019-08-01,2.702
2019-09-01,2.742
2019-10-01,2.818
2019-11-01,2.818
2019-12-01,2.872
2020-01-01,2.953
2020-02-01,2.882
2020-03-01,2.913
2020-04-01,2.901
2020-05-01,2.877
2020-06-01,2.811
2020-07-01,2.826
2020-08-01,3.038
2020-09-01,3.017
2020-10-01,2.928
2020-11-01,3.002
2020-12-01,3.118
2021-01-01,3.045
2021-02-01,3.008
2021-03-01,2.966
2021-04-01,3.045
2021-05-01,3.078
2021-06-01,3.165
2021-07-01,3.168
2021-08-01,3.172
2021-09-01,3.165
2021-10-01,3.187
2021-11-01,3.288
2021-12-01,3.359
2022-01-01,3.393
2022-02-01,3.514
2022-03-01,3.584
2022-04-01,3.682
2022-05-01,3.827
2022-06-01,3.869
2022-07-01,3.874
2022-08-01,3.888
2022-09-01,3.808
2022-10-01,3.836
2022-11-01,3.842
2022-12-01,3.845
2023-01-01,3.817
2023-02-01,3.819
2023-03-01,3.748
2023-04-01,3.7
2023-05-01,3.715
2023-06-01,3.682
2023-07-01,3.633
2023-08-01,3.596
2023-09-01,3.639
2023-10-01,3.673
2023-11-01,3.692
