"Date","M04220USM156NNBR"
1945-04-01,-3.87
1945-05-01,-4.2
1945-06-01,-3.23
1945-07-01,-2.9
1945-08-01,-2.24
1945-09-01,-1.27
1945-10-01,-0.63
1945-11-01,-4
1945-12-01,-2.23
1946-01-01,-3.5
1946-02-01,-3.48
1946-03-01,-5.05
1946-04-01,-17.35
1946-05-01,-22.78
1946-06-01,-23.9
1946-07-01,-26.88
1946-08-01,-31.1
1946-09-01,30.46
1946-10-01,17.42
1946-11-01,12.5
1946-12-01,14.61
1947-01-01,10.47
1947-02-01,5.11
1947-03-01,5.07
1947-04-01,6.67
1947-05-01,9.36
1947-06-01,9.68
1947-07-01,9.68
1947-08-01,11.55
1947-09-01,12.76
1947-10-01,13.44
1947-11-01,9.19
1947-12-01,3.99
1948-01-01,6.74
1948-02-01,6.95
1948-03-01,5.63
1948-04-01,5.81
1948-05-01,8.55
1948-06-01,9.06
1948-07-01,5.31
1948-08-01,2.4
1948-09-01,-0.24
1948-10-01,-3.06
1948-11-01,-6.09
1948-12-01,-5.62
1949-01-01,-4.24
1949-02-01,-3.32
1949-03-01,-1.91
1949-04-01,-2.63
1949-05-01,0
1949-06-01,0.48
1949-07-01,-1.2
1949-08-01,-0.48
1949-09-01,-1.93
1949-10-01,-1.45
1949-11-01,-2.42
1949-12-01,-2.64
1950-01-01,-1.21
1950-02-01,-0.48
1950-03-01,1.7
1950-04-01,4.63
1950-05-01,6.6
1950-06-01,7.31
1950-07-01,8.27
1950-08-01,8.23
1950-09-01,9.88
1950-10-01,10.97
1950-11-01,12.07
1950-12-01,11.28
1951-01-01,10.28
1951-02-01,10.23
1951-03-01,7.35
1951-04-01,4.29
1951-05-01,1.79
1951-06-01,2.45
1951-07-01,3.11
1951-08-01,3.32
1951-09-01,4.21
1951-10-01,3.98
1951-11-01,2.65
1951-12-01,1.32
1952-01-01,1.31
1952-02-01,0.44
1952-03-01,0.43
1952-04-01,1.74
1952-05-01,3.49
1952-06-01,3.06
1952-07-01,2.39
1952-08-01,2.39
1952-09-01,1.3
1952-10-01,-0.43
1952-11-01,-1.72
1952-12-01,-0.86
1953-01-01,-0.86
1953-02-01,-0.64
1953-03-01,0.65
1953-04-01,1.51
1953-05-01,2.81
1953-06-01,2.81
1953-07-01,3.02
1953-08-01,1.72
1953-09-01,0.64
1953-10-01,0.86
1953-11-01,0
1953-12-01,-0.64
1954-01-01,-1.49
1954-02-01,0
1954-03-01,0.43
1954-04-01,0
1954-05-01,0
1954-06-01,-0.21
1954-07-01,-0.21
1954-08-01,-0.64
1954-09-01,-1.28
1954-10-01,-1.49
1954-11-01,-1.07
1954-12-01,-0.64
1955-01-01,-0.43
1955-02-01,-0.64
1955-03-01,0
1955-04-01,0.64
1955-05-01,0.21
1955-06-01,0.86
1955-07-01,1.07
1955-08-01,1.29
1955-09-01,0.64
1955-10-01,-0.21
1955-11-01,0.21
1955-12-01,-0.21
1956-01-01,0
1956-02-01,0.85
1956-03-01,2.57
1956-04-01,4.28
1956-05-01,3.85
1956-06-01,4.06
1956-07-01,4.91
1956-08-01,4.04
1956-09-01,3.17
1956-10-01,1.89
1956-11-01,3.15
1956-12-01,3.14
1957-01-01,2.71
1957-02-01,3.12
1957-03-01,3.74
1957-04-01,4.57
1957-05-01,3.93
1957-06-01,3.72
1957-07-01,3.09
1957-08-01,3.28
1957-09-01,2.24
1957-10-01,2.44
1957-11-01,2.43
1957-12-01,3.65
1958-01-01,4.05
1958-02-01,3.23
1958-03-01,3.43
1958-04-01,2.61
1958-05-01,2
1958-06-01,0.6
1958-07-01,0.2
1958-08-01,0.6
1958-09-01,0
1958-10-01,-0.2
1958-11-01,0
1958-12-01,0
1959-01-01,0.4
1959-02-01,0.2
1959-03-01,1.39
1959-04-01,1.78
1959-05-01,1.79
1959-06-01,2.38
1959-07-01,2.57
1959-08-01,2.57
1959-09-01,1.58
1959-10-01,0.79
1959-11-01,1.38
1959-12-01,0.78
1960-01-01,1.17
1960-02-01,0.98
1960-03-01,1.59
1960-04-01,1.96
1960-05-01,1.56
1960-06-01,1.76
1960-07-01,1.55
1960-08-01,1.75
1960-09-01,1.55
1960-10-01,1.16
1960-11-01,1.36
1960-12-01,1.16
1961-01-01,0.39
1961-02-01,0
1961-03-01,0.19
1961-04-01,1.16
1961-05-01,0.77
1961-06-01,1.35
1961-07-01,1.35
1961-08-01,1.54
1961-09-01,0.96
1961-10-01,0.19
1961-11-01,0.96
1961-12-01,0.76
1962-01-01,1.15
1962-02-01,1.15
1962-03-01,1.53
1962-04-01,1.91
1962-05-01,1.34
1962-06-01,2.1
1962-07-01,1.52
1962-08-01,1.52
1962-09-01,0.95
1962-10-01,0.95
1962-11-01,1.14
1962-12-01,0.19
1963-01-01,0.38
1963-02-01,0.38
1963-03-01,1.51
1963-04-01,2.08
1963-05-01,1.89
1963-06-01,1.69
1963-07-01,1.88
1963-08-01,2.26
1963-09-01,1.88
1963-10-01,1.12
1963-11-01,0.93
1963-12-01,1.12
1964-01-01,1.12
1964-02-01,0.74
1964-03-01,0.74
1964-04-01,1.11
1964-05-01,1.12
1964-06-01,1.3
1964-07-01,1.3
1964-08-01,1.67
1964-09-01,1.48
1964-10-01,1.11
1964-11-01,1.29
1964-12-01,1.11
1965-01-01,1.47
1965-02-01,1.66
1965-03-01,2.39
1965-04-01,2.39
1965-05-01,2.02
1965-06-01,2.2
1965-07-01,2.01
1965-08-01,1.82
1965-09-01,1.63
1965-10-01,1.45
1965-11-01,2.91
1965-12-01,3.27
1966-01-01,3.8
1966-02-01,3.62
1966-03-01,3.42
1966-04-01,4.14
1966-05-01,3.94
1966-06-01,3.75
1966-07-01,3.56
1966-08-01,3.55
1966-09-01,3.19
1966-10-01,2.47
1966-11-01,1.76
1966-12-01,1.58
1967-01-01,1.4
1967-02-01,1.75
1967-03-01,2.27
1967-04-01,3.14
1967-05-01,3.66
1967-06-01,3.65
1967-07-01,3.82
1967-08-01,3.81
1967-09-01,3.79
1967-10-01,3.61
1967-11-01,3.59
1967-12-01,4.1
1968-01-01,4.08
1968-02-01,4.24
1968-03-01,4.57
1968-04-01,4.89
1968-05-01,4.87
1968-06-01,4.52
1968-07-01,5
1968-08-01,5.15
1968-09-01,4.63
1968-10-01,4.28
1968-11-01,4.43
1968-12-01,5.56
