"Date","CPIULFNS"
1935-03-01,15
1935-04-01,NA
1935-05-01,NA
1935-06-01,NA
1935-07-01,15
1935-08-01,NA
1935-09-01,NA
1935-10-01,15
1935-11-01,NA
1935-12-01,NA
1936-01-01,15.1
1936-02-01,NA
1936-03-01,NA
1936-04-01,15.1
1936-05-01,NA
1936-06-01,NA
1936-07-01,15.2
1936-08-01,NA
1936-09-01,15.2
1936-10-01,NA
1936-11-01,NA
1936-12-01,15.3
1937-01-01,NA
1937-02-01,NA
1937-03-01,15.5
1937-04-01,NA
1937-05-01,NA
1937-06-01,15.7
1937-07-01,NA
1937-08-01,NA
1937-09-01,15.9
1937-10-01,NA
1937-11-01,NA
1937-12-01,16
1938-01-01,NA
1938-02-01,NA
1938-03-01,15.9
1938-04-01,NA
1938-05-01,NA
1938-06-01,15.9
1938-07-01,NA
1938-08-01,NA
1938-09-01,15.8
1938-10-01,NA
1938-11-01,NA
1938-12-01,15.8
1939-01-01,NA
1939-02-01,NA
1939-03-01,15.8
1939-04-01,NA
1939-05-01,NA
1939-06-01,15.7
1939-07-01,NA
1939-08-01,NA
1939-09-01,15.8
1939-10-01,NA
1939-11-01,NA
1939-12-01,15.8
1940-01-01,NA
1940-02-01,NA
1940-03-01,15.8
1940-04-01,NA
1940-05-01,NA
1940-06-01,15.8
1940-07-01,NA
1940-08-01,NA
1940-09-01,15.8
1940-10-01,15.9
1940-11-01,15.9
1940-12-01,15.9
1941-01-01,15.9
1941-02-01,15.9
1941-03-01,15.9
1941-04-01,16
1941-05-01,16
1941-06-01,16.1
1941-07-01,16.2
1941-08-01,16.3
1941-09-01,16.5
1941-10-01,16.8
1941-11-01,16.8
1941-12-01,16.9
1942-01-01,17
1942-02-01,17.2
1942-03-01,17.4
1942-04-01,17.5
1942-05-01,17.5
1942-06-01,17.4
1942-07-01,17.5
1942-08-01,17.5
1942-09-01,17.5
1942-10-01,17.5
1942-11-01,17.6
1942-12-01,17.6
1943-01-01,17.6
1943-02-01,17.6
1943-03-01,17.7
1943-04-01,17.8
1943-05-01,17.8
1943-06-01,17.8
1943-07-01,17.9
1943-08-01,17.9
1943-09-01,18
1943-10-01,18.1
1943-11-01,18.1
1943-12-01,18.2
1944-01-01,18.2
1944-02-01,18.3
1944-03-01,18.4
1944-04-01,18.5
1944-05-01,18.5
1944-06-01,18.6
1944-07-01,18.6
1944-08-01,18.7
1944-09-01,18.8
1944-10-01,18.8
1944-11-01,18.8
1944-12-01,18.8
1945-01-01,18.9
1945-02-01,18.9
1945-03-01,18.9
1945-04-01,19
1945-05-01,19
1945-06-01,19
1945-07-01,19.1
1945-08-01,19.1
1945-09-01,19.1
1945-10-01,19.1
1945-11-01,19.1
1945-12-01,19.2
1946-01-01,19.2
1946-02-01,19.3
1946-03-01,19.4
1946-04-01,19.4
1946-05-01,19.5
1946-06-01,19.6
1946-07-01,19.8
1946-08-01,19.9
1946-09-01,20.1
1946-10-01,20.3
1946-11-01,20.5
1946-12-01,20.9
1947-01-01,21.1
1947-02-01,21.2
1947-03-01,21.3
1947-04-01,21.4
1947-05-01,21.4
1947-06-01,21.4
1947-07-01,21.6
1947-08-01,21.7
1947-09-01,22
1947-10-01,22.2
1947-11-01,22.3
1947-12-01,22.5
1948-01-01,22.7
1948-02-01,22.8
1948-03-01,22.8
1948-04-01,23
1948-05-01,23
1948-06-01,23.1
1948-07-01,23.3
1948-08-01,23.5
1948-09-01,23.6
1948-10-01,23.7
1948-11-01,23.7
1948-12-01,23.7
1949-01-01,23.6
1949-02-01,23.6
1949-03-01,23.6
1949-04-01,23.6
1949-05-01,23.5
1949-06-01,23.4
1949-07-01,23.4
1949-08-01,23.4
1949-09-01,23.5
1949-10-01,23.5
1949-11-01,23.5
1949-12-01,23.5
1950-01-01,23.5
1950-02-01,23.5
1950-03-01,23.5
1950-04-01,23.5
1950-05-01,23.5
1950-06-01,23.5
1950-07-01,23.6
1950-08-01,23.8
1950-09-01,24
1950-10-01,24.2
1950-11-01,24.3
1950-12-01,24.5
1951-01-01,24.8
1951-02-01,25
1951-03-01,25.1
1951-04-01,25.2
1951-05-01,25.2
1951-06-01,25.2
1951-07-01,25.2
1951-08-01,25.3
1951-09-01,25.5
1951-10-01,25.6
1951-11-01,25.7
1951-12-01,25.7
1952-01-01,25.7
1952-02-01,25.8
1952-03-01,25.8
1952-04-01,25.8
1952-05-01,25.8
1952-06-01,25.9
1952-07-01,25.9
1952-08-01,25.9
1952-09-01,26
1952-10-01,26.1
1952-11-01,26.1
1952-12-01,26.2
1953-01-01,26.2
1953-02-01,26.2
1953-03-01,26.3
1953-04-01,26.3
1953-05-01,26.3
1953-06-01,26.4
1953-07-01,26.4
1953-08-01,26.4
1953-09-01,26.5
1953-10-01,26.6
1953-11-01,26.6
1953-12-01,26.6
1954-01-01,26.6
1954-02-01,26.6
1954-03-01,26.6
1954-04-01,26.5
1954-05-01,26.6
1954-06-01,26.5
1954-07-01,26.5
1954-08-01,26.5
1954-09-01,26.5
1954-10-01,26.5
1954-11-01,26.6
1954-12-01,26.6
1955-01-01,26.6
1955-02-01,26.6
1955-03-01,26.6
1955-04-01,26.5
1955-05-01,26.5
1955-06-01,26.5
1955-07-01,26.6
1955-08-01,26.6
1955-09-01,26.7
1955-10-01,26.8
1955-11-01,26.9
1955-12-01,26.8
1956-01-01,26.8
1956-02-01,26.8
1956-03-01,26.9
1956-04-01,26.9
1956-05-01,26.9
1956-06-01,27
1956-07-01,27.1
1956-08-01,27.2
1956-09-01,27.2
1956-10-01,27.4
1956-11-01,27.5
1956-12-01,27.5
1957-01-01,27.6
1957-02-01,27.7
1957-03-01,27.8
1957-04-01,27.9
1957-05-01,27.9
1957-06-01,27.9
1957-07-01,28
1957-08-01,28.1
1957-09-01,28.1
1957-10-01,28.2
1957-11-01,28.4
1957-12-01,28.4
1958-01-01,28.4
1958-02-01,28.5
1958-03-01,28.5
1958-04-01,28.5
1958-05-01,28.5
1958-06-01,28.5
1958-07-01,28.6
1958-08-01,28.7
1958-09-01,28.7
1958-10-01,28.7
1958-11-01,28.9
1958-12-01,28.9
1959-01-01,28.8
1959-02-01,28.9
1959-03-01,28.9
1959-04-01,29
1959-05-01,29
1959-06-01,29.1
1959-07-01,29.2
1959-08-01,29.2
1959-09-01,29.3
1959-10-01,29.5
1959-11-01,29.5
1959-12-01,29.5
1960-01-01,29.5
1960-02-01,29.6
1960-03-01,29.6
1960-04-01,29.6
1960-05-01,29.6
1960-06-01,29.6
1960-07-01,29.6
1960-08-01,29.7
1960-09-01,29.7
1960-10-01,29.8
1960-11-01,29.8
1960-12-01,29.8
1961-01-01,29.8
1961-02-01,29.8
1961-03-01,29.9
1961-04-01,29.8
1961-05-01,29.9
1961-06-01,29.9
1961-07-01,30
1961-08-01,30
1961-09-01,30.1
1961-10-01,30.2
1961-11-01,30.2
1961-12-01,30.2
1962-01-01,30.1
1962-02-01,30.2
1962-03-01,30.2
1962-04-01,30.3
1962-05-01,30.3
1962-06-01,30.3
1962-07-01,30.3
1962-08-01,30.4
1962-09-01,30.5
1962-10-01,30.5
1962-11-01,30.5
1962-12-01,30.5
1963-01-01,30.5
1963-02-01,30.5
1963-03-01,30.5
1963-04-01,30.6
1963-05-01,30.6
1963-06-01,30.7
1963-07-01,30.7
1963-08-01,30.8
1963-09-01,30.8
1963-10-01,30.9
1963-11-01,31
1963-12-01,31
1964-01-01,31
1964-02-01,31
1964-03-01,31.1
1964-04-01,31.1
1964-05-01,31.1
1964-06-01,31.1
1964-07-01,31.1
1964-08-01,31.1
1964-09-01,31.2
1964-10-01,31.2
1964-11-01,31.3
1964-12-01,31.3
1965-01-01,31.4
1965-02-01,31.4
1965-03-01,31.4
1965-04-01,31.5
1965-05-01,31.5
1965-06-01,31.5
1965-07-01,31.5
1965-08-01,31.5
1965-09-01,31.6
1965-10-01,31.7
1965-11-01,31.8
1965-12-01,31.8
1966-01-01,31.8
1966-02-01,31.8
1966-03-01,31.9
1966-04-01,32.1
1966-05-01,32.2
1966-06-01,32.3
1966-07-01,32.4
1966-08-01,32.4
1966-09-01,32.5
1966-10-01,32.7
1966-11-01,32.8
1966-12-01,32.9
1967-01-01,32.8
1967-02-01,32.9
1967-03-01,33
1967-04-01,33.1
1967-05-01,33.3
1967-06-01,33.3
1967-07-01,33.4
1967-08-01,33.5
1967-09-01,33.7
1967-10-01,33.8
1967-11-01,33.9
1967-12-01,34
1968-01-01,34.1
1968-02-01,34.2
1968-03-01,34.4
1968-04-01,34.5
1968-05-01,34.6
1968-06-01,34.8
1968-07-01,34.9
1968-08-01,35.1
1968-09-01,35.2
1968-10-01,35.4
1968-11-01,35.6
1968-12-01,35.7
1969-01-01,35.7
1969-02-01,35.9
1969-03-01,36.3
1969-04-01,36.5
1969-05-01,36.6
1969-06-01,36.7
1969-07-01,36.8
1969-08-01,37
1969-09-01,37.2
1969-10-01,37.4
1969-11-01,37.6
1969-12-01,37.7
1970-01-01,37.9
1970-02-01,38.1
1970-03-01,38.3
1970-04-01,38.6
1970-05-01,38.8
1970-06-01,38.9
1970-07-01,39.1
1970-08-01,39.2
1970-09-01,39.4
1970-10-01,39.7
1970-11-01,40
1970-12-01,40.2
1971-01-01,40.2
1971-02-01,40.2
1971-03-01,40.3
1971-04-01,40.4
1971-05-01,40.6
1971-06-01,40.8
1971-07-01,40.9
1971-08-01,41
1971-09-01,41.1
1971-10-01,41.3
1971-11-01,41.3
1971-12-01,41.4
1972-01-01,41.4
1972-02-01,41.5
1972-03-01,41.6
1972-04-01,41.7
1972-05-01,41.9
1972-06-01,42
1972-07-01,42.1
1972-08-01,42.1
1972-09-01,42.3
1972-10-01,42.5
1972-11-01,42.6
1972-12-01,42.6
1973-01-01,42.6
1973-02-01,42.7
1973-03-01,42.9
1973-04-01,43.1
1973-05-01,43.3
1973-06-01,43.5
1973-07-01,43.6
1973-08-01,43.7
1973-09-01,44
1973-10-01,44.5
1973-11-01,44.8
1973-12-01,45
1974-01-01,45.3
1974-02-01,45.7
1974-03-01,46.2
1974-04-01,46.6
1974-05-01,47.2
1974-06-01,47.8
1974-07-01,48.2
1974-08-01,48.8
1974-09-01,49.4
1974-10-01,49.8
1974-11-01,50.2
1974-12-01,50.5
1975-01-01,50.7
1975-02-01,51.1
1975-03-01,51.4
1975-04-01,51.7
1975-05-01,52
1975-06-01,52.3
1975-07-01,52.6
1975-08-01,52.9
1975-09-01,53.3
1975-10-01,53.6
1975-11-01,54
1975-12-01,54.2
1976-01-01,54.3
1976-02-01,54.6
1976-03-01,54.9
1976-04-01,55.1
1976-05-01,55.5
1976-06-01,55.8
1976-07-01,56.1
1976-08-01,56.4
1976-09-01,56.8
1976-10-01,57.1
1976-11-01,57.3
1976-12-01,57.5
1977-01-01,57.8
1977-02-01,58.1
1977-03-01,58.5
1977-04-01,58.9
1977-05-01,59.2
1977-06-01,59.6
1977-07-01,59.8
1977-08-01,60.1
1977-09-01,60.4
1977-10-01,60.7
1977-11-01,61
1977-12-01,61.2
1978-01-01,61.4
1978-02-01,61.7
1978-03-01,62.1
1978-04-01,62.6
1978-05-01,63.1
1978-06-01,63.7
1978-07-01,64.1
1978-08-01,64.6
1978-09-01,65.2
1978-10-01,65.7
1978-11-01,66.1
1978-12-01,66.3
1979-01-01,66.7
1979-02-01,67.4
