"Date","CUURA210SAF"
1975-11-01,62.1
1975-12-01,NA
1976-01-01,NA
1976-02-01,62.1
1976-03-01,NA
1976-04-01,NA
1976-05-01,63
1976-06-01,NA
1976-07-01,NA
1976-08-01,63.2
1976-09-01,NA
1976-10-01,NA
1976-11-01,63.7
1976-12-01,NA
1977-01-01,NA
1977-02-01,65.4
1977-03-01,NA
1977-04-01,NA
1977-05-01,67.6
1977-06-01,NA
1977-07-01,NA
1977-08-01,65.2
1977-09-01,NA
1977-10-01,NA
1977-11-01,67.4
1977-12-01,NA
1978-01-01,NA
1978-02-01,69.4
1978-03-01,NA
1978-04-01,70.5
1978-05-01,NA
1978-06-01,72.9
1978-07-01,NA
1978-08-01,73.1
1978-09-01,NA
1978-10-01,73.6
1978-11-01,NA
1978-12-01,74.9
1979-01-01,NA
1979-02-01,77.9
1979-03-01,NA
1979-04-01,79.4
1979-05-01,NA
1979-06-01,79.8
1979-07-01,NA
1979-08-01,80.2
1979-09-01,NA
1979-10-01,80.6
1979-11-01,NA
1979-12-01,81.4
1980-01-01,NA
1980-02-01,83.2
1980-03-01,NA
1980-04-01,83.7
1980-05-01,NA
1980-06-01,83.5
1980-07-01,NA
1980-08-01,86.6
1980-09-01,NA
1980-10-01,89
1980-11-01,NA
1980-12-01,89.5
1981-01-01,NA
1981-02-01,91.8
1981-03-01,NA
1981-04-01,91.9
1981-05-01,NA
1981-06-01,94.2
1981-07-01,NA
1981-08-01,94
1981-09-01,NA
1981-10-01,94.4
1981-11-01,NA
1981-12-01,94.2
1982-01-01,NA
1982-02-01,95.4
1982-03-01,NA
1982-04-01,95.5
1982-05-01,NA
1982-06-01,96.7
1982-07-01,NA
1982-08-01,96.7
1982-09-01,NA
1982-10-01,97.1
1982-11-01,NA
1982-12-01,97.2
1983-01-01,NA
1983-02-01,98.7
1983-03-01,NA
1983-04-01,99.3
1983-05-01,NA
1983-06-01,99.4
1983-07-01,NA
1983-08-01,100.3
1983-09-01,NA
1983-10-01,100.9
1983-11-01,NA
1983-12-01,101.2
1984-01-01,NA
1984-02-01,103.6
1984-03-01,NA
1984-04-01,103.2
1984-05-01,NA
1984-06-01,103.3
1984-07-01,NA
1984-08-01,104.2
1984-09-01,NA
1984-10-01,104.7
1984-11-01,NA
1984-12-01,105.3
1985-01-01,NA
1985-02-01,107
1985-03-01,NA
1985-04-01,106.2
1985-05-01,NA
1985-06-01,105.4
1985-07-01,NA
1985-08-01,106
1985-09-01,NA
1985-10-01,106.1
1985-11-01,NA
1985-12-01,106.5
1986-01-01,NA
1986-02-01,107
1986-03-01,NA
1986-04-01,106.9
1986-05-01,NA
1986-06-01,106.3
1986-07-01,NA
1986-08-01,108.2
1986-09-01,NA
1986-10-01,108.7
1986-11-01,108.9
1986-12-01,109.4
1987-01-01,110.6
1987-02-01,NA
1987-03-01,110.7
1987-04-01,NA
1987-05-01,110.9
1987-06-01,NA
1987-07-01,110.6
1987-08-01,NA
1987-09-01,111.7
1987-10-01,NA
1987-11-01,112.7
1987-12-01,NA
1988-01-01,113.3
1988-02-01,NA
1988-03-01,114.8
1988-04-01,NA
1988-05-01,114.2
1988-06-01,NA
1988-07-01,116.4
1988-08-01,NA
1988-09-01,118.8
1988-10-01,NA
1988-11-01,118.9
1988-12-01,NA
1989-01-01,121
1989-02-01,NA
1989-03-01,121.8
1989-04-01,NA
1989-05-01,123.3
1989-06-01,NA
1989-07-01,124.9
1989-08-01,NA
1989-09-01,125.4
1989-10-01,NA
1989-11-01,125.6
1989-12-01,NA
1990-01-01,128.9
1990-02-01,NA
1990-03-01,129.9
1990-04-01,NA
1990-05-01,128.8
1990-06-01,NA
1990-07-01,131.2
1990-08-01,NA
1990-09-01,131.5
1990-10-01,NA
1990-11-01,131.6
1990-12-01,NA
1991-01-01,134.8
1991-02-01,NA
1991-03-01,135.3
1991-04-01,NA
1991-05-01,136.6
1991-06-01,NA
1991-07-01,135.5
1991-08-01,NA
1991-09-01,134.8
1991-10-01,NA
1991-11-01,134.8
1991-12-01,NA
1992-01-01,136.4
1992-02-01,NA
1992-03-01,136.4
1992-04-01,NA
1992-05-01,136.4
1992-06-01,NA
1992-07-01,134.9
1992-08-01,NA
1992-09-01,136.8
1992-10-01,NA
1992-11-01,135.8
1992-12-01,NA
1993-01-01,137.1
1993-02-01,NA
1993-03-01,138.2
1993-04-01,NA
1993-05-01,139.2
1993-06-01,NA
1993-07-01,139.1
1993-08-01,NA
1993-09-01,141.5
1993-10-01,NA
1993-11-01,141.9
1993-12-01,NA
1994-01-01,142.9
1994-02-01,NA
1994-03-01,141.9
1994-04-01,NA
1994-05-01,143.7
1994-06-01,NA
1994-07-01,143.6
1994-08-01,NA
1994-09-01,146
1994-10-01,NA
1994-11-01,146.7
1994-12-01,NA
1995-01-01,149.1
1995-02-01,NA
1995-03-01,146.9
1995-04-01,NA
1995-05-01,148.4
1995-06-01,NA
1995-07-01,148.7
1995-08-01,NA
1995-09-01,149.5
1995-10-01,NA
1995-11-01,150.7
1995-12-01,NA
1996-01-01,150.7
1996-02-01,NA
1996-03-01,151.6
1996-04-01,NA
1996-05-01,153.4
1996-06-01,NA
1996-07-01,153.9
1996-08-01,NA
1996-09-01,156.3
1996-10-01,NA
1996-11-01,157.5
1996-12-01,NA
1997-01-01,157.7
1997-02-01,NA
1997-03-01,156.8
1997-04-01,NA
1997-05-01,157.5
1997-06-01,NA
1997-07-01,157.7
1997-08-01,NA
1997-09-01,158.4
1997-10-01,NA
1997-11-01,159.4
1997-12-01,NA
1998-01-01,161.7
1998-02-01,NA
1998-03-01,160.9
1998-04-01,NA
1998-05-01,163.1
1998-06-01,NA
1998-07-01,163
1998-08-01,NA
1998-09-01,164.2
1998-10-01,NA
1998-11-01,165.4
1998-12-01,NA
1999-01-01,167.2
1999-02-01,NA
1999-03-01,168.2
1999-04-01,NA
1999-05-01,169.6
1999-06-01,NA
1999-07-01,168.5
1999-08-01,NA
1999-09-01,171.3
1999-10-01,NA
1999-11-01,171.1
1999-12-01,NA
2000-01-01,171.7
2000-02-01,NA
2000-03-01,172.3
2000-04-01,NA
2000-05-01,171.1
2000-06-01,NA
2000-07-01,172.6
2000-08-01,NA
2000-09-01,174.6
2000-10-01,NA
2000-11-01,174
2000-12-01,NA
2001-01-01,175.1
2001-02-01,NA
2001-03-01,175.4
2001-04-01,NA
2001-05-01,175.6
2001-06-01,NA
2001-07-01,176.4
2001-08-01,NA
2001-09-01,177.1
2001-10-01,NA
2001-11-01,178.3
2001-12-01,NA
2002-01-01,180.8
2002-02-01,NA
2002-03-01,180
2002-04-01,NA
2002-05-01,179.8
2002-06-01,NA
2002-07-01,179.2
2002-08-01,NA
2002-09-01,178.7
2002-10-01,NA
2002-11-01,181.7
2002-12-01,NA
2003-01-01,183
2003-02-01,NA
2003-03-01,185
2003-04-01,NA
2003-05-01,184.3
2003-06-01,NA
2003-07-01,183.3
2003-08-01,NA
2003-09-01,183.4
2003-10-01,NA
2003-11-01,181.7
2003-12-01,NA
2004-01-01,186.5
2004-02-01,NA
2004-03-01,186
2004-04-01,NA
2004-05-01,188.7
2004-06-01,NA
2004-07-01,187.6
2004-08-01,NA
2004-09-01,189.4
2004-10-01,NA
2004-11-01,187.7
2004-12-01,NA
2005-01-01,190.7
2005-02-01,NA
2005-03-01,190.8
2005-04-01,NA
2005-05-01,194.4
2005-06-01,NA
2005-07-01,192.5
2005-08-01,NA
2005-09-01,193.7
2005-10-01,NA
2005-11-01,192.9
2005-12-01,NA
2006-01-01,198.2
2006-02-01,NA
2006-03-01,194.5
2006-04-01,NA
2006-05-01,197.9
2006-06-01,NA
2006-07-01,198.4
2006-08-01,NA
2006-09-01,197.6
2006-10-01,NA
2006-11-01,199.1
2006-12-01,NA
2007-01-01,199.61
2007-02-01,NA
2007-03-01,201.782
2007-04-01,NA
2007-05-01,203.51
2007-06-01,NA
2007-07-01,204.837
2007-08-01,NA
2007-09-01,205.393
2007-10-01,NA
2007-11-01,206.122
2007-12-01,NA
2008-01-01,210.402
2008-02-01,NA
2008-03-01,208.996
2008-04-01,NA
2008-05-01,213.153
2008-06-01,NA
2008-07-01,212.971
2008-08-01,NA
2008-09-01,218.617
2008-10-01,NA
2008-11-01,220.139
2008-12-01,NA
2009-01-01,222.08
2009-02-01,NA
2009-03-01,220.85
2009-04-01,NA
2009-05-01,219.687
2009-06-01,NA
2009-07-01,218.151
2009-08-01,NA
2009-09-01,219.258
2009-10-01,NA
2009-11-01,218.175
2009-12-01,NA
2010-01-01,221.271
2010-02-01,NA
2010-03-01,220.109
2010-04-01,NA
2010-05-01,221.555
2010-06-01,NA
2010-07-01,220.859
2010-08-01,NA
2010-09-01,222.31
2010-10-01,NA
2010-11-01,224.401
2010-12-01,NA
2011-01-01,226.733
2011-02-01,NA
2011-03-01,229.015
2011-04-01,NA
2011-05-01,229.501
2011-06-01,NA
2011-07-01,233.429
2011-08-01,NA
2011-09-01,234.838
2011-10-01,NA
2011-11-01,233.689
2011-12-01,NA
2012-01-01,235.588
2012-02-01,NA
2012-03-01,237.195
2012-04-01,NA
2012-05-01,238.894
2012-06-01,NA
2012-07-01,240.321
2012-08-01,NA
2012-09-01,240.046
2012-10-01,NA
2012-11-01,238.189
2012-12-01,NA
2013-01-01,243.48
2013-02-01,NA
2013-03-01,241.318
2013-04-01,NA
2013-05-01,240.284
2013-06-01,NA
2013-07-01,240.53
2013-08-01,NA
2013-09-01,240.334
2013-10-01,NA
2013-11-01,241.327
2013-12-01,NA
2014-01-01,242.308
2014-02-01,NA
2014-03-01,245.259
2014-04-01,NA
2014-05-01,246.007
2014-06-01,NA
2014-07-01,246.191
2014-08-01,NA
2014-09-01,247.172
2014-10-01,NA
2014-11-01,247.067
2014-12-01,NA
2015-01-01,250.539
2015-02-01,NA
2015-03-01,249.586
2015-04-01,NA
2015-05-01,250.742
2015-06-01,NA
