"Date","CUUR0000SETA"
1993-01-01,90.4
1993-02-01,90.3
1993-03-01,90.4
1993-04-01,90.8
1993-05-01,91.3
1993-06-01,91.6
1993-07-01,91.8
1993-08-01,92
1993-09-01,92.1
1993-10-01,92.9
1993-11-01,93.9
1993-12-01,94.1
1994-01-01,94
1994-02-01,93.9
1994-03-01,94
1994-04-01,94.3
1994-05-01,94.8
1994-06-01,95.3
1994-07-01,95.6
1994-08-01,95.7
1994-09-01,96
1994-10-01,96.8
1994-11-01,97.7
1994-12-01,98.3
1995-01-01,98.6
1995-02-01,98.8
1995-03-01,99
1995-04-01,99.5
1995-05-01,99.6
1995-06-01,99.6
1995-07-01,99.2
1995-08-01,98.9
1995-09-01,98.9
1995-10-01,99.5
1995-11-01,100.3
1995-12-01,100.7
1996-01-01,100.9
1996-02-01,101
1996-03-01,101
1996-04-01,101
1996-05-01,100.9
1996-06-01,100.9
1996-07-01,100.7
1996-08-01,100.5
1996-09-01,100.7
1996-10-01,101.1
1996-11-01,101.5
1996-12-01,101.7
1997-01-01,101.7
1997-02-01,101.6
1997-03-01,101.6
1997-04-01,101.5
1997-05-01,101.1
1997-06-01,100.6
1997-07-01,100.1
1997-08-01,99.5
1997-09-01,99.3
1997-10-01,99.6
1997-11-01,99.9
1997-12-01,100
1998-01-01,100.2
1998-02-01,100.2
1998-03-01,100.1
1998-04-01,100.1
1998-05-01,99.9
1998-06-01,99.7
1998-07-01,99.9
1998-08-01,99.9
1998-09-01,99.8
1998-10-01,100.1
1998-11-01,100.7
1998-12-01,100.9
1999-01-01,100.6
1999-02-01,99.9
1999-03-01,99.6
1999-04-01,99.7
1999-05-01,99.7
1999-06-01,99.7
1999-07-01,99.8
1999-08-01,99.7
1999-09-01,100.1
1999-10-01,100.5
1999-11-01,100.9
1999-12-01,101.1
2000-01-01,100.8
2000-02-01,100.3
2000-03-01,100.4
2000-04-01,100.8
2000-05-01,101
2000-06-01,100.8
2000-07-01,100.6
2000-08-01,100.4
2000-09-01,100.4
2000-10-01,100.8
2000-11-01,101.5
2000-12-01,102.1
2001-01-01,102.3
2001-02-01,102.2
2001-03-01,101.9
2001-04-01,101.8
2001-05-01,101.4
2001-06-01,101.1
2001-07-01,100.8
2001-08-01,100.5
2001-09-01,100.2
2001-10-01,100.6
2001-11-01,101.3
2001-12-01,101.6
2002-01-01,101
2002-02-01,100.1
2002-03-01,99.6
2002-04-01,99.3
2002-05-01,99.1
2002-06-01,98.8
2002-07-01,98.8
2002-08-01,98.7
2002-09-01,98.7
2002-10-01,98.9
2002-11-01,98.8
2002-12-01,98.7
2003-01-01,98.2
2003-02-01,98
2003-03-01,98
2003-04-01,97.8
2003-05-01,97.4
2003-06-01,97
2003-07-01,96.5
2003-08-01,96
2003-09-01,95.1
2003-10-01,94.6
2003-11-01,94.6
2003-12-01,94.4
2004-01-01,94.3
2004-02-01,94.4
2004-03-01,94.2
2004-04-01,94.1
2004-05-01,94
2004-06-01,93.6
2004-07-01,93.5
2004-08-01,93.4
2004-09-01,93.9
2004-10-01,94.3
2004-11-01,95.2
2004-12-01,95.4
2005-01-01,95.8
2005-02-01,95.9
2005-03-01,95.6
2005-04-01,95.6
2005-05-01,95.7
2005-06-01,95.6
2005-07-01,95.2
2005-08-01,95
2005-09-01,95.4
2005-10-01,95.7
2005-11-01,95.8
2005-12-01,95.8
2006-01-01,96.2
2006-02-01,96.2
2006-03-01,96
2006-04-01,96
2006-05-01,95.8
2006-06-01,95.7
2006-07-01,95.6
2006-08-01,95.5
2006-09-01,95.3
2006-10-01,95.2
2006-11-01,94.9
2006-12-01,94.8
2007-01-01,94.84
2007-02-01,94.591
2007-03-01,94.493
2007-04-01,94.307
2007-05-01,93.981
2007-06-01,93.842
2007-07-01,93.961
2007-08-01,94.121
2007-09-01,93.985
2007-10-01,94.201
2007-11-01,94.562
2007-12-01,94.754
2008-01-01,94.834
2008-02-01,94.581
2008-03-01,94.318
2008-04-01,93.973
2008-05-01,93.705
2008-06-01,93.598
2008-07-01,93.65
2008-08-01,93.26
2008-09-01,92.48
2008-10-01,92.071
2008-11-01,91.618
2008-12-01,91.408
2009-01-01,91.831
2009-02-01,92.224
2009-03-01,92.109
2009-04-01,92.381
2009-05-01,92.701
2009-06-01,93.02
2009-07-01,93.413
2009-08-01,93.126
2009-09-01,93.44
2009-10-01,95.131
2009-11-01,96.039
2009-12-01,96.421
2010-01-01,96.66
2010-02-01,97.02
2010-03-01,97.032
2010-04-01,96.815
2010-05-01,96.89
2010-06-01,97.176
2010-07-01,97.62
2010-08-01,97.891
2010-09-01,97.502
2010-10-01,97.203
2010-11-01,96.936
2010-12-01,97.046
2011-01-01,97.128
2011-02-01,97.633
2011-03-01,98.275
2011-04-01,98.972
2011-05-01,99.915
2011-06-01,101.004
2011-07-01,101.442
2011-08-01,101.524
2011-09-01,100.988
2011-10-01,100.54
2011-11-01,100.021
2011-12-01,99.795
2012-01-01,99.659
2012-02-01,99.889
2012-03-01,100.325
2012-04-01,100.977
2012-05-01,101.399
2012-06-01,101.832
2012-07-01,101.811
2012-08-01,101.458
2012-09-01,100.572
2012-10-01,99.935
2012-11-01,99.645
2012-12-01,99.743
2013-01-01,99.984
2013-02-01,100.345
2013-03-01,100.809
2013-04-01,101.162
2013-05-01,101.199
2013-06-01,101.413
2013-07-01,101.568
2013-08-01,101.505
2013-09-01,101.21
2013-10-01,100.95
2013-11-01,100.582
2013-12-01,100.44
2014-01-01,100.284
2014-02-01,100.576
2014-03-01,100.899
2014-04-01,101.325
2014-05-01,101.422
2014-06-01,101.192
2014-07-01,101.459
2014-08-01,101.416
2014-09-01,100.937
2014-10-01,100.574
2014-11-01,99.918
2014-12-01,99.544
2015-01-01,99.498
2015-02-01,100.103
2015-03-01,101.032
2015-04-01,101.68
2015-05-01,101.749
2015-06-01,101.751
2015-07-01,101.611
2015-08-01,101.318
