"Date","CWSR0000SEHB"
1997-12-01,107.3
1998-01-01,107.5
1998-02-01,107.7
1998-03-01,107.1
1998-04-01,108
1998-05-01,108.4
1998-06-01,108.3
1998-07-01,107.6
1998-08-01,108.5
1998-09-01,110.1
1998-10-01,110.4
1998-11-01,112
1998-12-01,112.4
1999-01-01,110.4
1999-02-01,109.9
1999-03-01,110.6
1999-04-01,112.1
1999-05-01,111.6
1999-06-01,111.7
1999-07-01,112.4
1999-08-01,112.6
1999-09-01,114.2
1999-10-01,113.6
1999-11-01,113.6
1999-12-01,113.7
2000-01-01,115
2000-02-01,114.6
2000-03-01,116.2
2000-04-01,116.1
2000-05-01,117
2000-06-01,118.2
2000-07-01,118.5
2000-08-01,118.1
2000-09-01,118.6
2000-10-01,118.9
2000-11-01,119.2
2000-12-01,117.3
2001-01-01,118.4
2001-02-01,118.8
2001-03-01,120.1
2001-04-01,118.4
2001-05-01,118.5
2001-06-01,120.2
2001-07-01,118.9
2001-08-01,119.8
2001-09-01,117.2
2001-10-01,115.1
2001-11-01,117
2001-12-01,118.1
2002-01-01,118
2002-02-01,119.7
2002-03-01,118.3
2002-04-01,118.7
2002-05-01,119.1
2002-06-01,117.4
2002-07-01,116.3
2002-08-01,118.5
2002-09-01,118.5
2002-10-01,118.1
2002-11-01,119.7
2002-12-01,118.8
2003-01-01,119.3
2003-02-01,118.2
2003-03-01,116.7
2003-04-01,115.6
2003-05-01,120.6
2003-06-01,119.8
2003-07-01,119.8
2003-08-01,120.7
2003-09-01,120.7
2003-10-01,122.2
2003-11-01,122
2003-12-01,122.7
2004-01-01,123
2004-02-01,120.9
2004-03-01,124.6
2004-04-01,126
2004-05-01,126.6
2004-06-01,126.3
2004-07-01,127.1
2004-08-01,127
2004-09-01,128.9
2004-10-01,129.1
2004-11-01,128.2
2004-12-01,128.3
2005-01-01,126.8
2005-02-01,129.2
2005-03-01,133.1
2005-04-01,131.3
2005-05-01,129.8
2005-06-01,130
2005-07-01,130.5
2005-08-01,129.9
2005-09-01,125.5
2005-10-01,130.1
2005-11-01,131
2005-12-01,132.2
2006-01-01,131.1
2006-02-01,133.6
2006-03-01,136.3
2006-04-01,135.6
2006-05-01,135.1
2006-06-01,134.8
2006-07-01,135
2006-08-01,136.1
2006-09-01,134.9
2006-10-01,136
2006-11-01,136.9
2006-12-01,137.8
2007-01-01,138.283
2007-02-01,139.09
2007-03-01,139.113
2007-04-01,140.592
2007-05-01,142.16
2007-06-01,143.794
2007-07-01,143.912
2007-08-01,144.009
2007-09-01,144.163
2007-10-01,143.933
2007-11-01,143.967
2007-12-01,144.172
2008-01-01,145.951
2008-02-01,144.589
2008-03-01,146.506
2008-04-01,143.251
2008-05-01,143.242
2008-06-01,142.644
2008-07-01,143.252
2008-08-01,142.462
2008-09-01,142.166
2008-10-01,141.449
2008-11-01,141.151
2008-12-01,140.298
2009-01-01,141.082
2009-02-01,138.663
2009-03-01,137.117
2009-04-01,136.176
2009-05-01,134.371
2009-06-01,132.944
2009-07-01,131.106
2009-08-01,132.805
2009-09-01,133.859
2009-10-01,135.521
2009-11-01,134.486
2009-12-01,134.292
2010-01-01,133.504
2010-02-01,133.415
2010-03-01,134.073
2010-04-01,134.653
2010-05-01,135.104
2010-06-01,135.738
2010-07-01,136.501
2010-08-01,135.47
2010-09-01,135.356
2010-10-01,135.231
2010-11-01,135.463
2010-12-01,136.934
2011-01-01,137.618
2011-02-01,136.881
2011-03-01,136.935
2011-04-01,137.384
2011-05-01,135.873
2011-06-01,138.867
2011-07-01,141.532
2011-08-01,140.351
2011-09-01,139.331
2011-10-01,139.35
2011-11-01,140.447
2011-12-01,141.521
2012-01-01,139.451
2012-02-01,141
2012-03-01,141.144
2012-04-01,141.666
2012-05-01,143.262
2012-06-01,144.07
2012-07-01,142.703
2012-08-01,142.403
2012-09-01,142.929
2012-10-01,143.25
2012-11-01,143.028
2012-12-01,142.371
2013-01-01,143.332
2013-02-01,143.332
2013-03-01,143.264
2013-04-01,143.671
2013-05-01,145.499
2013-06-01,145.451
2013-07-01,146.801
2013-08-01,145.681
2013-09-01,145.655
2013-10-01,142.846
2013-11-01,145.4
2013-12-01,145.358
2014-01-01,147.095
2014-02-01,147.916
2014-03-01,149.853
2014-04-01,149.847
2014-05-01,151.906
2014-06-01,150.897
2014-07-01,152.324
2014-08-01,152.809
2014-09-01,154.828
2014-10-01,155.333
2014-11-01,155.976
2014-12-01,156.082
2015-01-01,157.187
2015-02-01,156.477
2015-03-01,158.527
2015-04-01,157.75
2015-05-01,154.232
2015-06-01,153.797
2015-07-01,159.178
2015-08-01,157.994
2015-09-01,158.301
2015-10-01,159.076
2015-11-01,160.125
2015-12-01,159.621
2016-01-01,162.4
2016-02-01,162.667
2016-03-01,161.198
2016-04-01,157.799
2016-05-01,159.036
2016-06-01,162.678
2016-07-01,161.256
2016-08-01,163.025
2016-09-01,162.874
2016-10-01,164.957
2016-11-01,163.314
2016-12-01,164.709
2017-01-01,164.117
2017-02-01,165.059
2017-03-01,162.135
2017-04-01,163.434
2017-05-01,164.367
2017-06-01,163.391
2017-07-01,157.824
2017-08-01,163.118
2017-09-01,163.166
2017-10-01,168.04
2017-11-01,165.221
2017-12-01,165.999
2018-01-01,163.055
2018-02-01,163.333
2018-03-01,166.191
2018-04-01,166.327
2018-05-01,172.933
2018-06-01,166.387
2018-07-01,165.207
2018-08-01,166.419
2018-09-01,164.245
2018-10-01,164.235
2018-11-01,164.182
2018-12-01,165.34
2019-01-01,167.226
2019-02-01,170.279
2019-03-01,171.752
2019-04-01,173.755
2019-05-01,175.481
2019-06-01,172.559
2019-07-01,173.535
2019-08-01,170.1
2019-09-01,173.632
2019-10-01,169.73
2019-11-01,168.11
2019-12-01,165.856
2020-01-01,169.354
2020-02-01,173.667
2020-03-01,161.549
2020-04-01,147.443
2020-05-01,148.344
2020-06-01,147.549
2020-07-01,149.1
2020-08-01,150.082
2020-09-01,150.868
2020-10-01,147.432
2020-11-01,150.625
2020-12-01,150.062
2021-01-01,149.165
2021-02-01,146.819
2021-03-01,151.47
2021-04-01,159.49
2021-05-01,164.445
2021-06-01,173.353
2021-07-01,185.869
2021-08-01,180.895
2021-09-01,181.789
2021-10-01,183.675
2021-11-01,187.128
2021-12-01,188.939
2022-01-01,182.437
2022-02-01,187.566
2022-03-01,191.035
2022-04-01,192.647
2022-05-01,195.699
2022-06-01,190.961
2022-07-01,187.084
2022-08-01,186.907
2022-09-01,185.895
2022-10-01,191.739
2022-11-01,191.088
2022-12-01,193.446
2023-01-01,199.263
2023-02-01,201.835
2023-03-01,211.16
2023-04-01,203.316
2023-05-01,202.648
2023-06-01,199.789
2023-07-01,197.126
2023-08-01,191.04
2023-09-01,201.184
2023-10-01,197.152
2023-11-01,194.13
