"Date","SUUR0000SAG"
1999-12-01,100
2000-01-01,100.7
2000-02-01,101.3
2000-03-01,101.7
2000-04-01,102.7
2000-05-01,102.3
2000-06-01,102.1
2000-07-01,103
2000-08-01,102.8
2000-09-01,103.9
2000-10-01,103.3
2000-11-01,104.3
2000-12-01,103.8
2001-01-01,104.3
2001-02-01,104.7
2001-03-01,104.9
2001-04-01,105.9
2001-05-01,105.7
2001-06-01,106.2
2001-07-01,107.6
2001-08-01,106.8
2001-09-01,108.1
2001-10-01,107.6
2001-11-01,108.4
2001-12-01,107.6
2002-01-01,108.1
2002-02-01,109.1
2002-03-01,108.5
2002-04-01,110
2002-05-01,109.5
2002-06-01,110.5
2002-07-01,110.3
2002-08-01,110.8
2002-09-01,111.3
2002-10-01,110.8
2002-11-01,110.8
2002-12-01,110.9
2003-01-01,111.2
2003-02-01,111.6
2003-03-01,111.5
2003-04-01,111.7
2003-05-01,111.6
2003-06-01,111.7
2003-07-01,112
2003-08-01,112.2
2003-09-01,112.2
2003-10-01,112.2
2003-11-01,112.1
2003-12-01,112.2
2004-01-01,112.7
2004-02-01,113
2004-03-01,113.3
2004-04-01,113.5
2004-05-01,113.6
2004-06-01,113.7
2004-07-01,114.1
2004-08-01,114.2
2004-09-01,114.5
2004-10-01,114.7
2004-11-01,114.7
2004-12-01,114.9
2005-01-01,115.5
2005-02-01,115.9
2005-03-01,116.1
2005-04-01,116.3
2005-05-01,116.5
2005-06-01,116.6
2005-07-01,117
2005-08-01,117.1
2005-09-01,117.3
2005-10-01,117.5
2005-11-01,117.9
2005-12-01,118.3
2006-01-01,118.6
2006-02-01,118.9
2006-03-01,119.2
2006-04-01,119.2
2006-05-01,119.3
2006-06-01,119.5
2006-07-01,119.3
2006-08-01,119.8
2006-09-01,120.4
2006-10-01,120.7
2006-11-01,120.8
2006-12-01,121.7
2007-01-01,122.626
2007-02-01,123.14
2007-03-01,123.312
2007-04-01,123.593
2007-05-01,123.852
