"Date","CUSR0000SEHG"
1997-12-01,100.1
1998-01-01,100.2
1998-02-01,100.7
1998-03-01,100.9
1998-04-01,101.1
1998-05-01,101.3
1998-06-01,101.5
1998-07-01,101.9
1998-08-01,102
1998-09-01,102.3
1998-10-01,102.4
1998-11-01,102.6
1998-12-01,102.9
1999-01-01,103.1
1999-02-01,103.2
1999-03-01,103.3
1999-04-01,103.6
1999-05-01,103.7
1999-06-01,103.9
1999-07-01,104.1
1999-08-01,104.2
1999-09-01,104.4
1999-10-01,104.7
1999-11-01,104.8
1999-12-01,104.9
2000-01-01,105.2
2000-02-01,105.5
2000-03-01,105.7
2000-04-01,105.9
2000-05-01,106.1
2000-06-01,106.4
2000-07-01,106.7
2000-08-01,106.8
2000-09-01,107.1
2000-10-01,107.2
2000-11-01,107.7
2000-12-01,108
2001-01-01,108.1
2001-02-01,108.4
2001-03-01,108.6
2001-04-01,108.8
2001-05-01,109
2001-06-01,109.2
2001-07-01,109.6
2001-08-01,110
2001-09-01,110.3
2001-10-01,110.6
2001-11-01,110.8
2001-12-01,111.1
2002-01-01,111.6
2002-02-01,111.8
2002-03-01,112.3
2002-04-01,112.6
2002-05-01,112.7
2002-06-01,112.6
2002-07-01,113
2002-08-01,113.5
2002-09-01,113.6
2002-10-01,113.9
2002-11-01,114.3
2002-12-01,114.6
2003-01-01,114.8
2003-02-01,114.9
2003-03-01,115.7
2003-04-01,116.1
2003-05-01,116.4
2003-06-01,116.6
2003-07-01,117.1
2003-08-01,117.8
2003-09-01,118.3
2003-10-01,118.9
2003-11-01,119.6
2003-12-01,120
2004-01-01,120.6
2004-02-01,121.5
2004-03-01,121.9
2004-04-01,122.3
2004-05-01,123.4
2004-06-01,123.8
2004-07-01,124.4
2004-08-01,125.1
2004-09-01,125.7
2004-10-01,126.1
2004-11-01,126.4
2004-12-01,126.6
2005-01-01,127.5
2005-02-01,128.1
2005-03-01,128.6
2005-04-01,129.1
2005-05-01,129.6
2005-06-01,130.1
2005-07-01,130.7
2005-08-01,131
2005-09-01,131.4
2005-10-01,132
2005-11-01,132.7
2005-12-01,133.2
2006-01-01,133.8
2006-02-01,134.5
2006-03-01,134.9
2006-04-01,135.5
2006-05-01,135.9
2006-06-01,136.6
2006-07-01,137
2006-08-01,137.6
2006-09-01,138.2
2006-10-01,138.7
2006-11-01,139.1
2006-12-01,139.6
2007-01-01,140.397
2007-02-01,140.911
2007-03-01,141.621
2007-04-01,142.293
2007-05-01,142.818
2007-06-01,143.337
2007-07-01,144.188
2007-08-01,144.615
2007-09-01,145.177
2007-10-01,145.539
2007-11-01,146.365
2007-12-01,147.094
2008-01-01,148.039
2008-02-01,148.677
2008-03-01,149.199
2008-04-01,149.695
2008-05-01,150.338
2008-06-01,151.238
2008-07-01,152.061
2008-08-01,153.664
2008-09-01,154.139
2008-10-01,155.485
2008-11-01,156.173
2008-12-01,156.673
2009-01-01,157.073
2009-02-01,157.293
2009-03-01,157.985
2009-04-01,158.904
2009-05-01,159.809
2009-06-01,160.548
2009-07-01,161.473
2009-08-01,162.562
2009-09-01,163.238
2009-10-01,164.414
2009-11-01,164.95
2009-12-01,165.532
2010-01-01,166.687
2010-02-01,167.734
2010-03-01,168.47
2010-04-01,169.311
2010-05-01,170.048
2010-06-01,170.505
2010-07-01,171.222
2010-08-01,171.834
2010-09-01,172.675
2010-10-01,173.168
2010-11-01,174.147
2010-12-01,174.973
2011-01-01,175.68
2011-02-01,176.822
2011-03-01,177.543
2011-04-01,178.119
2011-05-01,178.706
2011-06-01,179.304
2011-07-01,179.862
2011-08-01,180.111
2011-09-01,181.475
2011-10-01,181.794
2011-11-01,182.37
2011-12-01,183.219
2012-01-01,183.96
2012-02-01,185.051
2012-03-01,185.999
2012-04-01,187.4
2012-05-01,187.921
2012-06-01,189.068
2012-07-01,189.776
2012-08-01,191.422
2012-09-01,191.777
2012-10-01,192.337
2012-11-01,193.119
2012-12-01,193.706
2013-01-01,194.548
2013-02-01,195.06
2013-03-01,195.671
2013-04-01,196.18
2013-05-01,196.872
2013-06-01,197.503
2013-07-01,198.145
2013-08-01,198.366
2013-09-01,198.742
2013-10-01,199.822
2013-11-01,200.186
2013-12-01,200.661
2014-01-01,201.127
2014-02-01,201.736
2014-03-01,202.363
2014-04-01,202.93
2014-05-01,203.26
2014-06-01,203.791
2014-07-01,205.073
2014-08-01,205.9
2014-09-01,206.33
2014-10-01,207.704
2014-11-01,208.734
2014-12-01,209.853
2015-01-01,210.09
2015-02-01,210.981
2015-03-01,211.468
2015-04-01,211.987
2015-05-01,212.729
2015-06-01,213.299
2015-07-01,213.986
2015-08-01,215.56
2015-09-01,216.143
2015-10-01,216.55
2015-11-01,217.124
2015-12-01,217.742
2016-01-01,218.191
2016-02-01,218.681
2016-03-01,219.417
2016-04-01,220.319
2016-05-01,221.497
2016-06-01,221.68
2016-07-01,221.53
2016-08-01,222.383
2016-09-01,223.102
2016-10-01,223.631
2016-11-01,224.493
2016-12-01,225.013
2017-01-01,226.235
2017-02-01,227.001
2017-03-01,227.36
2017-04-01,227.883
2017-05-01,228.445
2017-06-01,228.803
2017-07-01,229.186
2017-08-01,229.664
2017-09-01,230.179
2017-10-01,230.838
2017-11-01,231.604
2017-12-01,232.042
2018-01-01,232.771
2018-02-01,233.609
2018-03-01,234.041
2018-04-01,234.873
2018-05-01,235.894
2018-06-01,236.642
2018-07-01,237.301
2018-08-01,238.261
2018-09-01,238.605
2018-10-01,239.276
2018-11-01,241.862
2018-12-01,242.436
2019-01-01,241.356
2019-02-01,241.743
2019-03-01,242.459
2019-04-01,243.284
2019-05-01,243.88
2019-06-01,244.516
2019-07-01,245.042
2019-08-01,245.297
2019-09-01,245.999
2019-10-01,247.071
2019-11-01,247.439
2019-12-01,247.762
2020-01-01,248.556
2020-02-01,249.465
2020-03-01,250.234
2020-04-01,250.541
2020-05-01,251.117
2020-06-01,251.672
2020-07-01,252.483
2020-08-01,253.648
2020-09-01,254.318
2020-10-01,255.077
2020-11-01,255.747
2020-12-01,256.642
2021-01-01,257.389
2021-02-01,258.448
2021-03-01,259.094
2021-04-01,259.502
2021-05-01,259.812
2021-06-01,260.689
2021-07-01,261.795
2021-08-01,262.402
2021-09-01,263.733
2021-10-01,264.553
2021-11-01,264.721
2021-12-01,265.57
2022-01-01,267.762
2022-02-01,269.175
2022-03-01,269.52
2022-04-01,270.379
2022-05-01,271.159
2022-06-01,272.243
2022-07-01,273.188
2022-08-01,274.523
2022-09-01,276.684
2022-10-01,277.156
2022-11-01,278.018
2022-12-01,278.703
2023-01-01,281.078
2023-02-01,283.302
2023-03-01,284.06
2023-04-01,285.009
2023-05-01,286.651
2023-06-01,287.79
2023-07-01,289.1
2023-08-01,290.493
2023-09-01,291.2
2023-10-01,291.96
2023-11-01,292.896
