"Date","APUS49E74715"
2018-01-01,3.371
2018-02-01,3.564
2018-03-01,3.578
2018-04-01,3.725
2018-05-01,3.858
2018-06-01,3.884
2018-07-01,3.807
2018-08-01,3.787
2018-09-01,3.851
2018-10-01,3.968
2018-11-01,3.843
2018-12-01,3.609
2019-01-01,3.423
2019-02-01,3.427
2019-03-01,3.48
2019-04-01,4.122
2019-05-01,4.184
2019-06-01,4.045
2019-07-01,3.988
2019-08-01,3.905
2019-09-01,3.918
2019-10-01,4.163
2019-11-01,4.098
2019-12-01,3.827
2020-01-01,3.743
2020-02-01,3.702
2020-03-01,3.52
2020-04-01,2.968
2020-05-01,3.023
2020-06-01,3.192
2020-07-01,3.309
2020-08-01,3.364
2020-09-01,3.35
2020-10-01,3.317
2020-11-01,3.312
2020-12-01,3.327
2021-01-01,3.509
2021-02-01,3.72
2021-03-01,4.116
2021-04-01,4.194
2021-05-01,4.339
2021-06-01,4.388
2021-07-01,4.47
2021-08-01,4.517
2021-09-01,4.519
2021-10-01,4.602
2021-11-01,4.781
2021-12-01,4.805
2022-01-01,4.796
2022-02-01,4.893
2022-03-01,5.888
2022-04-01,5.998
2022-05-01,6.118
2022-06-01,6.477
2022-07-01,6.108
2022-08-01,5.546
2022-09-01,5.677
2022-10-01,6.25
2022-11-01,5.531
2022-12-01,4.762
2023-01-01,4.738
2023-02-01,4.913
2023-03-01,5.09
2023-04-01,5.097
2023-05-01,5.033
2023-06-01,5.086
2023-07-01,5.133
2023-08-01,5.424
2023-09-01,5.938
2023-10-01,6.005
2023-11-01,5.38
