"Date","SUUR0000SAF"
1999-12-01,100
2000-01-01,100.4
2000-02-01,100.6
2000-03-01,100.7
2000-04-01,100.8
2000-05-01,101.1
2000-06-01,101.1
2000-07-01,101.5
2000-08-01,101.7
2000-09-01,102
2000-10-01,102
2000-11-01,101.9
2000-12-01,102.4
2001-01-01,102.9
2001-02-01,103.2
2001-03-01,103.4
2001-04-01,103.6
2001-05-01,103.9
2001-06-01,104.1
2001-07-01,104.3
2001-08-01,104.5
2001-09-01,104.6
2001-10-01,105.1
2001-11-01,105
2001-12-01,105
2002-01-01,105.6
2002-02-01,105.7
2002-03-01,105.8
2002-04-01,105.9
2002-05-01,105.7
2002-06-01,105.6
2002-07-01,105.7
2002-08-01,105.6
2002-09-01,105.9
2002-10-01,105.9
2002-11-01,106.1
2002-12-01,106.3
2003-01-01,106.5
2003-02-01,106.9
2003-03-01,107
2003-04-01,106.9
2003-05-01,107.2
2003-06-01,107.6
2003-07-01,107.6
2003-08-01,107.9
2003-09-01,108.1
2003-10-01,108.6
2003-11-01,108.8
2003-12-01,109.5
2004-01-01,109.6
2004-02-01,109.7
2004-03-01,109.9
2004-04-01,110
2004-05-01,110.8
2004-06-01,110.9
2004-07-01,111
2004-08-01,111
2004-09-01,111
2004-10-01,111.6
2004-11-01,111.6
2004-12-01,111.7
2005-01-01,112.1
2005-02-01,112
2005-03-01,112.2
2005-04-01,112.7
2005-05-01,113
2005-06-01,112.7
2005-07-01,112.9
2005-08-01,112.9
2005-09-01,113.3
2005-10-01,113.7
2005-11-01,113.7
2005-12-01,114
2006-01-01,114.8
2006-02-01,114.8
2006-03-01,114.8
2006-04-01,114.7
2006-05-01,115
2006-06-01,115.2
2006-07-01,115.4
2006-08-01,115.5
2006-09-01,116
2006-10-01,116.4
2006-11-01,116.2
2006-12-01,116.3
2007-01-01,117.419
2007-02-01,118.11
2007-03-01,118.365
2007-04-01,118.602
2007-05-01,119.173
2007-06-01,119.474
2007-07-01,119.68
2007-08-01,120.13
2007-09-01,120.702
2007-10-01,121.233
2007-11-01,121.3
2007-12-01,121.475
2008-01-01,122.624
2008-02-01,122.987
2008-03-01,123.105
2008-04-01,124.123
2008-05-01,124.654
2008-06-01,125.21
2008-07-01,126.252
2008-08-01,126.876
2008-09-01,127.631
2008-10-01,128.192
2008-11-01,128.105
2008-12-01,128.111
2009-01-01,128.663
2009-02-01,128.374
2009-03-01,128.001
2009-04-01,127.681
2009-05-01,127.531
2009-06-01,127.428
2009-07-01,127.13
2009-08-01,127.064
2009-09-01,127.005
2009-10-01,127.175
2009-11-01,126.818
2009-12-01,126.966
2010-01-01,127.614
2010-02-01,127.593
2010-03-01,127.734
2010-04-01,127.802
2010-05-01,127.853
2010-06-01,127.662
2010-07-01,127.512
2010-08-01,127.82
2010-09-01,128.294
2010-10-01,128.429
2010-11-01,128.272
2010-12-01,128.465
2011-01-01,129.579
2011-02-01,130.134
2011-03-01,130.982
2011-04-01,131.42
2011-05-01,131.823
2011-06-01,131.967
2011-07-01,132.461
2011-08-01,133.133
2011-09-01,133.706
2011-10-01,133.929
2011-11-01,133.65
2011-12-01,133.81
2012-01-01,134.646
2012-02-01,134.554
2012-03-01,134.699
2012-04-01,134.954
2012-05-01,135.009
2012-06-01,135.135
2012-07-01,135.039
2012-08-01,135.294
