"Date","APU0100FJ1101"
2018-04-01,3.182
2018-05-01,3.127
2018-06-01,3.09
2018-07-01,3.087
2018-08-01,3.023
2018-09-01,3.052
2018-10-01,3.129
2018-11-01,3.107
2018-12-01,3.097
2019-01-01,3.091
2019-02-01,3.096
2019-03-01,3.113
2019-04-01,3.111
2019-05-01,3.207
2019-06-01,3.11
2019-07-01,3.132
2019-08-01,3.178
2019-09-01,3.265
2019-10-01,3.185
2019-11-01,3.093
2019-12-01,3.173
2020-01-01,3.2
2020-02-01,3.128
2020-03-01,3.142
2020-04-01,3.147
2020-05-01,NA
2020-06-01,NA
2020-07-01,NA
2020-08-01,3.398
2020-09-01,3.318
2020-10-01,NA
2020-11-01,NA
2020-12-01,NA
2021-01-01,NA
2021-02-01,NA
2021-03-01,NA
2021-04-01,NA
2021-05-01,3.343
2021-06-01,3.513
2021-07-01,3.512
2021-08-01,3.494
2021-09-01,3.534
2021-10-01,3.457
2021-11-01,3.546
2021-12-01,3.614
2022-01-01,3.64
2022-02-01,3.797
2022-03-01,3.827
2022-04-01,4.017
2022-05-01,4.033
2022-06-01,4.024
2022-07-01,3.961
2022-08-01,3.964
2022-09-01,3.905
2022-10-01,4.027
2022-11-01,4.105
2022-12-01,4.091
2023-01-01,4.098
2023-02-01,4.028
2023-03-01,3.95
2023-04-01,3.846
2023-05-01,3.872
2023-06-01,3.817
2023-07-01,3.776
2023-08-01,3.743
2023-09-01,3.768
2023-10-01,3.845
2023-11-01,3.948
