"Date","CUURA423SA0L1E"
2000-12-01,187.4
2001-01-01,NA
2001-02-01,189.4
2001-03-01,NA
2001-04-01,189.9
2001-05-01,NA
2001-06-01,191.5
2001-07-01,NA
2001-08-01,193
2001-09-01,NA
2001-10-01,193
2001-11-01,NA
2001-12-01,192.8
2002-01-01,NA
2002-02-01,194.4
2002-03-01,NA
2002-04-01,195.2
2002-05-01,NA
2002-06-01,196
2002-07-01,NA
2002-08-01,196.9
2002-09-01,NA
2002-10-01,197.3
2002-11-01,NA
2002-12-01,196.4
2003-01-01,NA
2003-02-01,196.3
2003-03-01,NA
2003-04-01,196.9
2003-05-01,NA
2003-06-01,197.4
2003-07-01,NA
2003-08-01,199
2003-09-01,NA
2003-10-01,198.3
2003-11-01,NA
2003-12-01,195.8
2004-01-01,NA
2004-02-01,197.7
2004-03-01,NA
2004-04-01,197.4
2004-05-01,NA
2004-06-01,196.8
2004-07-01,NA
2004-08-01,197.9
2004-09-01,NA
2004-10-01,198.8
2004-11-01,NA
2004-12-01,197.6
2005-01-01,NA
2005-02-01,200.7
2005-03-01,NA
2005-04-01,202
2005-05-01,NA
2005-06-01,201.1
2005-07-01,NA
2005-08-01,199.7
2005-09-01,NA
2005-10-01,202.1
2005-11-01,NA
2005-12-01,202.1
2006-01-01,NA
2006-02-01,205
2006-03-01,NA
2006-04-01,207.6
2006-05-01,NA
2006-06-01,206.9
2006-07-01,NA
2006-08-01,208.5
2006-09-01,NA
2006-10-01,210.6
2006-11-01,NA
2006-12-01,209.6
2007-01-01,NA
2007-02-01,212.528
2007-03-01,NA
2007-04-01,214.939
2007-05-01,NA
2007-06-01,214.008
2007-07-01,NA
2007-08-01,215.848
2007-09-01,NA
2007-10-01,217.441
2007-11-01,NA
2007-12-01,217.575
2008-01-01,NA
2008-02-01,220.567
2008-03-01,NA
2008-04-01,220.618
2008-05-01,NA
2008-06-01,222.479
2008-07-01,NA
2008-08-01,223.261
2008-09-01,NA
2008-10-01,223.923
2008-11-01,NA
2008-12-01,225.449
2009-01-01,NA
2009-02-01,226.58
2009-03-01,NA
2009-04-01,227.736
2009-05-01,NA
2009-06-01,227.355
2009-07-01,NA
2009-08-01,227.424
2009-09-01,NA
2009-10-01,227.607
2009-11-01,NA
2009-12-01,226.41
2010-01-01,NA
2010-02-01,226.427
2010-03-01,NA
2010-04-01,225.409
2010-05-01,NA
2010-06-01,225.645
2010-07-01,NA
2010-08-01,226.763
2010-09-01,NA
2010-10-01,226.27
2010-11-01,NA
2010-12-01,225.42
2011-01-01,NA
2011-02-01,227.266
2011-03-01,NA
2011-04-01,226.533
2011-05-01,NA
2011-06-01,228.388
2011-07-01,NA
2011-08-01,229.47
2011-09-01,NA
2011-10-01,231.927
2011-11-01,NA
2011-12-01,231.662
2012-01-01,NA
2012-02-01,232.397
2012-03-01,NA
2012-04-01,233.296
2012-05-01,NA
2012-06-01,235.134
2012-07-01,NA
2012-08-01,236.419
2012-09-01,NA
2012-10-01,237.441
2012-11-01,NA
2012-12-01,235.394
2013-01-01,NA
2013-02-01,236.561
2013-03-01,NA
2013-04-01,237.256
2013-05-01,NA
2013-06-01,239.514
2013-07-01,NA
2013-08-01,239.387
2013-09-01,NA
2013-10-01,240.259
2013-11-01,NA
2013-12-01,238.568
2014-01-01,NA
2014-02-01,240.078
2014-03-01,NA
2014-04-01,242.749
2014-05-01,NA
2014-06-01,243.804
2014-07-01,NA
2014-08-01,243.471
2014-09-01,NA
2014-10-01,245.515
2014-11-01,NA
2014-12-01,244.719
2015-01-01,NA
2015-02-01,246.594
2015-03-01,NA
2015-04-01,247.64
2015-05-01,NA
2015-06-01,250.692
2015-07-01,NA
2015-08-01,250.405
2015-09-01,NA
2015-10-01,251.754
2015-11-01,NA
2015-12-01,251.492
2016-01-01,NA
2016-02-01,253.614
2016-03-01,NA
2016-04-01,255.819
2016-05-01,NA
2016-06-01,257.436
2016-07-01,NA
2016-08-01,258.742
2016-09-01,NA
2016-10-01,258.235
2016-11-01,NA
2016-12-01,259.237
2017-01-01,NA
2017-02-01,260.935
2017-03-01,NA
2017-04-01,262.47
2017-05-01,NA
2017-06-01,265.353
2017-07-01,NA
2017-08-01,264.523
2017-09-01,NA
2017-10-01,266.012
2017-11-01,NA
2017-12-01,267.587
2018-01-01,NA
2018-02-01,269.586
2018-03-01,NA
2018-04-01,270.701
2018-05-01,NA
2018-06-01,272.962
2018-07-01,NA
2018-08-01,272.33
2018-09-01,NA
2018-10-01,273.038
2018-11-01,NA
2018-12-01,274.672
2019-01-01,NA
2019-02-01,277.685
2019-03-01,NA
2019-04-01,277.826
2019-05-01,NA
2019-06-01,279.775
2019-07-01,NA
2019-08-01,282.507
2019-09-01,NA
2019-10-01,280.017
2019-11-01,NA
2019-12-01,281.128
2020-01-01,NA
2020-02-01,284.288
2020-03-01,NA
2020-04-01,282.362
2020-05-01,NA
2020-06-01,282.867
2020-07-01,NA
2020-08-01,286.538
2020-09-01,NA
2020-10-01,286.656
2020-11-01,NA
2020-12-01,284.791
2021-01-01,NA
2021-02-01,287.957
2021-03-01,NA
2021-04-01,289.862
2021-05-01,NA
2021-06-01,295.847
2021-07-01,NA
2021-08-01,298.196
2021-09-01,NA
2021-10-01,301.708
2021-11-01,NA
2021-12-01,303.174
2022-01-01,NA
2022-02-01,308.002
2022-03-01,NA
2022-04-01,312.46
2022-05-01,NA
2022-06-01,321.741
2022-07-01,NA
2022-08-01,322.523
2022-09-01,NA
2022-10-01,324.871
2022-11-01,NA
2022-12-01,327.795
2023-01-01,NA
2023-02-01,331.83
2023-03-01,NA
2023-04-01,335.286
2023-05-01,NA
2023-06-01,338.646
2023-07-01,NA
2023-08-01,340.852
2023-09-01,NA
2023-10-01,342.678
