"Date","CUURA000SAES"
2009-12-01,100
2010-01-01,100.144
2010-02-01,100.277
2010-03-01,100.446
2010-04-01,100.692
2010-05-01,100.689
2010-06-01,100.711
2010-07-01,101.016
2010-08-01,101.702
2010-09-01,102.185
2010-10-01,101.825
2010-11-01,101.857
2010-12-01,101.735
2011-01-01,101.884
2011-02-01,101.946
2011-03-01,101.942
2011-04-01,101.84
2011-05-01,101.802
2011-06-01,101.906
2011-07-01,102.255
2011-08-01,103.225
2011-09-01,103.793
2011-10-01,103.823
2011-11-01,103.72
2011-12-01,103.72
2012-01-01,103.97
2012-02-01,104.056
2012-03-01,104.099
2012-04-01,104.129
2012-05-01,104.232
2012-06-01,104.244
2012-07-01,104.382
2012-08-01,105.139
2012-09-01,105.737
2012-10-01,105.781
2012-11-01,105.787
2012-12-01,105.739
2013-01-01,106.269
2013-02-01,106.476
2013-03-01,106.496
2013-04-01,106.27
2013-05-01,106.299
2013-06-01,106.317
2013-07-01,106.658
2013-08-01,107.474
2013-09-01,107.779
2013-10-01,107.884
2013-11-01,107.846
2013-12-01,107.806
2014-01-01,107.906
2014-02-01,107.903
2014-03-01,107.928
2014-04-01,108.057
2014-05-01,108.088
2014-06-01,108.307
2014-07-01,108.544
2014-08-01,109.011
2014-09-01,109.304
2014-10-01,109.048
2014-11-01,109.01
2014-12-01,108.903
2015-01-01,109.129
2015-02-01,109.077
2015-03-01,109.11
2015-04-01,109.048
2015-05-01,108.856
2015-06-01,109.162
2015-07-01,109.393
2015-08-01,109.905
2015-09-01,110.608
2015-10-01,110.868
2015-11-01,111.179
2015-12-01,111.202
2016-01-01,111.257
2016-02-01,110.994
2016-03-01,111.049
2016-04-01,111.007
2016-05-01,110.731
2016-06-01,110.748
2016-07-01,110.707
2016-08-01,111.182
2016-09-01,110.835
2016-10-01,110.814
2016-11-01,111.004
2016-12-01,111.15
2017-01-01,110.976
2017-02-01,110.809
2017-03-01,109.21
2017-04-01,108.911
2017-05-01,108.798
2017-06-01,108.769
2017-07-01,108.779
2017-08-01,109.084
2017-09-01,109.587
2017-10-01,109.783
2017-11-01,109.944
2017-12-01,109.965
2018-01-01,109.855
2018-02-01,109.676
2018-03-01,109.644
2018-04-01,109.625
2018-05-01,109.731
2018-06-01,109.931
2018-07-01,110.306
2018-08-01,110.941
2018-09-01,111.518
2018-10-01,111.218
2018-11-01,110.795
2018-12-01,110.594
2019-01-01,110.637
2019-02-01,110.851
2019-03-01,110.776
2019-04-01,110.878
2019-05-01,111.04
2019-06-01,111.341
2019-07-01,111.653
2019-08-01,112.209
2019-09-01,112.448
2019-10-01,112.566
2019-11-01,112.817
2019-12-01,112.994
2020-01-01,113.298
2020-02-01,113.196
2020-03-01,113.031
2020-04-01,113.023
2020-05-01,113.025
2020-06-01,112.842
2020-07-01,114.065
2020-08-01,114.567
2020-09-01,114.833
2020-10-01,115.041
2020-11-01,114.977
2020-12-01,115.015
2021-01-01,114.951
2021-02-01,115.143
2021-03-01,115.078
2021-04-01,115.31
2021-05-01,115.533
2021-06-01,115.788
2021-07-01,115.882
2021-08-01,116.77
2021-09-01,117.733
2021-10-01,117.955
2021-11-01,117.975
2021-12-01,117.921
2022-01-01,117.885
2022-02-01,117.941
2022-03-01,117.668
2022-04-01,117.78
2022-05-01,117.842
2022-06-01,118.03
2022-07-01,118.05
2022-08-01,118.677
2022-09-01,119.057
2022-10-01,119.298
2022-11-01,120.128
2022-12-01,120.28
2023-01-01,120.705
2023-02-01,120.997
2023-03-01,121.164
2023-04-01,121.258
2023-05-01,121.297
2023-06-01,121.209
2023-07-01,121.829
2023-08-01,122.585
2023-09-01,123.05
2023-10-01,122.788
2023-11-01,122.788
