"Date","CUURA103SEHF"
1935-03-01,23.9
1935-04-01,NA
1935-05-01,NA
1935-06-01,NA
1935-07-01,23.3
1935-08-01,NA
1935-09-01,NA
1935-10-01,23.3
1935-11-01,NA
1935-12-01,NA
1936-01-01,23.3
1936-02-01,NA
1936-03-01,NA
1936-04-01,23.3
1936-05-01,NA
1936-06-01,NA
1936-07-01,23.3
1936-08-01,NA
1936-09-01,23.3
1936-10-01,NA
1936-11-01,NA
1936-12-01,23.3
1937-01-01,NA
1937-02-01,NA
1937-03-01,23.3
1937-04-01,NA
1937-05-01,NA
1937-06-01,23.3
1937-07-01,NA
1937-08-01,NA
1937-09-01,23.3
1937-10-01,NA
1937-11-01,NA
1937-12-01,23.3
1938-01-01,NA
1938-02-01,NA
1938-03-01,23.3
1938-04-01,NA
1938-05-01,NA
1938-06-01,23.3
1938-07-01,NA
1938-08-01,NA
1938-09-01,23.3
1938-10-01,NA
1938-11-01,NA
1938-12-01,23.3
1939-01-01,NA
1939-02-01,NA
1939-03-01,23.3
1939-04-01,NA
1939-05-01,NA
1939-06-01,23.3
1939-07-01,NA
1939-08-01,NA
1939-09-01,23.3
1939-10-01,NA
1939-11-01,NA
1939-12-01,24.2
1940-01-01,NA
1940-02-01,NA
1940-03-01,24.2
1940-04-01,NA
1940-05-01,NA
1940-06-01,24.2
1940-07-01,NA
1940-08-01,NA
1940-09-01,24.2
1940-10-01,NA
1940-11-01,NA
1940-12-01,24.2
1941-01-01,24.2
1941-02-01,24.2
1941-03-01,24.2
1941-04-01,24.2
1941-05-01,24.2
1941-06-01,24.2
1941-07-01,24.2
1941-08-01,24.2
1941-09-01,24.2
1941-10-01,24.2
1941-11-01,24.2
1941-12-01,24.2
1942-01-01,24.2
1942-02-01,24.2
1942-03-01,24.2
1942-04-01,24.2
1942-05-01,24.2
1942-06-01,24.2
1942-07-01,24.5
1942-08-01,24.5
1942-09-01,24.5
1942-10-01,24.5
1942-11-01,24.5
1942-12-01,24.5
1943-01-01,24.5
1943-02-01,24.5
1943-03-01,24.5
1943-04-01,24.5
1943-05-01,24.5
1943-06-01,24.5
1943-07-01,24.5
1943-08-01,24.5
1943-09-01,24.5
1943-10-01,24.5
1943-11-01,24.5
1943-12-01,24.5
1944-01-01,24.5
1944-02-01,24.5
1944-03-01,24.6
1944-04-01,24.6
1944-05-01,24.6
1944-06-01,24.6
1944-07-01,24.6
1944-08-01,24.6
1944-09-01,24.6
1944-10-01,24.6
1944-11-01,24.6
1944-12-01,24.6
1945-01-01,24.6
1945-02-01,24.6
1945-03-01,24.6
1945-04-01,24.6
1945-05-01,24.6
1945-06-01,24.6
1945-07-01,24.6
1945-08-01,24.6
1945-09-01,24.6
1945-10-01,24.6
1945-11-01,24.6
1945-12-01,24.6
1946-01-01,24.6
1946-02-01,24.6
1946-03-01,23.9
1946-04-01,23.9
1946-05-01,23.9
1946-06-01,23.9
1946-07-01,23.9
1946-08-01,23.9
1946-09-01,23.9
1946-10-01,23.7
1946-11-01,23.9
1946-12-01,24.4
1947-01-01,24.4
1947-02-01,24.4
1947-03-01,24.4
1947-04-01,24.6
1947-05-01,24.6
1947-06-01,24.6
1947-07-01,24.6
1947-08-01,24.8
1947-09-01,24.9
1947-10-01,25.1
1947-11-01,25.1
1947-12-01,25.2
1948-01-01,25.4
1948-02-01,25.5
1948-03-01,25.9
1948-04-01,26
1948-05-01,26.1
