"Date","CP0400USM086NEST"
2001-12-01,65.08
2002-01-01,65.45
2002-02-01,65.31
2002-03-01,65.44
2002-04-01,65.54
2002-05-01,65.83
2002-06-01,66.87
2002-07-01,67.03
2002-08-01,67.12
2002-09-01,67.28
2002-10-01,66.85
2002-11-01,66.84
2002-12-01,67.06
2003-01-01,67.56
2003-02-01,68.07
2003-03-01,69.33
2003-04-01,69.13
2003-05-01,69.33
2003-06-01,70.4
2003-07-01,70.54
2003-08-01,70.59
2003-09-01,70.78
2003-10-01,69.97
2003-11-01,69.67
2003-12-01,69.9
2004-01-01,70.5
2004-02-01,70.71
2004-03-01,70.47
2004-04-01,70.64
2004-05-01,71.21
2004-06-01,72.79
2004-07-01,73.09
2004-08-01,73.44
2004-09-01,73.35
2004-10-01,72.65
2004-11-01,73.27
2004-12-01,73.42
2005-01-01,73.79
2005-02-01,73.78
2005-03-01,73.92
2005-04-01,74.59
2005-05-01,75.08
2005-06-01,76.3
2005-07-01,76.96
2005-08-01,77.41
2005-09-01,78.91
2005-10-01,79.81
2005-11-01,80.29
2005-12-01,79.81
2006-01-01,81.27
2006-02-01,80.6
2006-03-01,80.23
2006-04-01,80.1
2006-05-01,80.48
2006-06-01,81.74
2006-07-01,82.07
2006-08-01,82.37
2006-09-01,82.64
2006-10-01,80.91
2006-11-01,81.19
2006-12-01,81.8
2007-01-01,82.32
2007-02-01,82.58
2007-03-01,83.03
2007-04-01,83.12
2007-05-01,83.66
2007-06-01,85.28
2007-07-01,85.39
2007-08-01,85.14
2007-09-01,85.27
2007-10-01,84.77
2007-11-01,85.25
2007-12-01,85.59
2008-01-01,86.09
2008-02-01,86.38
2008-03-01,87.16
2008-04-01,88.08
2008-05-01,89.45
2008-06-01,91.9
2008-07-01,93.55
2008-08-01,93.03
2008-09-01,91.74
2008-10-01,90.48
2008-11-01,89.66
2008-12-01,89.56
2009-01-01,89.7
2009-02-01,89.42
2009-03-01,88.88
2009-04-01,88.27
2009-05-01,88.14
2009-06-01,89.4
2009-07-01,89.44
2009-08-01,89.39
2009-09-01,89.17
2009-10-01,88.42
2009-11-01,88.62
2009-12-01,88.61
2010-01-01,89.15
2010-02-01,89.01
2010-03-01,89.31
2010-04-01,89.19
2010-05-01,89.38
2010-06-01,90.38
2010-07-01,90.75
2010-08-01,90.73
2010-09-01,90.42
2010-10-01,89.56
2010-11-01,89.29
2010-12-01,89.72
2011-01-01,90.13
2011-02-01,90.48
2011-03-01,90.76
2011-04-01,90.88
2011-05-01,91.44
2011-06-01,92.47
2011-07-01,92.88
2011-08-01,93.03
2011-09-01,93.13
2011-10-01,92.17
2011-11-01,91.87
2011-12-01,91.92
2012-01-01,92.12
2012-02-01,92.02
2012-03-01,92
2012-04-01,91.94
2012-05-01,92.07
2012-06-01,93.14
2012-07-01,93.21
2012-08-01,93.58
2012-09-01,93.7
2012-10-01,93.12
2012-11-01,93.18
2012-12-01,93.43
2013-01-01,93.88
2013-02-01,94.13
2013-03-01,94.1
2013-04-01,94.35
2013-05-01,95.13
2013-06-01,96.28
2013-07-01,96.46
2013-08-01,96.46
2013-09-01,96.68
2013-10-01,95.87
2013-11-01,95.69
2013-12-01,96.04
2014-01-01,97.21
2014-02-01,97.64
2014-03-01,98.36
2014-04-01,97.66
2014-05-01,98.49
2014-06-01,99.69
2014-07-01,100.03
2014-08-01,99.93
2014-09-01,99.85
2014-10-01,98.94
2014-11-01,98.72
2014-12-01,99.14
2015-01-01,99.49
2015-02-01,99.58
2015-03-01,99.36
2015-04-01,99.17
2015-05-01,99.39
2015-06-01,100.71
2015-07-01,100.74
2015-08-01,100.89
2015-09-01,100.88
2015-10-01,100.08
2015-11-01,99.87
2015-12-01,99.85
2016-01-01,100.19
2016-02-01,100.27
2016-03-01,100.4
2016-04-01,100.48
2016-05-01,101.12
2016-06-01,102.3
2016-07-01,102.81
2016-08-01,103.15
2016-09-01,103.48
2016-10-01,103.01
2016-11-01,102.95
2016-12-01,103.31
2017-01-01,103.99
2017-02-01,104.34
2017-03-01,104.31
2017-04-01,104.63
2017-05-01,105.31
2017-06-01,106.43
2017-07-01,106.64
2017-08-01,106.88
2017-09-01,106.98
2017-10-01,106.45
2017-11-01,106.59
2017-12-01,107.02
2018-01-01,107.44
2018-02-01,107.91
2018-03-01,107.85
2018-04-01,107.88
2018-05-01,108.38
2018-06-01,109.17
2018-07-01,109.34
2018-08-01,109.75
2018-09-01,109.56
2018-10-01,109.42
2018-11-01,109.55
2018-12-01,110.18
2019-01-01,110.35
2019-02-01,110.37
2019-03-01,110.62
2019-04-01,110.74
2019-05-01,110.98
2019-06-01,111.82
2019-07-01,112.11
2019-08-01,112.22
2019-09-01,112.32
2019-10-01,112.26
2019-11-01,112.38
2019-12-01,112.64
2020-01-01,113.19
2020-02-01,113.22
2020-03-01,113.12
2020-04-01,113.04
2020-05-01,113.26
2020-06-01,114.09
2020-07-01,114.3
2020-08-01,114.38
2020-09-01,114.73
2020-10-01,114.64
2020-11-01,114.86
2020-12-01,115.19
2021-01-01,115.53
2021-02-01,116.04
2021-03-01,116.22
2021-04-01,116.62
2021-05-01,117.14
2021-06-01,118.11
2021-07-01,118.57
2021-08-01,119.17
2021-09-01,119.88
2021-10-01,120.9
2021-11-01,121.23
2021-12-01,121.59
2022-01-01,123.34
2022-02-01,123.79
2022-03-01,124.84
2022-04-01,125.75
2022-05-01,127.73
2022-06-01,130.25
2022-07-01,130.69
2022-08-01,131.97
2022-09-01,132.99
2022-10-01,133.13
2022-11-01,133.27
2022-12-01,134.15
2023-01-01,135.7
