"Date","CUSR0000SEHF02"
1952-01-01,13.2
1952-02-01,13.3
1952-03-01,13.3
1952-04-01,13.3
1952-05-01,13.3
1952-06-01,13.4
1952-07-01,13.4
1952-08-01,13.4
1952-09-01,13.4
1952-10-01,13.4
1952-11-01,13.5
1952-12-01,13.5
1953-01-01,13.6
1953-02-01,13.6
1953-03-01,13.7
1953-04-01,13.7
1953-05-01,13.7
1953-06-01,13.8
1953-07-01,13.8
1953-08-01,13.9
1953-09-01,13.9
1953-10-01,13.9
1953-11-01,14
1953-12-01,14
1954-01-01,14
1954-02-01,14
1954-03-01,14
1954-04-01,14
1954-05-01,14.1
1954-06-01,14
1954-07-01,14.1
1954-08-01,14
1954-09-01,14
1954-10-01,14.2
1954-11-01,14.2
1954-12-01,14.2
1955-01-01,14.3
1955-02-01,14.4
1955-03-01,14.5
1955-04-01,14.5
1955-05-01,14.7
1955-06-01,14.6
1955-07-01,14.7
1955-08-01,14.6
1955-09-01,14.7
1955-10-01,14.7
1955-11-01,14.8
1955-12-01,14.8
1956-01-01,14.8
1956-02-01,14.8
1956-03-01,14.8
1956-04-01,14.8
1956-05-01,14.9
1956-06-01,14.8
1956-07-01,14.9
1956-08-01,14.9
1956-09-01,14.9
1956-10-01,14.9
1956-11-01,14.9
1956-12-01,14.9
1957-01-01,14.9
1957-02-01,14.9
1957-03-01,14.9
1957-04-01,15
1957-05-01,15
1957-06-01,15
1957-07-01,15
1957-08-01,15.3
1957-09-01,15.3
1957-10-01,15.3
1957-11-01,15.4
1957-12-01,15.4
1958-01-01,15.7
1958-02-01,15.7
1958-03-01,15.8
1958-04-01,15.8
1958-05-01,15.9
1958-06-01,16
1958-07-01,16.1
1958-08-01,16.1
1958-09-01,16.2
1958-10-01,16.2
1958-11-01,16.2
1958-12-01,16.2
1959-01-01,16.2
1959-02-01,16.3
1959-03-01,16.3
1959-04-01,16.3
1959-05-01,16.3
1959-06-01,16.4
1959-07-01,16.5
1959-08-01,16.6
1959-09-01,16.9
1959-10-01,16.9
1959-11-01,16.9
1959-12-01,17.1
1960-01-01,17.2
1960-02-01,17.4
1960-03-01,17.4
1960-04-01,17.5
1960-05-01,17.6
1960-06-01,17.7
1960-07-01,17.7
1960-08-01,17.7
1960-09-01,17.8
1960-10-01,17.8
1960-11-01,17.9
1960-12-01,17.8
1961-01-01,17.9
1961-02-01,17.8
1961-03-01,17.9
1961-04-01,17.9
1961-05-01,18
1961-06-01,18
1961-07-01,17.9
1961-08-01,17.9
1961-09-01,17.8
1961-10-01,17.8
1961-11-01,17.8
1961-12-01,17.8
1962-01-01,17.8
1962-02-01,17.8
1962-03-01,17.9
1962-04-01,17.9
1962-05-01,17.9
1962-06-01,17.9
1962-07-01,17.9
1962-08-01,17.9
1962-09-01,17.9
1962-10-01,17.8
1962-11-01,17.9
1962-12-01,17.9
1963-01-01,17.9
1963-02-01,17.9
1963-03-01,17.9
1963-04-01,17.9
1963-05-01,17.9
1963-06-01,17.9
1963-07-01,17.9
1963-08-01,17.4
1963-09-01,17.9
1963-10-01,17.9
1963-11-01,17.9
1963-12-01,17.9
1964-01-01,17.9
1964-02-01,17.3
1964-03-01,17.6
1964-04-01,18
1964-05-01,18
1964-06-01,18.1
1964-07-01,18.1
1964-08-01,18.1
1964-09-01,18.1
1964-10-01,18.1
1964-11-01,18.1
1964-12-01,18.1
1965-01-01,18
1965-02-01,18
1965-03-01,17.9
1965-04-01,17.9
1965-05-01,18
1965-06-01,18
1965-07-01,17.7
1965-08-01,18
1965-09-01,18
1965-10-01,18
1965-11-01,18.1
1965-12-01,18.1
1966-01-01,18
1966-02-01,18.1
1966-03-01,18.1
1966-04-01,18.1
1966-05-01,18.1
1966-06-01,18.1
1966-07-01,18.1
1966-08-01,18.1
1966-09-01,18.1
1966-10-01,18.1
1966-11-01,18.1
1966-12-01,18
1967-01-01,18
1967-02-01,18
1967-03-01,18
1967-04-01,18
1967-05-01,18
1967-06-01,18.1
1967-07-01,18.1
1967-08-01,18.1
1967-09-01,18.2
1967-10-01,18.2
1967-11-01,18.1
1967-12-01,18
1968-01-01,18.1
1968-02-01,18.1
1968-03-01,18.1
1968-04-01,18.1
1968-05-01,18.1
1968-06-01,18.2
1968-07-01,18.3
1968-08-01,18.4
1968-09-01,18.3
1968-10-01,18.3
1968-11-01,18.3
1968-12-01,18.4
1969-01-01,18.4
1969-02-01,18.3
1969-03-01,18.4
1969-04-01,18.4
1969-05-01,18.4
1969-06-01,18.5
1969-07-01,18.5
1969-08-01,18.5
1969-09-01,18.7
1969-10-01,18.8
1969-11-01,18.9
1969-12-01,19
1970-01-01,19.1
1970-02-01,19.2
1970-03-01,19.2
1970-04-01,19.4
1970-05-01,19.5
1970-06-01,19.4
1970-07-01,19.6
1970-08-01,19.8
1970-09-01,19.8
1970-10-01,19.9
1970-11-01,20
1970-12-01,20.1
1971-01-01,20.2
1971-02-01,20.5
1971-03-01,20.5
1971-04-01,20.7
1971-05-01,20.9
1971-06-01,21.1
1971-07-01,21.1
1971-08-01,21.2
1971-09-01,21.3
1971-10-01,21.4
1971-11-01,21.3
1971-12-01,21.7
1972-01-01,21.8
1972-02-01,21.8
1972-03-01,21.9
1972-04-01,21.9
1972-05-01,21.9
1972-06-01,21.9
1972-07-01,22.1
1972-08-01,22.1
1972-09-01,22.2
1972-10-01,22.3
1972-11-01,22.5
1972-12-01,22.5
1973-01-01,22.6
1973-02-01,22.6
1973-03-01,22.6
1973-04-01,22.7
1973-05-01,22.8
1973-06-01,22.9
1973-07-01,23
1973-08-01,23.2
1973-09-01,23.3
1973-10-01,23.5
1973-11-01,23.9
1973-12-01,23.9
1974-01-01,24.2
1974-02-01,24.5
1974-03-01,24.7
1974-04-01,25
1974-05-01,25.3
1974-06-01,25.5
1974-07-01,26.1
1974-08-01,26.7
1974-09-01,26.9
1974-10-01,27.2
1974-11-01,27.6
1974-12-01,28
1975-01-01,28.6
1975-02-01,29
1975-03-01,29.3
1975-04-01,30.1
1975-05-01,30.6
1975-06-01,31.4
1975-07-01,31.4
1975-08-01,31.8
1975-09-01,32.3
1975-10-01,32.4
1975-11-01,33.1
1975-12-01,33.6
1976-01-01,34
1976-02-01,34.6
1976-03-01,35
1976-04-01,35.1
1976-05-01,35.3
1976-06-01,35.8
1976-07-01,36.1
1976-08-01,36.6
1976-09-01,37.3
1976-10-01,37.4
1976-11-01,38.6
1976-12-01,39.9
1977-01-01,41.4
1977-02-01,41.8
1977-03-01,42.3
1977-04-01,42.7
1977-05-01,42.6
1977-06-01,42.9
1977-07-01,43.3
1977-08-01,43.7
1977-09-01,43.7
1977-10-01,43.7
1977-11-01,45.2
1977-12-01,45.2
1978-01-01,45
1978-02-01,45.5
1978-03-01,46.1
1978-04-01,46.7
1978-05-01,47
1978-06-01,47.2
1978-07-01,47.3
1978-08-01,47.9
1978-09-01,48.3
1978-10-01,49.4
1978-11-01,49.3
1978-12-01,50
1979-01-01,51.4
1979-02-01,52
1979-03-01,52.2
1979-04-01,52.3
1979-05-01,52.5
1979-06-01,53.9
1979-07-01,55.2
1979-08-01,56.3
1979-09-01,57.1
1979-10-01,58.5
1979-11-01,59.5
1979-12-01,60.4
1980-01-01,61.1
1980-02-01,61.7
1980-03-01,62.8
1980-04-01,63.7
1980-05-01,64.6
1980-06-01,65.6
1980-07-01,66.7
1980-08-01,67.7
1980-09-01,67.9
1980-10-01,68.5
1980-11-01,68.7
1980-12-01,69.4
1981-01-01,70.1
1981-02-01,71.2
1981-03-01,72.1
1981-04-01,73.2
1981-05-01,74
1981-06-01,74.6
1981-07-01,75.1
1981-08-01,75
1981-09-01,77.1
1981-10-01,77.3
1981-11-01,79.1
1981-12-01,79.7
1982-01-01,81.5
1982-02-01,82.6
1982-03-01,83.9
1982-04-01,85.2
1982-05-01,87.8
1982-06-01,88.9
1982-07-01,89.6
1982-08-01,89.9
1982-09-01,92.3
1982-10-01,96.6
1982-11-01,98.5
1982-12-01,100.2
1983-01-01,102.1
1983-02-01,102.7
1983-03-01,104
1983-04-01,105.9
1983-05-01,105.2
1983-06-01,105.5
1983-07-01,106.2
1983-08-01,105.7
1983-09-01,105.1
1983-10-01,103.9
1983-11-01,104.8
1983-12-01,105.8
1984-01-01,104.3
1984-02-01,105.1
1984-03-01,104.6
1984-04-01,104.9
1984-05-01,104.7
1984-06-01,104.5
1984-07-01,105.5
1984-08-01,105.8
1984-09-01,106.6
1984-10-01,106.6
1984-11-01,106.7
1984-12-01,106.7
1985-01-01,106.4
1985-02-01,105.4
1985-03-01,106.1
1985-04-01,105.8
1985-05-01,105.7
1985-06-01,105.7
1985-07-01,106
1985-08-01,104.1
1985-09-01,104.7
1985-10-01,103.1
1985-11-01,102.6
1985-12-01,102
1986-01-01,101.8
1986-02-01,101.8
1986-03-01,101.2
1986-04-01,100.8
1986-05-01,100.5
1986-06-01,101.8
1986-07-01,99.1
1986-08-01,100.1
1986-09-01,98.4
1986-10-01,98.6
1986-11-01,96
1986-12-01,96.2
1987-01-01,96.4
1987-02-01,95.8
1987-03-01,95.3
1987-04-01,95.1
1987-05-01,95.7
1987-06-01,96.6
1987-07-01,93.8
1987-08-01,95.6
1987-09-01,96
1987-10-01,94.6
1987-11-01,93.3
1987-12-01,93.6
1988-01-01,92.8
1988-02-01,92.9
1988-03-01,93.3
1988-04-01,93.5
1988-05-01,94.1
1988-06-01,94.2
1988-07-01,95
1988-08-01,94.6
1988-09-01,95.6
1988-10-01,96
1988-11-01,96.6
1988-12-01,96.2
1989-01-01,96.8
1989-02-01,96.7
1989-03-01,97.1
1989-04-01,97.2
1989-05-01,96.3
1989-06-01,96.7
1989-07-01,97.4
1989-08-01,97.8
1989-09-01,97.1
1989-10-01,97.6
1989-11-01,97.5
1989-12-01,97.8
1990-01-01,97.8
1990-02-01,98.4
1990-03-01,98.5
1990-04-01,96.1
1990-05-01,95.1
1990-06-01,97.5
1990-07-01,96.3
1990-08-01,96.6
1990-09-01,97.3
1990-10-01,97
1990-11-01,98.4
1990-12-01,98.7
1991-01-01,99.7
1991-02-01,99.6
1991-03-01,98.6
1991-04-01,97.3
1991-05-01,98.2
1991-06-01,97.7
1991-07-01,98.2
1991-08-01,97.5
1991-09-01,98
1991-10-01,98.7
1991-11-01,100.1
1991-12-01,98.7
1992-01-01,99
1992-02-01,98.5
1992-03-01,97
1992-04-01,98.9
1992-05-01,98.2
1992-06-01,99.2
1992-07-01,99.9
1992-08-01,100.4
1992-09-01,101.7
1992-10-01,102.5
1992-11-01,105
1992-12-01,103.5
1993-01-01,103.2
1993-02-01,102.8
1993-03-01,104.1
1993-04-01,104
1993-05-01,105.7
1993-06-01,107.2
1993-07-01,107.4
1993-08-01,108.3
1993-09-01,108.9
1993-10-01,108.7
1993-11-01,108.3
1993-12-01,109.1
