"Date","CRESTKCPIXSLTRM158SFRBATL"
1967-01-01,1.676059174
1967-02-01,3.110935025
1967-03-01,3.480931151
1967-04-01,3.123894624
1967-05-01,2.943458673
1967-06-01,3.095879081
1967-07-01,3.953437175
1967-08-01,3.277672293
1967-09-01,4.439532918
1967-10-01,4.853994393
1967-11-01,4.718969728
1967-12-01,3.543231575
1968-01-01,7.306899857
1968-02-01,3.636932673
1968-03-01,7.221289984
1968-04-01,3.502354656
1968-05-01,4.44302946
1968-06-01,4.044491847
1968-07-01,2.740798805
1968-08-01,4.530852823
1968-09-01,4.488619204
1968-10-01,7.018967626
1968-11-01,6.492633907
1968-12-01,7.176398639
1969-01-01,5.604532985
1969-02-01,3.880347809
1969-03-01,6.823496838
1969-04-01,5.929576827
1969-05-01,4.663903439
1969-06-01,4.647013422
1969-07-01,3.491580477
1969-08-01,5.408157493
1969-09-01,5.069512001
1969-10-01,1.970088316
1969-11-01,4.447774939
1969-12-01,7.082451202
1970-01-01,10.19391806
1970-02-01,5.701962633
1970-03-01,6.466322423
1970-04-01,5.578674958
1970-05-01,5.196402727
1970-06-01,6.522384501
1970-07-01,6.176401697
1970-08-01,5.511597298
1970-09-01,5.022058297
1970-10-01,4.287911268
1970-11-01,10.578590151
1970-12-01,5.144624407
1971-01-01,8.58111866
1971-02-01,6.990621926
1971-03-01,4.611615051
1971-04-01,6.582926317
1971-05-01,5.307075482
1971-06-01,5.595955045
1971-07-01,4.753524862
1971-08-01,3.076383393
1971-09-01,2.781276886
1971-10-01,-1.4722116
1971-11-01,1.77113696
1971-12-01,4.45614245
1972-01-01,4.877307921
1972-02-01,2.239176957
1972-03-01,2.053680794
1972-04-01,2.579769574
1972-05-01,3.192420168
1972-06-01,2.804906107
1972-07-01,2.166703711
1972-08-01,1.205287465
1972-09-01,2.457861146
1972-10-01,2.694310114
1972-11-01,2.854888463
1972-12-01,1.953108631
1973-01-01,0.99510997
1973-02-01,3.097976919
1973-03-01,3.107479384
1973-04-01,4.763918486
1973-05-01,4.035532409
1973-06-01,3.577306979
1973-07-01,2.733172353
1973-08-01,3.314511285
1973-09-01,4.356521569
1973-10-01,8.949593165
1973-11-01,4.164890636
1973-12-01,5.571360082
1974-01-01,7.832420057
1974-02-01,8.149430823
1974-03-01,9.870370941
1974-04-01,8.78186862
1974-05-01,15.464738914
1974-06-01,15.901818875
1974-07-01,13.125371205
1974-08-01,13.867797851
1974-09-01,13.416070288
1974-10-01,11.777740404
1974-11-01,11.120494588
1974-12-01,10.450755356
1975-01-01,9.121584567
1975-02-01,10.078153071
1975-03-01,8.235719739
1975-04-01,9.80014426
1975-05-01,4.249507563
1975-06-01,6.488311805
1975-07-01,6.259089759
1975-08-01,4.983155901
1975-09-01,12.168810102
1975-10-01,7.769557177
1975-11-01,9.531257768
1975-12-01,8.426837292
1976-01-01,13.69031067
1976-02-01,9.454059802
1976-03-01,9.426948035
1976-04-01,5.387757699
1976-05-01,4.958566365
1976-06-01,6.721680817
1976-07-01,7.384501894
1976-08-01,6.939948801
1976-09-01,6.619444711
1976-10-01,7.097401046
1976-11-01,9.324552413
1976-12-01,5.243174103
1977-01-01,5.321797964
1977-02-01,6.153837601
1977-03-01,7.145585783
1977-04-01,6.87858338
1977-05-01,6.780669745
1977-06-01,9.090519384
1977-07-01,5.410676237
1977-08-01,6.279644106
1977-09-01,6.167527652
1977-10-01,5.648946651
1977-11-01,5.677218807
1977-12-01,6.243993517
1978-01-01,5.315631909
1978-02-01,5.843078596
1978-03-01,5.567450598
1978-04-01,6.492888153
1978-05-01,6.321144539
1978-06-01,6.426167592
1978-07-01,6.611936509
1978-08-01,6.750216006
1978-09-01,7.614536328
1978-10-01,8.642732164
1978-11-01,8.130865674
1978-12-01,7.360677977
1979-01-01,6.671251786
1979-02-01,6.113917528
1979-03-01,7.119126452
1979-04-01,7.367081779
1979-05-01,7.571418608
1979-06-01,6.23714377
1979-07-01,7.9170616
1979-08-01,8.682487284
1979-09-01,6.795198602
1979-10-01,7.269653785
1979-11-01,12.292861121
1979-12-01,10.330803478
1980-01-01,10.679427928
1980-02-01,12.006533279
1980-03-01,13.689635785
1980-04-01,12.810827177
