"Date","APUS35D74716"
2018-01-01,3.087
2018-02-01,3.12
2018-03-01,3.128
2018-04-01,3.169
2018-05-01,3.345
2018-06-01,3.286
2018-07-01,3.304
2018-08-01,3.412
2018-09-01,3.379
2018-10-01,3.385
2018-11-01,3.301
2018-12-01,3.128
2019-01-01,2.879
2019-02-01,2.919
2019-03-01,3.088
2019-04-01,3.303
2019-05-01,3.271
2019-06-01,3.154
2019-07-01,3.134
2019-08-01,3.028
2019-09-01,3.031
2019-10-01,3.062
2019-11-01,3.025
2019-12-01,3.049
2020-01-01,3.054
2020-02-01,3.023
2020-03-01,2.943
2020-04-01,2.624
2020-05-01,2.517
2020-06-01,2.634
2020-07-01,2.725
2020-08-01,2.735
2020-09-01,2.785
2020-10-01,2.805
2020-11-01,2.673
2020-12-01,2.866
2021-01-01,3.044
2021-02-01,3.266
2021-03-01,3.504
2021-04-01,3.457
2021-05-01,3.517
2021-06-01,3.554
2021-07-01,3.626
2021-08-01,3.629
2021-09-01,3.697
2021-10-01,3.847
2021-11-01,3.965
2021-12-01,3.931
2022-01-01,3.92
2022-02-01,4.15
2022-03-01,4.799
2022-04-01,4.828
2022-05-01,5.102
2022-06-01,5.479
2022-07-01,5.012
2022-08-01,4.367
2022-09-01,4.145
2022-10-01,4.03
2022-11-01,4.147
2022-12-01,3.824
2023-01-01,4.079
2023-02-01,4.064
2023-03-01,4.044
2023-04-01,4.307
2023-05-01,4.175
2023-06-01,4.074
2023-07-01,4.174
2023-08-01,4.497
2023-09-01,4.324
2023-10-01,4.075
2023-11-01,3.864
