"Date","CUSR0000SANL113"
1991-01-01,127.9
1991-02-01,125.3
1991-03-01,123.9
1991-04-01,123.9
1991-05-01,124.2
1991-06-01,124.4
1991-07-01,123.5
1991-08-01,124.5
1991-09-01,124.6
1991-10-01,124.5
1991-11-01,125.2
1991-12-01,126
1992-01-01,125.1
1992-02-01,125.8
1992-03-01,126.6
1992-04-01,127
1992-05-01,127.8
1992-06-01,128.6
1992-07-01,129
1992-08-01,128.9
1992-09-01,128.5
1992-10-01,129
1992-11-01,129.1
1992-12-01,129.7
1993-01-01,130.6
1993-02-01,131.2
1993-03-01,131.2
1993-04-01,131.4
1993-05-01,130.7
1993-06-01,130.1
1993-07-01,129.4
1993-08-01,128.7
1993-09-01,127.1
1993-10-01,128.8
1993-11-01,128.5
1993-12-01,128.4
1994-01-01,128.1
1994-02-01,128.7
1994-03-01,128.8
1994-04-01,128.8
1994-05-01,128.5
1994-06-01,129.1
1994-07-01,130.4
1994-08-01,132.5
1994-09-01,132.4
1994-10-01,132.1
1994-11-01,132.4
1994-12-01,132.2
1995-01-01,131.9
1995-02-01,132.1
1995-03-01,132
1995-04-01,132.1
1995-05-01,133.3
1995-06-01,134.1
1995-07-01,133.5
1995-08-01,133.4
1995-09-01,132.9
1995-10-01,133.1
1995-11-01,132.6
1995-12-01,133.4
1996-01-01,135.2
1996-02-01,135.5
1996-03-01,137.3
1996-04-01,139.3
1996-05-01,140.3
1996-06-01,139
1996-07-01,138.5
1996-08-01,138.2
1996-09-01,138.3
1996-10-01,139.1
1996-11-01,140.6
1996-12-01,141.3
1997-01-01,141.8
1997-02-01,142
1997-03-01,141.5
1997-04-01,140.3
1997-05-01,139
1997-06-01,139
1997-07-01,138.7
1997-08-01,140.7
1997-09-01,141.3
1997-10-01,141.1
1997-11-01,141
1997-12-01,140.3
1998-01-01,138.3
1998-02-01,137.5
1998-03-01,136.3
1998-04-01,135.5
1998-05-01,137.1
1998-06-01,137.5
1998-07-01,137.7
1998-08-01,137.4
1998-09-01,137.3
1998-10-01,137.9
1998-11-01,137.4
1998-12-01,138.5
1999-01-01,139.3
1999-02-01,138.5
1999-03-01,139.5
1999-04-01,144.4
1999-05-01,144
1999-06-01,144
1999-07-01,146.4
1999-08-01,148.9
1999-09-01,151.2
1999-10-01,151.7
1999-11-01,151.2
1999-12-01,153.3
2000-01-01,154.1
2000-02-01,157.7
2000-03-01,163.7
2000-04-01,161
2000-05-01,159.7
2000-06-01,164.7
2000-07-01,164.6
2000-08-01,161.9
2000-09-01,165.8
2000-10-01,165.1
2000-11-01,166.3
2000-12-01,164.8
2001-01-01,164.9
2001-02-01,164.6
2001-03-01,163.3
2001-04-01,164.4
2001-05-01,169.6
2001-06-01,168.7
2001-07-01,163.5
2001-08-01,162
2001-09-01,167.3
2001-10-01,160.9
2001-11-01,156.8
2001-12-01,153.8
2002-01-01,154.3
2002-02-01,154.7
2002-03-01,158
2002-04-01,161.8
2002-05-01,162.2
2002-06-01,162.6
2002-07-01,163.6
2002-08-01,164.5
2002-09-01,164.7
2002-10-01,167
2002-11-01,166.5
2002-12-01,166.4
2003-01-01,172.8
2003-02-01,177.5
2003-03-01,178.2
2003-04-01,170.8
2003-05-01,163.8
2003-06-01,164.4
2003-07-01,167.4
2003-08-01,172.4
2003-09-01,174.6
2003-10-01,171.4
2003-11-01,171.3
2003-12-01,174
2004-01-01,178.1
2004-02-01,179.5
2004-03-01,180.1
2004-04-01,177.5
2004-05-01,181.6
2004-06-01,184.4
2004-07-01,183.4
2004-08-01,183.6
2004-09-01,182.5
2004-10-01,190.6
2004-11-01,193.6
2004-12-01,192.1
2005-01-01,188.4
2005-02-01,191.9
2005-03-01,193.7
2005-04-01,195.3
2005-05-01,191.3
2005-06-01,191.9
2005-07-01,200.6
2005-08-01,210.5
2005-09-01,230.2
2005-10-01,223.6
2005-11-01,207.5
2005-12-01,206.4
2006-01-01,212.4
2006-02-01,211.4
2006-03-01,210.8
2006-04-01,217.4
2006-05-01,220
2006-06-01,220.7
2006-07-01,228
2006-08-01,231.3
2006-09-01,217.7
2006-10-01,206.7
2006-11-01,205.6
2006-12-01,213.1
2007-01-01,211.073
2007-02-01,212.785
2007-03-01,218.728
2007-04-01,221.228
2007-05-01,226.908
2007-06-01,227.416
2007-07-01,228.01
2007-08-01,225.705
2007-09-01,229.54
2007-10-01,230.651
2007-11-01,240.918
2007-12-01,242.47
2008-01-01,244.013
