"Date","CUUR0000SEHP04"
1997-12-01,100
1998-01-01,100.2
1998-02-01,100.3
1998-03-01,100.3
1998-04-01,100.9
1998-05-01,101
1998-06-01,101
1998-07-01,101.6
1998-08-01,101.6
1998-09-01,101.8
1998-10-01,102.5
1998-11-01,105
1998-12-01,105.6
1999-01-01,105.9
1999-02-01,106.2
1999-03-01,106.3
1999-04-01,106.7
1999-05-01,107
1999-06-01,107.3
1999-07-01,107.3
1999-08-01,107.6
1999-09-01,108.1
1999-10-01,107.5
1999-11-01,107.9
1999-12-01,108.3
2000-01-01,108.6
2000-02-01,108.9
2000-03-01,110.6
2000-04-01,109.7
2000-05-01,110.8
2000-06-01,111.8
2000-07-01,112.6
2000-08-01,113
2000-09-01,113.2
2000-10-01,113
2000-11-01,113.4
2000-12-01,114.1
2001-01-01,115.1
2001-02-01,115.8
2001-03-01,116.7
2001-04-01,117.3
2001-05-01,118.7
2001-06-01,119.8
2001-07-01,121
2001-08-01,121.3
2001-09-01,121.4
2001-10-01,121.6
2001-11-01,121.8
2001-12-01,122.6
2002-01-01,122.8
2002-02-01,122.5
2002-03-01,123.8
2002-04-01,123.3
2002-05-01,124.2
2002-06-01,124.6
2002-07-01,124.8
2002-08-01,125.8
2002-09-01,126.2
2002-10-01,127
2002-11-01,128.1
2002-12-01,128.6
2003-01-01,128.7
2003-02-01,129.6
2003-03-01,130
2003-04-01,129.8
2003-05-01,130.5
2003-06-01,131
2003-07-01,131.4
2003-08-01,131.8
2003-09-01,131.7
2003-10-01,132.1
2003-11-01,132.8
2003-12-01,133
2004-01-01,133.7
2004-02-01,135.7
2004-03-01,136.4
2004-04-01,137.1
2004-05-01,138.7
2004-06-01,141.8
2004-07-01,142
2004-08-01,140.7
2004-09-01,140.8
2004-10-01,141.6
2004-11-01,142
2004-12-01,142.2
2005-01-01,142.5
2005-02-01,143.9
2005-03-01,143.8
2005-04-01,145.9
2005-05-01,146.3
2005-06-01,147.3
2005-07-01,147.3
2005-08-01,147.8
2005-09-01,149.6
2005-10-01,150.9
2005-11-01,151.3
2005-12-01,151.9
2006-01-01,151.2
2006-02-01,152.8
2006-03-01,153
2006-04-01,153
2006-05-01,153.1
2006-06-01,154.1
2006-07-01,154.7
2006-08-01,155.5
2006-09-01,156.1
2006-10-01,156.9
2006-11-01,158
2006-12-01,158.4
2007-01-01,159.927
2007-02-01,160.201
2007-03-01,159.496
2007-04-01,159.882
2007-05-01,159.571
2007-06-01,159.792
2007-07-01,160.493
2007-08-01,161.11
2007-09-01,160.386
2007-10-01,163.126
2007-11-01,165.06
2007-12-01,165.089
2008-01-01,166.192
2008-02-01,167.436
2008-03-01,167.009
2008-04-01,169.29
2008-05-01,170.289
2008-06-01,170.744
2008-07-01,168.895
2008-08-01,170.536
2008-09-01,171.239
2008-10-01,172.5
2008-11-01,173.051
2008-12-01,173.193
2009-01-01,173.363
2009-02-01,172.812
2009-03-01,175.236
2009-04-01,174.252
2009-05-01,174.39
2009-06-01,174.319
2009-07-01,174.25
2009-08-01,178.68
2009-09-01,178.837
2009-10-01,178.807
2009-11-01,178.808
2009-12-01,178.83
2010-01-01,179.5
2010-02-01,180.191
2010-03-01,182.583
2010-04-01,182.488
2010-05-01,182.649
2010-06-01,182.731
2010-07-01,182.493
2010-08-01,181.253
2010-09-01,181.298
2010-10-01,181.398
2010-11-01,181.666
2010-12-01,NA
2011-01-01,NA
2011-02-01,182.916
2011-03-01,183.234
2011-04-01,NA
2011-05-01,NA
2011-06-01,NA
2011-07-01,NA
2011-08-01,NA
2011-09-01,NA
2011-10-01,NA
2011-11-01,NA
2011-12-01,193.882
2012-01-01,194.232
2012-02-01,194.067
2012-03-01,194.631
2012-04-01,196.94
2012-05-01,198.02
2012-06-01,199.862
2012-07-01,200.628
2012-08-01,201.41
2012-09-01,200.035
2012-10-01,200.411
2012-11-01,202.167
2012-12-01,202.256
2013-01-01,204.453
2013-02-01,204.483
2013-03-01,204.911
2013-04-01,204.267
2013-05-01,204.355
2013-06-01,206.889
2013-07-01,207.239
2013-08-01,207.03
2013-09-01,207.834
2013-10-01,209.489
2013-11-01,209.637
2013-12-01,209.29
2014-01-01,208.952
2014-02-01,209.209
2014-03-01,209.049
2014-04-01,208.927
2014-05-01,210.487
2014-06-01,210.486
2014-07-01,213.804
2014-08-01,213.9
2014-09-01,214.802
2014-10-01,215.765
2014-11-01,215.919
2014-12-01,217.559
2015-01-01,218.228
2015-02-01,218.31
2015-03-01,218.233
2015-04-01,218.237
2015-05-01,218.247
2015-06-01,221.704
2015-07-01,220.147
2015-08-01,220.115
2015-09-01,220.457
2015-10-01,221.581
2015-11-01,223.449
2015-12-01,222.58
2016-01-01,222.399
2016-02-01,224.699
2016-03-01,224.991
2016-04-01,221.927
