"Date","CUURA100SEHA"
1977-12-01,70.3
1978-01-01,NA
1978-02-01,71.5
1978-03-01,NA
1978-04-01,71.7
1978-05-01,NA
1978-06-01,72.2
1978-07-01,NA
1978-08-01,72.7
1978-09-01,NA
1978-10-01,73.1
1978-11-01,NA
1978-12-01,73.7
1979-01-01,NA
1979-02-01,74.4
1979-03-01,NA
1979-04-01,74.5
1979-05-01,NA
1979-06-01,75.5
1979-07-01,NA
1979-08-01,76.1
1979-09-01,NA
1979-10-01,77.1
1979-11-01,NA
1979-12-01,78.2
1980-01-01,NA
1980-02-01,79.3
1980-03-01,NA
1980-04-01,79.6
1980-05-01,NA
1980-06-01,80.7
1980-07-01,NA
1980-08-01,82.1
1980-09-01,NA
1980-10-01,82.9
1980-11-01,NA
1980-12-01,84.7
1981-01-01,NA
1981-02-01,85.5
1981-03-01,NA
1981-04-01,86.3
1981-05-01,NA
1981-06-01,87
1981-07-01,NA
1981-08-01,88.2
1981-09-01,NA
1981-10-01,89.4
1981-11-01,NA
1981-12-01,90.7
1982-01-01,NA
1982-02-01,92.2
1982-03-01,NA
1982-04-01,92.4
1982-05-01,NA
1982-06-01,93.1
1982-07-01,NA
1982-08-01,94.8
1982-09-01,NA
1982-10-01,96.7
1982-11-01,NA
1982-12-01,97.6
1983-01-01,NA
1983-02-01,98.4
1983-03-01,NA
1983-04-01,99.5
1983-05-01,NA
1983-06-01,100.2
1983-07-01,NA
1983-08-01,100.7
1983-09-01,NA
1983-10-01,101.6
1983-11-01,NA
1983-12-01,102.4
1984-01-01,NA
1984-02-01,103.3
1984-03-01,NA
1984-04-01,104.6
1984-05-01,NA
1984-06-01,105.2
1984-07-01,NA
1984-08-01,106.2
1984-09-01,NA
1984-10-01,107.1
1984-11-01,NA
1984-12-01,108.8
1985-01-01,NA
1985-02-01,109.4
1985-03-01,NA
1985-04-01,110.6
1985-05-01,NA
1985-06-01,111.3
1985-07-01,NA
1985-08-01,113.1
1985-09-01,NA
1985-10-01,114
1985-11-01,NA
1985-12-01,115.7
1986-01-01,NA
1986-02-01,116.7
1986-03-01,NA
1986-04-01,118.7
1986-05-01,NA
1986-06-01,119.8
1986-07-01,NA
1986-08-01,122.3
1986-09-01,NA
1986-10-01,123.2
1986-11-01,NA
1986-12-01,123.8
1987-01-01,125
1987-02-01,125.3
1987-03-01,125
1987-04-01,125.2
1987-05-01,126.3
1987-06-01,126.7
1987-07-01,128
1987-08-01,128.8
1987-09-01,129.4
1987-10-01,130.7
1987-11-01,130.3
1987-12-01,131.4
1988-01-01,132.3
1988-02-01,132.1
1988-03-01,132.2
1988-04-01,132.3
1988-05-01,133.4
1988-06-01,133.8
1988-07-01,134.9
1988-08-01,135.8
1988-09-01,136.4
1988-10-01,136.6
1988-11-01,137.5
1988-12-01,137.9
1989-01-01,139.2
1989-02-01,139.2
1989-03-01,139.8
1989-04-01,139.8
1989-05-01,140.8
1989-06-01,141.4
1989-07-01,142.3
1989-08-01,143
1989-09-01,144
1989-10-01,145.3
1989-11-01,145.8
1989-12-01,146
1990-01-01,146.2
1990-02-01,146.1
1990-03-01,147.3
1990-04-01,148.6
1990-05-01,149.1
1990-06-01,149.3
1990-07-01,150
1990-08-01,150.9
1990-09-01,150.7
1990-10-01,151.3
1990-11-01,151.8
1990-12-01,152.3
1991-01-01,151.9
1991-02-01,151.9
1991-03-01,152.5
1991-04-01,153.3
1991-05-01,153.7
1991-06-01,154.2
1991-07-01,155.8
1991-08-01,155.2
1991-09-01,155.6
