"Date","CUSR0000SAE21"
2006-01-01,82.1
2006-02-01,82
2006-03-01,81.8
2006-04-01,81.9
2006-05-01,81.7
2006-06-01,81.8
2006-07-01,81.9
2006-08-01,81.8
2006-09-01,81.7
2006-10-01,81.6
2006-11-01,80.9
2006-12-01,80.6
2007-01-01,80.214
2007-02-01,80.287
2007-03-01,80.539
2007-04-01,80.612
2007-05-01,81.126
2007-06-01,80.901
2007-07-01,80.855
2007-08-01,80.965
2007-09-01,81.011
2007-10-01,80.971
2007-11-01,80.559
2007-12-01,80.591
2008-01-01,80.619
2008-02-01,80.598
2008-03-01,80.681
2008-04-01,80.834
2008-05-01,81.05
2008-06-01,81.537
2008-07-01,81.977
2008-08-01,81.849
2008-09-01,81.684
2008-10-01,81.681
2008-11-01,81.757
2008-12-01,81.934
2009-01-01,82.022
2009-02-01,82.011
2009-03-01,81.955
2009-04-01,82.009
2009-05-01,82.002
2009-06-01,81.919
2009-07-01,81.997
2009-08-01,81.865
2009-09-01,82.023
2009-10-01,82.018
2009-11-01,81.726
2009-12-01,81.765
2010-01-01,81.804
2010-02-01,81.701
2010-03-01,81.715
2010-04-01,81.696
2010-05-01,81.6
2010-06-01,81.486
2010-07-01,81.535
2010-08-01,81.575
2010-09-01,81.57
2010-10-01,81.4
2010-11-01,81.281
2010-12-01,80.774
2011-01-01,80.477
2011-02-01,80.347
2011-03-01,80.222
2011-04-01,80.115
2011-05-01,80
2011-06-01,79.912
2011-07-01,79.788
2011-08-01,79.739
2011-09-01,79.716
2011-10-01,79.754
2011-11-01,79.737
2011-12-01,79.728
2012-01-01,79.966
2012-02-01,79.885
2012-03-01,79.793
2012-04-01,79.802
2012-05-01,79.983
2012-06-01,79.929
2012-07-01,79.557
2012-08-01,79.157
2012-09-01,79.109
2012-10-01,79.151
2012-11-01,79.119
2012-12-01,79.119
2013-01-01,79.294
2013-02-01,79.375
2013-03-01,79.364
2013-04-01,78.834
2013-05-01,78.822
2013-06-01,78.689
2013-07-01,78.609
2013-08-01,78.644
2013-09-01,78.802
2013-10-01,78.805
2013-11-01,78.707
2013-12-01,78.735
2014-01-01,78.872
2014-02-01,78.569
2014-03-01,78.516
2014-04-01,78.55
2014-05-01,78.498
2014-06-01,78.449
2014-07-01,78.53
2014-08-01,78.477
2014-09-01,78.314
2014-10-01,77.614
2014-11-01,77.228
2014-12-01,76.961
2015-01-01,76.859
2015-02-01,76.74
2015-03-01,76.517
2015-04-01,76.415
2015-05-01,76.083
2015-06-01,76.009
2015-07-01,75.985
2015-08-01,76.087
2015-09-01,76.28
2015-10-01,76.425
2015-11-01,76.564
2015-12-01,76.463
2016-01-01,76.472
2016-02-01,76.126
2016-03-01,76.166
2016-04-01,76.094
2016-05-01,75.739
2016-06-01,75.542
2016-07-01,75.38
2016-08-01,75.365
2016-09-01,74.753
2016-10-01,74.361
2016-11-01,74.428
2016-12-01,74.34
2017-01-01,74.367
2017-02-01,73.964
2017-03-01,71.415
2017-04-01,70.96
2017-05-01,70.751
2017-06-01,70.508
2017-07-01,70.271
2017-08-01,70.147
2017-09-01,70.144
2017-10-01,70.313
2017-11-01,70.452
2017-12-01,70.471
2018-01-01,70.473
2018-02-01,70.117
2018-03-01,69.988
2018-04-01,69.916
2018-05-01,70.099
2018-06-01,70.228
2018-07-01,70.267
2018-08-01,70.083
2018-09-01,70.195
2018-10-01,69.964
2018-11-01,69.153
2018-12-01,69.134
2019-01-01,69.184
2019-02-01,69.1
2019-03-01,68.95
2019-04-01,69.037
2019-05-01,68.994
2019-06-01,69.038
2019-07-01,69.218
2019-08-01,69.271
2019-09-01,69.196
2019-10-01,69.189
2019-11-01,69.569
2019-12-01,69.532
2020-01-01,69.749
2020-02-01,69.693
2020-03-01,69.622
2020-04-01,69.756
2020-05-01,69.699
2020-06-01,69.564
2020-07-01,70.852
2020-08-01,71.134
2020-09-01,71.046
2020-10-01,71.093
2020-11-01,71.176
2020-12-01,71.171
2021-01-01,71.199
2021-02-01,71.208
2021-03-01,71.054
2021-04-01,71.42
2021-05-01,71.508
2021-06-01,71.532
2021-07-01,71.588
2021-08-01,71.831
2021-09-01,72.107
2021-10-01,72.07
2021-11-01,71.974
2021-12-01,71.986
2022-01-01,71.991
2022-02-01,71.959
2022-03-01,71.568
2022-04-01,71.284
2022-05-01,71.053
2022-06-01,71.025
2022-07-01,70.782
2022-08-01,70.703
2022-09-01,70.619
2022-10-01,70.409
2022-11-01,71.103
2022-12-01,71.091
2023-01-01,71.356
2023-02-01,71.37
2023-03-01,71.336
2023-04-01,71.256
2023-05-01,71.022
2023-06-01,70.685
2023-07-01,70.609
2023-08-01,70.51
2023-09-01,70.478
2023-10-01,70.274
2023-11-01,69.887
