"Date","APUS49E72621"
1978-11-01,25.298
1978-12-01,25.298
1979-01-01,25.298
1979-02-01,25.298
1979-03-01,26.152
1979-04-01,26.152
1979-05-01,26.152
1979-06-01,28.754
1979-07-01,28.754
1979-08-01,28.754
1979-09-01,28.754
1979-10-01,28.844
1979-11-01,28.844
1979-12-01,28.844
1980-01-01,30.961
1980-02-01,30.961
1980-03-01,30.961
1980-04-01,30.961
1980-05-01,38.422
1980-06-01,38.422
1980-07-01,48.668
1980-08-01,49.013
1980-09-01,49.018
1980-10-01,49.018
1980-11-01,49.018
1980-12-01,49.018
1981-01-01,51.78
1981-02-01,51.78
1981-03-01,51.83
1981-04-01,51.83
1981-05-01,48.778
1981-06-01,48.778
1981-07-01,48.778
1981-08-01,47.76
1981-09-01,47.77
1981-10-01,47.77
1981-11-01,47.77
1981-12-01,47.77
1982-01-01,57.167
1982-02-01,57.167
1982-03-01,57.167
1982-04-01,57.167
1982-05-01,57.217
1982-06-01,57.217
1982-07-01,57.217
1982-08-01,57.217
1982-09-01,57.217
1982-10-01,57.217
1982-11-01,57.217
1982-12-01,57.217
1983-01-01,63.609
1983-02-01,63.639
1983-03-01,63.639
1983-04-01,63.639
1983-05-01,63.639
1983-06-01,63.639
1983-07-01,61.522
1983-08-01,61.522
1983-09-01,61.822
1983-10-01,61.856
1983-11-01,61.856
1983-12-01,61.856
1984-01-01,60.139
1984-02-01,58.95
1984-03-01,58.95
1984-04-01,58.856
1984-05-01,58.856
1984-06-01,58.376
1984-07-01,58.406
1984-08-01,60.513
1984-09-01,60.513
1984-10-01,60.513
1984-11-01,60.513
1984-12-01,60.513
1985-01-01,64.408
1985-02-01,64.408
1985-03-01,64.408
1985-04-01,64.408
1985-05-01,64.408
1985-06-01,64.408
1985-07-01,64.408
1985-08-01,64.408
1985-09-01,NA
1985-10-01,64.408
1985-11-01,64.408
1985-12-01,64.408
1986-01-01,59.435
1986-02-01,59.652
1986-03-01,59.652
1986-04-01,59.652
1986-05-01,59.652
1986-06-01,59.652
1986-07-01,59.652
1986-08-01,59.652
1986-09-01,59.652
1986-10-01,59.652
1986-11-01,59.652
1986-12-01,59.652
