"Date","CUSR0000SAG1"
1999-01-01,159
1999-02-01,159.4
1999-03-01,159.9
1999-04-01,160
1999-05-01,160.5
1999-06-01,160.9
1999-07-01,161.1
1999-08-01,161.5
1999-09-01,161.9
1999-10-01,162.4
1999-11-01,162.8
1999-12-01,163.2
2000-01-01,163.5
2000-02-01,163.8
2000-03-01,164.1
2000-04-01,164.6
2000-05-01,164.9
2000-06-01,165.3
2000-07-01,165.7
2000-08-01,166.3
2000-09-01,166.7
2000-10-01,167
2000-11-01,167.5
2000-12-01,168.2
2001-01-01,168.3
2001-02-01,168.6
2001-03-01,168.9
2001-04-01,169.4
2001-05-01,169.3
2001-06-01,169.9
2001-07-01,170.7
2001-08-01,171.3
2001-09-01,172
2001-10-01,172.3
2001-11-01,172.7
2001-12-01,173
2002-01-01,173.4
2002-02-01,173.6
2002-03-01,173.9
2002-04-01,174.1
2002-05-01,174.5
2002-06-01,174.9
2002-07-01,175
2002-08-01,175
2002-09-01,175
2002-10-01,175.3
2002-11-01,175.6
2002-12-01,175.6
2003-01-01,176.1
2003-02-01,176.6
2003-03-01,177
2003-04-01,177.4
2003-05-01,177.7
2003-06-01,178.1
2003-07-01,178.3
2003-08-01,178.6
2003-09-01,179.2
2003-10-01,179.2
2003-11-01,179.2
2003-12-01,179.3
2004-01-01,179.9
2004-02-01,180.2
2004-03-01,180.6
2004-04-01,181
2004-05-01,181.1
2004-06-01,181.2
2004-07-01,181.7
2004-08-01,182.2
2004-09-01,182.5
2004-10-01,182.9
2004-11-01,183.3
2004-12-01,183.6
2005-01-01,183.7
2005-02-01,184.2
2005-03-01,184.4
2005-04-01,184.6
2005-05-01,185.2
2005-06-01,185.3
2005-07-01,186.1
2005-08-01,186.4
2005-09-01,186.3
2005-10-01,186.5
2005-11-01,187.2
2005-12-01,187.8
2006-01-01,188.2
2006-02-01,188.5
2006-03-01,188.8
2006-04-01,188.8
2006-05-01,189.1
2006-06-01,189.8
2006-07-01,189.8
2006-08-01,190.5
2006-09-01,191.5
2006-10-01,192
2006-11-01,192.4
