"Date","CUSR0000SERA"
2020-10-01,108.443
2020-11-01,108.239
2020-12-01,108.806
2021-01-01,108.338
2021-02-01,108.699
2021-03-01,108.931
2021-04-01,109.286
2021-05-01,109.388
2021-06-01,110.315
2021-07-01,111.096
2021-08-01,111.648
2021-09-01,111.941
2021-10-01,111.94
2021-11-01,111.745
2021-12-01,111.137
2022-01-01,111.857
2022-02-01,112.038
2022-03-01,111.832
2022-04-01,112.308
2022-05-01,113.153
2022-06-01,113.33
2022-07-01,112.881
2022-08-01,112.39
2022-09-01,112.276
2022-10-01,113.082
2022-11-01,113.599
2022-12-01,113.12
2023-01-01,113.833
2023-02-01,114.88
2023-03-01,115.645
2023-04-01,116.32
2023-05-01,116.223
2023-06-01,116.111
2023-07-01,116.242
2023-08-01,116.465
2023-09-01,116.686
2023-10-01,116.517
2023-11-01,115.846
