"Date","CUUR0000SEMC"
1967-01-01,30.1
1967-02-01,30.3
1967-03-01,30.5
1967-04-01,30.6
1967-05-01,30.7
1967-06-01,30.8
1967-07-01,31
1967-08-01,31.1
1967-09-01,31.2
1967-10-01,31.4
1967-11-01,31.5
1967-12-01,31.7
1968-01-01,31.8
1968-02-01,32
1968-03-01,32.1
1968-04-01,32.2
1968-05-01,32.3
1968-06-01,32.4
1968-07-01,32.5
1968-08-01,32.7
1968-09-01,32.9
1968-10-01,33
1968-11-01,33.1
1968-12-01,33.3
1969-01-01,33.5
1969-02-01,33.7
1969-03-01,34
1969-04-01,34.3
1969-05-01,34.6
1969-06-01,34.7
1969-07-01,34.9
1969-08-01,35.1
1969-09-01,35.3
1969-10-01,35.4
1969-11-01,35.5
1969-12-01,35.7
1970-01-01,35.8
1970-02-01,36
1970-03-01,36.3
1970-04-01,36.5
1970-05-01,36.7
1970-06-01,37
1970-07-01,37.2
1970-08-01,37.3
1970-09-01,37.5
1970-10-01,37.7
1970-11-01,37.9
1970-12-01,38.1
1971-01-01,38.3
1971-02-01,38.5
1971-03-01,38.8
1971-04-01,39
1971-05-01,39.2
1971-06-01,39.4
1971-07-01,39.6
1971-08-01,39.8
1971-09-01,39.9
1971-10-01,40.1
1971-11-01,40.2
1971-12-01,40.2
1972-01-01,40.3
1972-02-01,40.4
1972-03-01,40.5
1972-04-01,40.6
1972-05-01,40.7
1972-06-01,40.9
1972-07-01,40.9
1972-08-01,40.9
1972-09-01,41
1972-10-01,41.1
1972-11-01,41.2
1972-12-01,41.3
1973-01-01,41.4
1973-02-01,41.5
1973-03-01,41.7
1973-04-01,41.8
1973-05-01,41.9
1973-06-01,42.1
1973-07-01,42.2
1973-08-01,42.3
1973-09-01,42.6
1973-10-01,42.7
1973-11-01,42.8
1973-12-01,43
1974-01-01,43.2
1974-02-01,43.6
1974-03-01,44.1
1974-04-01,44.4
1974-05-01,44.9
1974-06-01,45.6
1974-07-01,46.2
1974-08-01,46.8
1974-09-01,47.2
1974-10-01,47.6
1974-11-01,47.9
1974-12-01,48.3
1975-01-01,48.7
1975-02-01,49.1
1975-03-01,49.7
1975-04-01,50
1975-05-01,50.4
1975-06-01,50.7
1975-07-01,51
1975-08-01,51.3
1975-09-01,51.7
1975-10-01,52.1
1975-11-01,52.5
1975-12-01,52.9
1976-01-01,53.3
1976-02-01,53.8
1976-03-01,54.3
1976-04-01,54.6
1976-05-01,55
1976-06-01,55.3
1976-07-01,55.6
1976-08-01,56
1976-09-01,56.4
1976-10-01,56.6
1976-11-01,57.1
1976-12-01,57.4
1977-01-01,57.7
1977-02-01,58.1
1977-03-01,58.7
1977-04-01,59.1
1977-05-01,59.5
1977-06-01,59.8
1977-07-01,60.2
1977-08-01,60.6
1977-09-01,61.1
1977-10-01,61.3
1977-11-01,61.6
1977-12-01,62
1978-01-01,62.4
1978-02-01,62.9
1978-03-01,63.2
