"Date","CUUR0000SEMC"
1978-04-01,63.6
1978-05-01,63.9
1978-06-01,64.2
1978-07-01,64.5
1978-08-01,65.1
1978-09-01,65.4
1978-10-01,66.1
1978-11-01,66.6
1978-12-01,66.7
1979-01-01,67.8
1979-02-01,68.2
1979-03-01,68.5
1979-04-01,68.9
1979-05-01,69.3
1979-06-01,69.8
1979-07-01,70.4
1979-08-01,70.8
1979-09-01,71.2
1979-10-01,71.6
1979-11-01,72
1979-12-01,72.9
1980-01-01,73.8
1980-02-01,75.1
1980-03-01,75.8
1980-04-01,76.7
1980-05-01,77.4
1980-06-01,77.8
1980-07-01,78.4
1980-08-01,78.7
1980-09-01,79.5
1980-10-01,80.1
1980-11-01,80.5
1980-12-01,80.9
1981-01-01,81.8
1981-02-01,82.6
1981-03-01,83.3
1981-04-01,84
1981-05-01,84.6
1981-06-01,85.2
1981-07-01,86.7
1981-08-01,87.4
1981-09-01,87.9
1981-10-01,88.5
1981-11-01,89.1
1981-12-01,89.6
1982-01-01,90.3
1982-02-01,90.9
1982-03-01,91.4
1982-04-01,92
1982-05-01,92.5
1982-06-01,93.1
1982-07-01,93.6
1982-08-01,94.1
1982-09-01,94.6
1982-10-01,94.8
1982-11-01,95.3
1982-12-01,95.6
1983-01-01,96.6
1983-02-01,97.5
1983-03-01,97.9
1983-04-01,98.3
1983-05-01,98.8
1983-06-01,99.5
1983-07-01,100.2
1983-08-01,100.8
1983-09-01,101.3
1983-10-01,101.9
1983-11-01,102.5
1983-12-01,102.9
1984-01-01,103.8
1984-02-01,105
1984-03-01,105.4
1984-04-01,105.9
1984-05-01,106.3
1984-06-01,106.9
1984-07-01,107.3
1984-08-01,107.6
1984-09-01,108.1
1984-10-01,108.7
1984-11-01,109.1
1984-12-01,109.4
1985-01-01,110.3
1985-02-01,111.1
1985-03-01,111.9
1985-04-01,112.2
1985-05-01,112.7
1985-06-01,113.3
1985-07-01,113.8
1985-08-01,114.4
1985-09-01,114.9
1985-10-01,115.4
1985-11-01,116.1
1985-12-01,116.6
1986-01-01,117.1
1986-02-01,118
1986-03-01,119
1986-04-01,119.6
1986-05-01,120
1986-06-01,120.6
1986-07-01,121.1
1986-08-01,121.6
1986-09-01,122.4
1986-10-01,123
1986-11-01,123.6
1986-12-01,124
1987-01-01,124.8
1987-02-01,125.8
1987-03-01,126.6
1987-04-01,127.5
1987-05-01,127.9
1987-06-01,128.8
1987-07-01,129.5
1987-08-01,130
1987-09-01,130.7
1987-10-01,131.2
1987-11-01,131.5
1987-12-01,131.8
1988-01-01,133.2
1988-02-01,134.5
1988-03-01,135.4
1988-04-01,136
1988-05-01,136.4
1988-06-01,137.5
1988-07-01,138.4
1988-08-01,138.7
1988-09-01,139.2
1988-10-01,139.8
1988-11-01,140.4
1988-12-01,140.8
1989-01-01,142.2
1989-02-01,143.5
1989-03-01,144.4
1989-04-01,144.9
1989-05-01,145.2
1989-06-01,146.1
1989-07-01,147
1989-08-01,147.5
1989-09-01,148
1989-10-01,148.6
1989-11-01,149.3
1989-12-01,149.9
1990-01-01,151.1
1990-02-01,152.3
1990-03-01,153.2
1990-04-01,154.1
1990-05-01,155.1
1990-06-01,155.8
1990-07-01,157
1990-08-01,157.8
1990-09-01,158.2
1990-10-01,158.9
1990-11-01,159.6
1990-12-01,160
1991-01-01,161.2
1991-02-01,162.3
1991-03-01,163.3
1991-04-01,163.7
1991-05-01,164.4
1991-06-01,165.3
1991-07-01,166.1
1991-08-01,167.1
1991-09-01,167.9
1991-10-01,168.5
1991-11-01,169.1
1991-12-01,169.8
1992-01-01,171.1
1992-02-01,172.5
1992-03-01,173.4
1992-04-01,174.1
1992-05-01,174.7
1992-06-01,175.4
1992-07-01,176.3
1992-08-01,177.1
1992-09-01,177.7
1992-10-01,178.4
1992-11-01,179.1
1992-12-01,179.4
1993-01-01,180.7
1993-02-01,181.7
1993-03-01,182.3
1993-04-01,183
1993-05-01,184.4
1993-06-01,184.8
1993-07-01,185.4
1993-08-01,185.9
1993-09-01,186.3
1993-10-01,186.8
1993-11-01,187.1
1993-12-01,187.4
1994-01-01,188.3
1994-02-01,189.4
1994-03-01,190.3
1994-04-01,191.4
1994-05-01,191.7
1994-06-01,192.3
1994-07-01,193
1994-08-01,193.5
1994-09-01,194
1994-10-01,195.1
1994-11-01,195.5
1994-12-01,196
1995-01-01,197.2
1995-02-01,198.5
1995-03-01,199.1
1995-04-01,199.5
1995-05-01,200.2
1995-06-01,200.8
1995-07-01,201.6
1995-08-01,202
1995-09-01,202.4
1995-10-01,202.9
1995-11-01,203.4
1995-12-01,203.9
1996-01-01,205
1996-02-01,206.1
1996-03-01,206.5
1996-04-01,207
1996-05-01,207.7
1996-06-01,207.9
1996-07-01,208.7
1996-08-01,209.2
1996-09-01,209.6
1996-10-01,210.2
1996-11-01,210.9
1996-12-01,211
1997-01-01,212.2
1997-02-01,213.2
1997-03-01,214.2
1997-04-01,214.7
1997-05-01,215.2
1997-06-01,215.5
1997-07-01,215.9
1997-08-01,216.3
1997-09-01,216.4
1997-10-01,216.8
1997-11-01,217.1
1997-12-01,217.5
1998-01-01,218.5
1998-02-01,219.7
1998-03-01,220.4
1998-04-01,221.1
1998-05-01,221.7
1998-06-01,222.5
1998-07-01,222.8
1998-08-01,223.3
1998-09-01,223.7
1998-10-01,224.2
1998-11-01,224.4
1998-12-01,224.6
1999-01-01,225.8
1999-02-01,226.8
1999-03-01,227.4
1999-04-01,228.2
1999-05-01,228.6
1999-06-01,229.3
1999-07-01,229.8
1999-08-01,230.1
1999-09-01,230.4
1999-10-01,230.9
1999-11-01,231.4
1999-12-01,231.7
2000-01-01,233.1
2000-02-01,234.9
2000-03-01,236.1
2000-04-01,236.6
2000-05-01,237.1
2000-06-01,237.9
2000-07-01,238.3
2000-08-01,238.9
2000-09-01,239.3
2000-10-01,239.7
2000-11-01,239.8
2000-12-01,240.3
2001-01-01,242.6
2001-02-01,244.1
2001-03-01,244.8
2001-04-01,245.6
2001-05-01,245.8
2001-06-01,246.5
2001-07-01,246.8
2001-08-01,247.7
2001-09-01,247.9
2001-10-01,248.4
2001-11-01,248.8
2001-12-01,248.9
2002-01-01,250.6
2002-02-01,251.4
2002-03-01,251.9
2002-04-01,252.5
2002-05-01,252.9
2002-06-01,253.2
2002-07-01,255
2002-08-01,254.9
2002-09-01,254.8
2002-10-01,256
2002-11-01,256.5
2002-12-01,257
2003-01-01,257.8
2003-02-01,258.8
2003-03-01,259.1
2003-04-01,259.8
2003-05-01,261.1
2003-06-01,261.3
2003-07-01,261.9
2003-08-01,261.7
2003-09-01,262.3
2003-10-01,263
2003-11-01,263
2003-12-01,264.1
2004-01-01,265.5
2004-02-01,268
2004-03-01,269.7
2004-04-01,270.6
2004-05-01,270.9
2004-06-01,271.6
2004-07-01,272.3
2004-08-01,273.3
2004-09-01,273.3
2004-10-01,273.7
2004-11-01,274.2
2004-12-01,274.6
2005-01-01,276.2
2005-02-01,278.6
2005-03-01,279.7
2005-04-01,281
2005-05-01,281.6
2005-06-01,281.9
2005-07-01,282.6
2005-08-01,282.4
2005-09-01,283
2005-10-01,284
2005-11-01,284.5
2005-12-01,284.9
2006-01-01,284.7
2006-02-01,286.5
2006-03-01,287.8
2006-04-01,288.5
2006-05-01,289
2006-06-01,289.2
2006-07-01,289.8
2006-08-01,290.2
2006-09-01,290.6
2006-10-01,291.4
2006-11-01,291.9
2006-12-01,292.4
2007-01-01,295.219
2007-02-01,298.393
2007-03-01,298.99
2007-04-01,299.248
2007-05-01,299.7
2007-06-01,300.052
2007-07-01,301.131
2007-08-01,302.259
2007-09-01,302.41
2007-10-01,303.532
2007-11-01,303.78
2007-12-01,304.784
2008-01-01,306.529
2008-02-01,307.928
2008-03-01,308.726
2008-04-01,309.227
2008-05-01,310.917
2008-06-01,311.317
2008-07-01,311.926
2008-08-01,312.396
2008-09-01,312.527
2008-10-01,312.914
2008-11-01,313.328
2008-12-01,313.886
2009-01-01,315.603
2009-02-01,316.992
2009-03-01,317.46
2009-04-01,317.661
2009-05-01,319.333
2009-06-01,319.652
2009-07-01,320.076
2009-08-01,320.252
2009-09-01,320.756
2009-10-01,321.381
2009-11-01,321.473
2009-12-01,321.827
2010-01-01,324.397
2010-02-01,325.969
2010-03-01,326.206
2010-04-01,327.015
2010-05-01,327.121
2010-06-01,327.938
2010-07-01,328.899
2010-08-01,329.318
2010-09-01,330.149
2010-10-01,330.057
2010-11-01,330.508
2010-12-01,330.651
2011-01-01,331.921
2011-02-01,334.296
2011-03-01,334.671
2011-04-01,334.978
2011-05-01,335.132
2011-06-01,335.494
2011-07-01,336.15
2011-08-01,336.378
2011-09-01,336.461
2011-10-01,337.257
2011-11-01,337.347
2011-12-01,337.907
2012-01-01,338.714
2012-02-01,339.136
2012-03-01,339.389
2012-04-01,339.833
2012-05-01,341.023
2012-06-01,342.223
2012-07-01,342.808
2012-08-01,343.672
2012-09-01,344.281
2012-10-01,344.282
2012-11-01,344.158
2012-12-01,344.409
2013-01-01,345.969
2013-02-01,347.303
2013-03-01,348.071
2013-04-01,348.863
2013-05-01,348.78
2013-06-01,349.987
2013-07-01,350.232
2013-08-01,350.193
2013-09-01,350.758
2013-10-01,350.903
2013-11-01,350.967
2013-12-01,351.594
2014-01-01,352.384
2014-02-01,353.126
2014-03-01,353.616
2014-04-01,354.191
2014-05-01,355.408
2014-06-01,355.421
2014-07-01,355.165
2014-08-01,355.803
2014-09-01,355.815
2014-10-01,356.034
2014-11-01,357.241
2014-12-01,357.631
2015-01-01,358.397
2015-02-01,358.328
2015-03-01,359.489
2015-04-01,360.676
2015-05-01,361.01
2015-06-01,361.923
2015-07-01,362.504
2015-08-01,361.987
2015-09-01,362.572
2015-10-01,362.335
2015-11-01,364.456
2015-12-01,364.485
2016-01-01,365.842
2016-02-01,367.441
2016-03-01,367.647
2016-04-01,368.839
2016-05-01,371.145
2016-06-01,371.335
2016-07-01,372.854
2016-08-01,374.097
2016-09-01,374.228
2016-10-01,373.802
2016-11-01,375.509
2016-12-01,375.813
2017-01-01,376.586
2017-02-01,377.29
2017-03-01,376.827
2017-04-01,374.672
2017-05-01,374.849
2017-06-01,373.498
2017-07-01,373.621
2017-08-01,374.744
2017-09-01,375.102
2017-10-01,375.218
2017-11-01,374.519
2017-12-01,374.733
2018-01-01,375.656
2018-02-01,377.585
2018-03-01,379.056
2018-04-01,379.555
2018-05-01,379.145
2018-06-01,379.219
2018-07-01,378.837
2018-08-01,377.845
2018-09-01,378.371
2018-10-01,378.34
2018-11-01,378.26
2018-12-01,378.44
2019-01-01,379.995
2019-02-01,381.248
2019-03-01,380.538
2019-04-01,380.966
2019-05-01,381.651
2019-06-01,382.699
2019-07-01,383.037
2019-08-01,383.162
2019-09-01,384.005
2019-10-01,384.244
2019-11-01,384.543
2019-12-01,384.667
2020-01-01,384.681
2020-02-01,385.779
2020-03-01,386.691
2020-04-01,387.309
2020-05-01,389.872
2020-06-01,390.982
2020-07-01,392.585
2020-08-01,391.945
2020-09-01,392.373
2020-10-01,392.273
2020-11-01,392.062
2020-12-01,391.877
2021-01-01,395.911
2021-02-01,400.762
2021-03-01,401.208
2021-04-01,400.834
2021-05-01,401.147
2021-06-01,401.227
2021-07-01,402.687
2021-08-01,403.86
2021-09-01,403.271
2021-10-01,403.378
2021-11-01,404.22
2021-12-01,404.764
2022-01-01,406.197
2022-02-01,406.917
2022-03-01,408.052
2022-04-01,408.209
2022-05-01,408.873
2022-06-01,411.55
2022-07-01,411.626
2022-08-01,413.59
2022-09-01,416.501
2022-10-01,416.72
2022-11-01,416.614
2022-12-01,416.732
2023-01-01,417.035
2023-02-01,416.709
2023-03-01,416.899
2023-04-01,416.998
2023-05-01,416.998
2023-06-01,418.41
2023-07-01,419.559
2023-08-01,421.297
2023-09-01,421.462
2023-10-01,419.663
2023-11-01,421.347
