"Date","CUUR0000SAH21"
1967-01-01,21.3
1967-02-01,21.4
1967-03-01,21.4
1967-04-01,21.4
1967-05-01,21.4
1967-06-01,21.3
1967-07-01,21.4
1967-08-01,21.4
1967-09-01,21.5
1967-10-01,21.5
1967-11-01,21.5
1967-12-01,21.5
1968-01-01,21.6
1968-02-01,21.6
1968-03-01,21.6
1968-04-01,21.7
1968-05-01,21.7
1968-06-01,21.7
1968-07-01,21.7
1968-08-01,21.8
1968-09-01,21.7
1968-10-01,21.7
1968-11-01,21.8
1968-12-01,21.8
1969-01-01,21.9
1969-02-01,21.9
1969-03-01,22
1969-04-01,22.1
1969-05-01,22.1
1969-06-01,22.1
1969-07-01,22
1969-08-01,22.1
1969-09-01,22.2
1969-10-01,22.3
1969-11-01,22.4
1969-12-01,22.5
1970-01-01,22.6
1970-02-01,22.7
1970-03-01,22.8
1970-04-01,22.9
1970-05-01,22.9
1970-06-01,22.9
1970-07-01,23
1970-08-01,23.1
1970-09-01,23.2
1970-10-01,23.5
1970-11-01,23.7
1970-12-01,23.9
1971-01-01,24.1
1971-02-01,24.4
1971-03-01,24.5
1971-04-01,24.5
1971-05-01,24.6
1971-06-01,24.7
1971-07-01,24.7
1971-08-01,24.9
1971-09-01,24.9
1971-10-01,24.9
1971-11-01,25
1971-12-01,25.3
1972-01-01,25.5
1972-02-01,25.5
1972-03-01,25.6
1972-04-01,25.7
1972-05-01,25.7
1972-06-01,25.7
1972-07-01,25.6
1972-08-01,25.7
1972-09-01,25.7
1972-10-01,25.8
1972-11-01,26
1972-12-01,26.1
1973-01-01,26.4
1973-02-01,26.8
1973-03-01,26.9
1973-04-01,27
1973-05-01,27.1
1973-06-01,27.1
1973-07-01,27.2
1973-08-01,27.3
1973-09-01,27.4
1973-10-01,27.9
1973-11-01,29
1973-12-01,30
1974-01-01,31.6
1974-02-01,32.4
1974-03-01,32.8
1974-04-01,33.4
1974-05-01,33.9
1974-06-01,34.2
1974-07-01,34.7
1974-08-01,35.2
1974-09-01,35.5
1974-10-01,35.9
1974-11-01,36.5
1974-12-01,36.9
1975-01-01,37.5
1975-02-01,37.9
1975-03-01,38.1
1975-04-01,38.5
1975-05-01,38.7
1975-06-01,39.1
1975-07-01,39.4
1975-08-01,39.7
1975-09-01,40.3
1975-10-01,40.5
1975-11-01,41.1
1975-12-01,41.6
1976-01-01,41.7
1976-02-01,42.1
1976-03-01,42.3
1976-04-01,42.4
1976-05-01,42.6
1976-06-01,43
1976-07-01,43.3
1976-08-01,43.5
1976-09-01,43.9
1976-10-01,44.4
1976-11-01,44.9
1976-12-01,46.1
1977-01-01,46.9
1977-02-01,47.4
1977-03-01,48
1977-04-01,48.3
1977-05-01,48.5
1977-06-01,48.9
1977-07-01,49.4
1977-08-01,49.6
1977-09-01,49.8
1977-10-01,50.1
1977-11-01,50.3
1977-12-01,50.3
1978-01-01,50.5
1978-02-01,51.2
1978-03-01,51.8
1978-04-01,52.3
1978-05-01,52.9
1978-06-01,53.6
1978-07-01,53.7
1978-08-01,53.6
1978-09-01,53.9
1978-10-01,54.4
1978-11-01,53.7
1978-12-01,54.1
1979-01-01,54.9
1979-02-01,55.5
1979-03-01,56.5
1979-04-01,57.1
1979-05-01,58.8
1979-06-01,61.3
1979-07-01,62.9
1979-08-01,64.2
1979-09-01,65.7
1979-10-01,66.5
1979-11-01,65.7
1979-12-01,66.8
1980-01-01,68.1
1980-02-01,70.1
1980-03-01,71.5
1980-04-01,72.3
1980-05-01,74.2
1980-06-01,76.2
1980-07-01,77.3
1980-08-01,77.6
1980-09-01,78.1
1980-10-01,77.7
1980-11-01,76.8
1980-12-01,78.1
1981-01-01,80.4
1981-02-01,83
1981-03-01,84.3
1981-04-01,84.9
1981-05-01,86.4
1981-06-01,88.2
1981-07-01,89.3
1981-08-01,89.8
1981-09-01,90.5
1981-10-01,89.7
1981-11-01,89.4
1981-12-01,89.9
1982-01-01,91.4
1982-02-01,91.6
1982-03-01,92.2
1982-04-01,91.7
1982-05-01,93.8
1982-06-01,96
1982-07-01,96.8
1982-08-01,97.2
1982-09-01,98.2
1982-10-01,99.5
1982-11-01,98.9
1982-12-01,99.4
1983-01-01,99.3
1983-02-01,98.8
1983-03-01,98.4
1983-04-01,98.3
1983-05-01,100.3
1983-06-01,101.8
1983-07-01,102.3
1983-08-01,102
1983-09-01,102.4
1983-10-01,101.6
1983-11-01,100.2
1983-12-01,100.1
1984-01-01,100.7
1984-02-01,102.7
1984-03-01,101.8
1984-04-01,101.9
1984-05-01,103.5
1984-06-01,105.1
1984-07-01,106.3
1984-08-01,106.8
1984-09-01,107.1
1984-10-01,105.4
1984-11-01,103.4
1984-12-01,102.8
1985-01-01,103.1
1985-02-01,103
1985-03-01,103.3
1985-04-01,103.4
1985-05-01,104.9
1985-06-01,106.6
1985-07-01,106.5
1985-08-01,105.9
1985-09-01,106.4
1985-10-01,104.6
1985-11-01,103.1
1985-12-01,103.6
1986-01-01,103.8
1986-02-01,102
1986-03-01,100.1
1986-04-01,98.4
1986-05-01,98.6
1986-06-01,102.2
1986-07-01,100.5
1986-08-01,100.4
1986-09-01,100.1
1986-10-01,96.4
1986-11-01,93.8
1986-12-01,93.8
1987-01-01,95
1987-02-01,95.3
1987-03-01,95.2
1987-04-01,94.7
1987-05-01,96.1
1987-06-01,100.8
1987-07-01,100.4
1987-08-01,101.4
1987-09-01,101
1987-10-01,96.9
1987-11-01,95.5
1987-12-01,95.1
1988-01-01,95.6
1988-02-01,96
1988-03-01,95.8
1988-04-01,95.7
1988-05-01,96.5
1988-06-01,100.8
1988-07-01,100.8
1988-08-01,100.9
1988-09-01,101
1988-10-01,98.6
1988-11-01,96.8
1988-12-01,97.4
1989-01-01,98.7
1989-02-01,98.6
1989-03-01,98.5
1989-04-01,98.8
1989-05-01,99.6
1989-06-01,103.2
1989-07-01,103.7
1989-08-01,103.7
1989-09-01,103.5
1989-10-01,101
1989-11-01,99.9
1989-12-01,101.2
1990-01-01,104.5
1990-02-01,103.1
1990-03-01,102.3
1990-04-01,101.2
1990-05-01,101.9
1990-06-01,105.4
1990-07-01,104.5
1990-08-01,105.6
1990-09-01,107.6
1990-10-01,106.4
1990-11-01,105.4
1990-12-01,105.6
1991-01-01,107.7
1991-02-01,107.1
1991-03-01,105.7
1991-04-01,104
1991-05-01,105.4
1991-06-01,107.6
1991-07-01,108.2
1991-08-01,107.7
1991-09-01,108.5
1991-10-01,106.5
1991-11-01,105.5
1991-12-01,106.5
1992-01-01,106.6
1992-02-01,105.9
1992-03-01,105.2
1992-04-01,105.1
1992-05-01,106.5
1992-06-01,110.2
1992-07-01,110.4
1992-08-01,110.3
1992-09-01,111.1
1992-10-01,108.7
1992-11-01,108.2
1992-12-01,108.9
1993-01-01,109.2
1993-02-01,107.5
1993-03-01,108.6
1993-04-01,108.8
1993-05-01,110.3
1993-06-01,114.1
1993-07-01,114.2
1993-08-01,114.1
1993-09-01,114.8
1993-10-01,112.1
1993-11-01,110.1
1993-12-01,110.7
1994-01-01,110.6
1994-02-01,111.1
1994-03-01,111.1
1994-04-01,109.8
1994-05-01,110.6
1994-06-01,113.9
1994-07-01,114.1
1994-08-01,114
1994-09-01,113.8
1994-10-01,110.8
1994-11-01,109.9
1994-12-01,110.1
1995-01-01,110.7
1995-02-01,110.4
1995-03-01,109.8
1995-04-01,109.3
1995-05-01,109.8
1995-06-01,113.8
1995-07-01,113.7
1995-08-01,114.6
1995-09-01,113.4
1995-10-01,111.5
1995-11-01,110.1
1995-12-01,110.9
1996-01-01,112.2
1996-02-01,112.5
1996-03-01,111.9
1996-04-01,112.9
1996-05-01,114
1996-06-01,116.5
1996-07-01,117.4
1996-08-01,117.9
1996-09-01,118.4
1996-10-01,116.2
1996-11-01,115.7
1996-12-01,117.1
1997-01-01,119.1
1997-02-01,119.2
1997-03-01,117.2
1997-04-01,115.3
1997-05-01,115.3
1997-06-01,119.8
1997-07-01,119.6
1997-08-01,118.6
1997-09-01,119.7
1997-10-01,117.4
1997-11-01,117.7
1997-12-01,115.8
1998-01-01,114.5
1998-02-01,112.8
1998-03-01,112.5
1998-04-01,112.3
1998-05-01,113.2
1998-06-01,116.8
1998-07-01,116.8
1998-08-01,115.9
1998-09-01,115.2
1998-10-01,112
1998-11-01,111.4
1998-12-01,111.4
1999-01-01,110.9
1999-02-01,110.6
1999-03-01,110.5
1999-04-01,110.2
1999-05-01,111
1999-06-01,115.1
1999-07-01,116
1999-08-01,116.2
1999-09-01,117.6
1999-10-01,115
1999-11-01,114.6
1999-12-01,114.1
2000-01-01,114.3
2000-02-01,117.6
2000-03-01,116.3
2000-04-01,116.1
2000-05-01,116.8
2000-06-01,124
2000-07-01,126.5
2000-08-01,125.9
2000-09-01,129.1
2000-10-01,128.3
2000-11-01,127.7
2000-12-01,130.6
2001-01-01,139.8
2001-02-01,138
2001-03-01,136.3
2001-04-01,135.1
2001-05-01,136.8
2001-06-01,141.6
2001-07-01,140.5
2001-08-01,138
2001-09-01,135.7
2001-10-01,129.1
2001-11-01,127.8
2001-12-01,126.2
2002-01-01,125.3
2002-02-01,123.7
2002-03-01,123.8
2002-04-01,123.8
2002-05-01,125.1
2002-06-01,130.3
2002-07-01,130.8
2002-08-01,130.7
2002-09-01,131
2002-10-01,127.9
2002-11-01,127
2002-12-01,127.5
2003-01-01,129.5
2003-02-01,131.9
2003-03-01,138.5
2003-04-01,136.8
2003-05-01,137.5
2003-06-01,143.4
2003-07-01,143.6
2003-08-01,143
2003-09-01,143.4
2003-10-01,138.2
2003-11-01,135.7
2003-12-01,136.5
2004-01-01,139.2
2004-02-01,139.5
2004-03-01,137.6
2004-04-01,138
2004-05-01,140.4
2004-06-01,148.5
2004-07-01,149.5
2004-08-01,150.5
2004-09-01,149.3
2004-10-01,144.9
2004-11-01,147.8
2004-12-01,148
2005-01-01,149
2005-02-01,148.1
2005-03-01,148.4
2005-04-01,151.5
2005-05-01,153.7
2005-06-01,159.9
2005-07-01,162.6
2005-08-01,164.4
2005-09-01,172.1
2005-10-01,176.2
2005-11-01,178
