"Date","CUURA102SA0L1E"
1982-01-01,94.2
1982-02-01,94
1982-03-01,93.8
1982-04-01,94.1
1982-05-01,94.6
1982-06-01,95.8
1982-07-01,96.1
1982-08-01,96.3
1982-09-01,97
1982-10-01,96.6
1982-11-01,97.2
1982-12-01,96.7
1983-01-01,97
1983-02-01,97.2
1983-03-01,98
1983-04-01,98.1
1983-05-01,98.3
1983-06-01,98.8
1983-07-01,99.9
1983-08-01,100.4
1983-09-01,101.2
1983-10-01,101.3
1983-11-01,101.8
1983-12-01,101.6
1984-01-01,102.5
1984-02-01,102.8
1984-03-01,103.2
1984-04-01,103.8
1984-05-01,103.9
1984-06-01,104.3
1984-07-01,105
1984-08-01,105.7
1984-09-01,106.5
1984-10-01,106.7
1984-11-01,108
1984-12-01,107.6
1985-01-01,107.9
1985-02-01,108.9
1985-03-01,109.3
1985-04-01,110.1
1985-05-01,110.9
1985-06-01,110.7
1985-07-01,111.1
1985-08-01,111.5
1985-09-01,111.6
1985-10-01,112.4
1985-11-01,112.9
1985-12-01,112.9
1986-01-01,113.3
1986-02-01,113.9
1986-03-01,114.3
1986-04-01,115.1
1986-05-01,115.5
1986-06-01,115.9
1986-07-01,116.8
1986-08-01,117.1
1986-09-01,118.1
1986-10-01,118.7
1986-11-01,118.7
1986-12-01,119.1
1987-01-01,119.5
1987-02-01,120.1
1987-03-01,120.4
1987-04-01,122.2
1987-05-01,123.1
1987-06-01,123.2
1987-07-01,122.9
1987-08-01,124.2
1987-09-01,124.8
1987-10-01,126.3
1987-11-01,125.8
1987-12-01,126.3
1988-01-01,126.6
1988-02-01,126.7
1988-03-01,127.6
1988-04-01,127.8
1988-05-01,128.7
1988-06-01,128.9
1988-07-01,130.1
1988-08-01,131
1988-09-01,132.6
1988-10-01,132.6
1988-11-01,133.8
1988-12-01,134.2
1989-01-01,133.8
1989-02-01,133.3
1989-03-01,133.7
1989-04-01,134.2
1989-05-01,135.2
1989-06-01,135
1989-07-01,135.3
1989-08-01,135.3
1989-09-01,136.7
1989-10-01,137.8
1989-11-01,137.2
1989-12-01,136.8
1990-01-01,137.7
1990-02-01,139
1990-03-01,140.9
1990-04-01,142
1990-05-01,142.4
1990-06-01,141.6
1990-07-01,143.2
1990-08-01,144.1
1990-09-01,144.6
1990-10-01,145.5
1990-11-01,145.8
1990-12-01,146
1991-01-01,148
1991-02-01,149
1991-03-01,149.8
1991-04-01,149.3
1991-05-01,149.8
1991-06-01,149.2
1991-07-01,150.3
1991-08-01,151.7
1991-09-01,152.1
1991-10-01,152.3
1991-11-01,152.5
1991-12-01,154.1
1992-01-01,154
1992-02-01,153.8
1992-03-01,155.3
1992-04-01,155.4
1992-05-01,155.7
1992-06-01,156.8
1992-07-01,156.4
1992-08-01,157.4
1992-09-01,157.5
1992-10-01,158.5
1992-11-01,157.7
1992-12-01,157.6
1993-01-01,157.6
1993-02-01,159.1
1993-03-01,160.2
1993-04-01,160.7
1993-05-01,160.3
1993-06-01,161.1
1993-07-01,161.7
1993-08-01,161.7
1993-09-01,162
1993-10-01,164.6
1993-11-01,164
1993-12-01,163
1994-01-01,164.5
1994-02-01,165.4
1994-03-01,166
1994-04-01,165.4
1994-05-01,165.6
1994-06-01,166.3
1994-07-01,166.9
1994-08-01,167.2
1994-09-01,167.5
1994-10-01,168.6
1994-11-01,168.6
1994-12-01,166.6
1995-01-01,168
1995-02-01,169.5
1995-03-01,169.9
1995-04-01,169.5
1995-05-01,169.2
1995-06-01,169
1995-07-01,169.7
1995-08-01,170.8
1995-09-01,171.8
1995-10-01,172.8
1995-11-01,171.8
1995-12-01,171.5
1996-01-01,172.2
1996-02-01,173.7
1996-03-01,174.8
1996-04-01,174.1
1996-05-01,173.3
1996-06-01,173.3
1996-07-01,174.1
1996-08-01,175.3
1996-09-01,176.5
1996-10-01,177.5
1996-11-01,176.1
1996-12-01,175.8
1997-01-01,176.9
1997-02-01,177.8
1997-03-01,178.4
1997-04-01,178.5
1997-05-01,178.1
1997-06-01,177.8
1997-07-01,178.3
1997-08-01,178.7
1997-09-01,181
1997-10-01,180.9
1997-11-01,179.2
1997-12-01,179.3
1998-01-01,NA
1998-02-01,180.8
1998-03-01,NA
1998-04-01,181.2
1998-05-01,NA
1998-06-01,180.9
1998-07-01,NA
1998-08-01,182.3
1998-09-01,NA
1998-10-01,185.1
1998-11-01,NA
1998-12-01,183.3
1999-01-01,NA
1999-02-01,183.3
1999-03-01,NA
1999-04-01,185.7
1999-05-01,NA
1999-06-01,185.5
1999-07-01,NA
1999-08-01,186.6
1999-09-01,NA
1999-10-01,188.4
1999-11-01,NA
1999-12-01,186.7
2000-01-01,NA
2000-02-01,188.2
2000-03-01,NA
2000-04-01,189.3
2000-05-01,NA
2000-06-01,189.3
2000-07-01,NA
2000-08-01,190.2
2000-09-01,NA
2000-10-01,191.8
2000-11-01,NA
2000-12-01,190.4
2001-01-01,NA
2001-02-01,191.5
2001-03-01,NA
2001-04-01,193.7
2001-05-01,NA
2001-06-01,193.7
2001-07-01,NA
2001-08-01,195.4
2001-09-01,NA
2001-10-01,196.4
2001-11-01,NA
2001-12-01,194.2
2002-01-01,NA
2002-02-01,196.6
2002-03-01,NA
2002-04-01,197.1
2002-05-01,NA
2002-06-01,200.3
2002-07-01,NA
2002-08-01,203
2002-09-01,NA
2002-10-01,200
2002-11-01,NA
2002-12-01,199
2003-01-01,NA
2003-02-01,199.4
2003-03-01,NA
2003-04-01,200.1
2003-05-01,NA
2003-06-01,203.2
2003-07-01,NA
2003-08-01,205
2003-09-01,NA
2003-10-01,203
2003-11-01,NA
2003-12-01,201.4
2004-01-01,NA
2004-02-01,204
2004-03-01,NA
2004-04-01,207.8
2004-05-01,NA
2004-06-01,209.4
2004-07-01,NA
2004-08-01,211.3
2004-09-01,NA
2004-10-01,212.8
2004-11-01,NA
2004-12-01,209.9
