"Date","CUURX200SA0E"
1997-12-01,100
1998-01-01,97.5
1998-02-01,97
1998-03-01,95.4
1998-04-01,97
1998-05-01,99.4
1998-06-01,99.1
1998-07-01,99.1
1998-08-01,96.7
1998-09-01,95.7
1998-10-01,95.1
1998-11-01,93.6
1998-12-01,90.8
1999-01-01,91.4
1999-02-01,90.3
1999-03-01,92.9
1999-04-01,98.2
1999-05-01,98.8
1999-06-01,100.1
1999-07-01,102.8
1999-08-01,105
1999-09-01,108.9
1999-10-01,104.6
1999-11-01,107.8
1999-12-01,107.1
2000-01-01,109.6
2000-02-01,114.2
2000-03-01,118.1
2000-04-01,112.4
2000-05-01,116.1
2000-06-01,133.2
2000-07-01,123.5
2000-08-01,116.9
2000-09-01,127.1
2000-10-01,124.7
2000-11-01,126.2
2000-12-01,123.2
2001-01-01,130.9
2001-02-01,127.9
2001-03-01,123
2001-04-01,129.8
2001-05-01,141.7
2001-06-01,137.1
2001-07-01,122.6
2001-08-01,124.4
2001-09-01,133.1
2001-10-01,111.7
2001-11-01,107.3
2001-12-01,104.9
2002-01-01,105.7
2002-02-01,104.9
2002-03-01,109.8
2002-04-01,115.2
2002-05-01,116.7
2002-06-01,119.8
2002-07-01,120.7
2002-08-01,120.6
2002-09-01,122.6
2002-10-01,121.3
2002-11-01,121.5
2002-12-01,116.8
2003-01-01,123.4
2003-02-01,132.5
2003-03-01,138
2003-04-01,129
2003-05-01,126.8
2003-06-01,135.5
2003-07-01,133.6
2003-08-01,138.1
2003-09-01,139.8
2003-10-01,130
2003-11-01,128
2003-12-01,125.4
2004-01-01,134.3
2004-02-01,136.6
2004-03-01,138
2004-04-01,141.3
2004-05-01,150.3
2004-06-01,156
2004-07-01,152.3
2004-08-01,152.6
2004-09-01,150
2004-10-01,152.8
2004-11-01,152.3
2004-12-01,146.6
2005-01-01,147
2005-02-01,150.5
2005-03-01,155.4
2005-04-01,165
2005-05-01,161.4
2005-06-01,166.5
2005-07-01,173.9
2005-08-01,183
2005-09-01,204.8
2005-10-01,195.7
2005-11-01,176.5
2005-12-01,173.7
2006-01-01,182.3
2006-02-01,177.9
2006-03-01,183.3
2006-04-01,192.8
2006-05-01,196.3
2006-06-01,200.5
2006-07-01,206
2006-08-01,204.8
2006-09-01,185.3
2006-10-01,167.6
2006-11-01,171.8
2006-12-01,175.2
2007-01-01,170.924
2007-02-01,177.304
2007-03-01,188.252
2007-04-01,196.12
2007-05-01,215.452
2007-06-01,216.028
2007-07-01,212.067
2007-08-01,203.831
2007-09-01,209.088
2007-10-01,199.752
2007-11-01,212.293
2007-12-01,206.817
2008-01-01,209.622
2008-02-01,210.201
2008-03-01,219.845
2008-04-01,230.164
2008-05-01,248.557
2008-06-01,265.776
2008-07-01,270.384
2008-08-01,257.182
2008-09-01,252.663
2008-10-01,218.137
2008-11-01,177.221
2008-12-01,164
2009-01-01,170.778
2009-02-01,170.542
2009-03-01,170.326
2009-04-01,168.789
2009-05-01,177.301
2009-06-01,201.601
2009-07-01,192.612
2009-08-01,195.798
2009-09-01,190.211
2009-10-01,185.787
2009-11-01,191.657
2009-12-01,189.117
2010-01-01,198.42
2010-02-01,193.627
2010-03-01,199.264
2010-04-01,202.27
2010-05-01,203.165
2010-06-01,205.656
2010-07-01,207.999
2010-08-01,207.919
2010-09-01,205.864
2010-10-01,201.63
2010-11-01,203.82
2010-12-01,210.088
2011-01-01,215.968
2011-02-01,218.547
2011-03-01,231.303
2011-04-01,244.027
2011-05-01,253.311
2011-06-01,250.392
2011-07-01,247.476
2011-08-01,245.928
2011-09-01,245.019
2011-10-01,227.388
2011-11-01,226.773
2011-12-01,222.081
2012-01-01,228.368
2012-02-01,229.754
2012-03-01,245.631
2012-04-01,244.346
2012-05-01,238.505
2012-06-01,237.4
2012-07-01,234.783
2012-08-01,247.774
2012-09-01,251.273
2012-10-01,236.735
2012-11-01,228.658
2012-12-01,223.719
2013-01-01,221.791
2013-02-01,239.233
2013-03-01,240.766
2013-04-01,236.113
2013-05-01,244.131
2013-06-01,252.282
2013-07-01,240.779
2013-08-01,240.32
2013-09-01,240.939
2013-10-01,228.503
2013-11-01,223.266
2013-12-01,222.231
2014-01-01,229.393
2014-02-01,233.511
2014-03-01,242.401
2014-04-01,243.88
2014-05-01,246.032
2014-06-01,256.576
2014-07-01,248.862
2014-08-01,242.74
2014-09-01,241.761
2014-10-01,226.258
2014-11-01,216.339
2014-12-01,202.224
2015-01-01,181.428
2015-02-01,187.049
2015-03-01,194.149
2015-04-01,189.912
2015-05-01,198.556
2015-06-01,211.357
2015-07-01,208.325
2015-08-01,206.593
2015-09-01,193.239
