"Date","CUURX000SEHA"
2016-05-01,158.198
2016-06-01,158.508
2016-07-01,158.912
2016-08-01,159.262
2016-09-01,159.754
2016-10-01,160.583
2016-11-01,161.03
2016-12-01,161.502
2017-01-01,161.628
2017-02-01,161.951
2017-03-01,162.22
2017-04-01,162.449
2017-05-01,162.88
2017-06-01,163.345
2017-07-01,163.777
2017-08-01,164.465
2017-09-01,165.091
2017-10-01,165.778
2017-11-01,166.458
2017-12-01,166.964
2018-01-01,167.454
2018-02-01,167.768
2018-03-01,167.647
2018-04-01,167.914
2018-05-01,168.24
2018-06-01,168.634
2018-07-01,169.274
2018-08-01,169.928
2018-09-01,170.488
2018-10-01,171.076
2018-11-01,171.885
2018-12-01,172.351
2019-01-01,172.742
2019-02-01,173.12
2019-03-01,173.683
2019-04-01,174.281
2019-05-01,174.623
2019-06-01,175.518
2019-07-01,176.036
2019-08-01,176.493
2019-09-01,177.183
2019-10-01,177.721
2019-11-01,178.328
2019-12-01,178.663
2020-01-01,179.3
2020-02-01,179.683
2020-03-01,180.18
2020-04-01,180.64
2020-05-01,180.941
2020-06-01,181.277
2020-07-01,181.703
2020-08-01,182.088
2020-09-01,182.346
2020-10-01,182.97
2020-11-01,183.28
2020-12-01,183.685
2021-01-01,184.048
2021-02-01,184.273
2021-03-01,184.862
2021-04-01,185.118
2021-05-01,185.718
2021-06-01,186.213
2021-07-01,186.593
2021-08-01,187.478
2021-09-01,188.42
2021-10-01,189.563
2021-11-01,190.614
2021-12-01,191.362
2022-01-01,192.22
2022-02-01,193.16
2022-03-01,194.042
2022-04-01,195.15
2022-05-01,196.411
2022-06-01,198.101
2022-07-01,199.526
2022-08-01,201.312
2022-09-01,203.54
2022-10-01,205.044
2022-11-01,206.579
2022-12-01,208.179
2023-01-01,209.688
2023-02-01,211.284
2023-03-01,212.062
2023-04-01,213.311
2023-05-01,214.391
2023-06-01,215.312
2023-07-01,216.355
2023-08-01,217.623
2023-09-01,218.95
2023-10-01,220.438
2023-11-01,221.898
