"Date","CUURX000SEHA"
1997-12-01,100
1998-01-01,100.2
1998-02-01,100.3
1998-03-01,100.4
1998-04-01,100.5
1998-05-01,100.6
1998-06-01,100.8
1998-07-01,101
1998-08-01,101.3
1998-09-01,101.6
1998-10-01,101.8
1998-11-01,102.2
1998-12-01,102.3
1999-01-01,102.3
1999-02-01,102.5
1999-03-01,102.6
1999-04-01,102.8
1999-05-01,103
1999-06-01,103.1
1999-07-01,103.3
1999-08-01,103.4
1999-09-01,103.6
1999-10-01,103.7
1999-11-01,104.1
1999-12-01,104.3
2000-01-01,104.7
2000-02-01,104.8
2000-03-01,105
2000-04-01,105.1
2000-05-01,105.2
2000-06-01,105.3
2000-07-01,105.6
2000-08-01,105.9
2000-09-01,106.2
2000-10-01,106.6
2000-11-01,106.9
2000-12-01,107.3
2001-01-01,107.6
2001-02-01,107.8
2001-03-01,108.1
2001-04-01,108.3
2001-05-01,108.5
2001-06-01,108.8
2001-07-01,109
2001-08-01,109.4
2001-09-01,109.7
2001-10-01,110.1
2001-11-01,110.6
2001-12-01,111
2002-01-01,111.2
2002-02-01,111.4
2002-03-01,111.6
2002-04-01,111.8
2002-05-01,111.8
2002-06-01,112
2002-07-01,112.4
2002-08-01,112.6
2002-09-01,112.8
2002-10-01,113
2002-11-01,113.5
2002-12-01,113.9
2003-01-01,114.1
2003-02-01,114.3
2003-03-01,114.5
2003-04-01,114.7
2003-05-01,115
2003-06-01,115.1
2003-07-01,115.3
2003-08-01,115.4
2003-09-01,115.8
2003-10-01,116
2003-11-01,116.2
2003-12-01,116.5
2004-01-01,116.7
2004-02-01,117
2004-03-01,117.3
2004-04-01,117.5
2004-05-01,117.8
2004-06-01,118
2004-07-01,118.4
2004-08-01,118.8
2004-09-01,119
2004-10-01,119.3
2004-11-01,119.5
2004-12-01,120
2005-01-01,120.1
2005-02-01,120.4
2005-03-01,120.6
2005-04-01,120.8
2005-05-01,120.9
2005-06-01,121.1
2005-07-01,121.4
2005-08-01,121.5
2005-09-01,121.8
2005-10-01,122.2
2005-11-01,122.6
2005-12-01,123.1
2006-01-01,123.4
2006-02-01,123.7
2006-03-01,124
2006-04-01,124.2
2006-05-01,124.7
2006-06-01,125
2006-07-01,125.4
2006-08-01,126
2006-09-01,126.5
2006-10-01,127
2006-11-01,127.4
2006-12-01,128.1
2007-01-01,128.512
2007-02-01,129.168
2007-03-01,129.582
2007-04-01,129.843
2007-05-01,129.959
2007-06-01,130.115
2007-07-01,130.535
2007-08-01,130.665
2007-09-01,130.983
2007-10-01,131.58
2007-11-01,132.418
2007-12-01,132.859
2008-01-01,133.261
2008-02-01,133.529
2008-03-01,133.777
2008-04-01,134.138
2008-05-01,134.094
2008-06-01,134.493
2008-07-01,134.818
2008-08-01,135.126
2008-09-01,135.57
2008-10-01,136
2008-11-01,136.531
2008-12-01,136.82
2009-01-01,137.178
2009-02-01,137.386
2009-03-01,137.459
2009-04-01,137.68
2009-05-01,137.604
2009-06-01,137.467
2009-07-01,137.534
2009-08-01,137.681
2009-09-01,137.695
2009-10-01,137.656
2009-11-01,137.713
2009-12-01,137.895
2010-01-01,137.767
2010-02-01,137.573
2010-03-01,137.535
2010-04-01,137.534
2010-05-01,137.368
2010-06-01,137.179
2010-07-01,137.267
2010-08-01,136.627
2010-09-01,137.064
2010-10-01,136.925
2010-11-01,137.776
2010-12-01,138.664
2011-01-01,139.452
2011-02-01,139.794
2011-03-01,139.898
2011-04-01,140.076
2011-05-01,140.025
2011-06-01,139.823
2011-07-01,139.886
2011-08-01,140.586
2011-09-01,140.927
2011-10-01,141.408
2011-11-01,141.792
2011-12-01,142.498
2012-01-01,142.39
2012-02-01,142.624
2012-03-01,142.753
2012-04-01,142.88
2012-05-01,142.675
2012-06-01,142.191
2012-07-01,142.59
2012-08-01,142.624
2012-09-01,142.874
2012-10-01,144.296
2012-11-01,144.769
2012-12-01,145.553
2013-01-01,146.04
2013-02-01,146.205
2013-03-01,146.386
2013-04-01,146.384
2013-05-01,146.579
2013-06-01,146.441
2013-07-01,146.723
2013-08-01,147.342
2013-09-01,147.504
2013-10-01,147.794
2013-11-01,148.355
2013-12-01,149.342
2014-01-01,149.458
2014-02-01,149.743
2014-03-01,149.964
2014-04-01,150.145
2014-05-01,150.472
2014-06-01,150.629
2014-07-01,150.974
2014-08-01,151.244
2014-09-01,151.59
2014-10-01,152.015
2014-11-01,152.411
2014-12-01,152.625
2015-01-01,152.962
2015-02-01,153.333
2015-03-01,153.493
2015-04-01,153.715
2015-05-01,153.869
2015-06-01,154.092
2015-07-01,154.491
2015-08-01,155.004
2015-09-01,155.563
2015-10-01,156.082
2015-11-01,156.323
2015-12-01,156.726
2016-01-01,156.965
2016-02-01,157.165
2016-03-01,157.448
2016-04-01,157.909
