"Date","CUURA316SAG"
1975-11-01,54.4
1975-12-01,NA
1976-01-01,NA
1976-02-01,54.8
1976-03-01,NA
1976-04-01,NA
1976-05-01,55.5
1976-06-01,NA
1976-07-01,NA
1976-08-01,55.8
1976-09-01,NA
1976-10-01,NA
1976-11-01,57.5
1976-12-01,NA
1977-01-01,NA
1977-02-01,58.2
1977-03-01,NA
1977-04-01,NA
1977-05-01,59.2
1977-06-01,NA
1977-07-01,NA
1977-08-01,59.9
1977-09-01,NA
1977-10-01,NA
1977-11-01,60.9
1977-12-01,NA
1978-01-01,NA
1978-02-01,61.6
1978-03-01,NA
1978-04-01,61.9
1978-05-01,NA
1978-06-01,61.9
1978-07-01,NA
1978-08-01,64.6
1978-09-01,NA
1978-10-01,65.5
1978-11-01,NA
1978-12-01,66.1
1979-01-01,NA
1979-02-01,67.7
1979-03-01,NA
1979-04-01,67.7
1979-05-01,NA
1979-06-01,67.4
1979-07-01,NA
1979-08-01,69
1979-09-01,NA
1979-10-01,70.5
1979-11-01,NA
1979-12-01,71.6
1980-01-01,NA
1980-02-01,74.1
1980-03-01,NA
1980-04-01,74.6
1980-05-01,NA
1980-06-01,75
1980-07-01,NA
1980-08-01,75.1
1980-09-01,NA
1980-10-01,79.2
1980-11-01,NA
1980-12-01,81.2
1981-01-01,NA
1981-02-01,81.3
1981-03-01,NA
1981-04-01,82.9
1981-05-01,NA
1981-06-01,83.3
1981-07-01,NA
1981-08-01,84.6
1981-09-01,NA
1981-10-01,86.5
1981-11-01,NA
1981-12-01,86.8
1982-01-01,NA
1982-02-01,87.9
1982-03-01,NA
1982-04-01,89.5
1982-05-01,NA
1982-06-01,90.7
1982-07-01,NA
1982-08-01,92.5
1982-09-01,NA
1982-10-01,96.1
1982-11-01,NA
1982-12-01,97.2
1983-01-01,NA
1983-02-01,98.3
1983-03-01,NA
1983-04-01,99.5
1983-05-01,NA
1983-06-01,100.3
1983-07-01,NA
1983-08-01,101.9
1983-09-01,NA
1983-10-01,103.4
1983-11-01,NA
1983-12-01,103.5
1984-01-01,NA
1984-02-01,104.9
1984-03-01,NA
1984-04-01,106.2
1984-05-01,NA
1984-06-01,107
1984-07-01,NA
1984-08-01,107.2
1984-09-01,NA
1984-10-01,109.8
1984-11-01,NA
1984-12-01,110.1
1985-01-01,NA
1985-02-01,110.1
1985-03-01,NA
1985-04-01,111
1985-05-01,NA
1985-06-01,111.2
1985-07-01,NA
1985-08-01,112.5
1985-09-01,NA
1985-10-01,115.7
1985-11-01,NA
1985-12-01,116
1986-01-01,NA
1986-02-01,117
1986-03-01,NA
1986-04-01,116.7
1986-05-01,NA
1986-06-01,116.5
