"Date","CPGRLE01USM657N"
1960-01-01,0
1960-02-01,0.327868852459014
1960-03-01,0
1960-04-01,0
1960-05-01,0
1960-06-01,0
1960-07-01,0
1960-08-01,0
1960-09-01,0
1960-10-01,0.653594771241826
1960-11-01,0
1960-12-01,0
1961-01-01,0
1961-02-01,0
1961-03-01,0
1961-04-01,0.324675324675322
1961-05-01,0
1961-06-01,0
1961-07-01,0.323624595469253
1961-08-01,0
1961-09-01,0.322580645161288
1961-10-01,0.321543408360126
1961-11-01,0
1961-12-01,0
1962-01-01,0
1962-02-01,0
1962-03-01,0.32051282051284
1962-04-01,0
1962-05-01,0.319488817891372
1962-06-01,0
1962-07-01,0
1962-08-01,0
1962-09-01,0.318471337579616
1962-10-01,0.317460317460315
1962-11-01,0
1962-12-01,0
1963-01-01,-0.316455696202529
1963-02-01,0
1963-03-01,0.317460317460315
1963-04-01,0.316455696202529
1963-05-01,0
1963-06-01,0.315457413249209
1963-07-01,0
1963-08-01,0.314465408805029
1963-09-01,0
1963-10-01,0.313479623824449
1963-11-01,0.312500000000019
1963-12-01,0
1964-01-01,0
1964-02-01,0
1964-03-01,0.311526479750777
1964-04-01,0
1964-05-01,0
1964-06-01,0.310559006211178
1964-07-01,0
1964-08-01,-0.309597523219812
1964-09-01,0.310559006211178
1964-10-01,0.309597523219812
1964-11-01,0.30864197530864
1964-12-01,0
1965-01-01,0.307692307692306
1965-02-01,0
1965-03-01,0
1965-04-01,0.306748466257667
1965-05-01,0
1965-06-01,0
1965-07-01,0
1965-08-01,0
1965-09-01,0.305810397553515
1965-10-01,0.304878048780486
1965-11-01,0
1965-12-01,0.303951367781173
1966-01-01,-0.303030303030321
1966-02-01,0.303951367781173
1966-03-01,0.303030303030301
1966-04-01,0.604229607250751
1966-05-01,0.300300300300298
1966-06-01,0.299401197604788
1966-07-01,0.298507462686565
1966-08-01,0.297619047619046
1966-09-01,0.296735905044528
1966-10-01,0.591715976331357
1966-11-01,0.294117647058821
1966-12-01,0
1967-01-01,0
1967-02-01,0.293255131964807
1967-03-01,0.292397660818711
1967-04-01,0.291545189504352
1967-05-01,0.290697674418622
1967-06-01,0.289855072463766
1967-07-01,0.28901734104046
1967-08-01,0.288184438040344
1967-09-01,0.574712643678157
1967-10-01,0.571428571428568
1967-11-01,0.284090909090907
1967-12-01,0.283286118980187
1968-01-01,0.282485875706213
1968-02-01,0.281690140845068
1968-03-01,0.561797752808985
1968-04-01,0.279329608938546
1968-05-01,0.278551532033424
1968-06-01,0.55555555555557
1968-07-01,0.5524861878453
1968-08-01,0.274725274725273
1968-09-01,0.547945205479448
1968-10-01,0.544959128065391
1968-11-01,0.542005420054215
1968-12-01,0.269541778975739
1969-01-01,0.268817204301073
1969-02-01,0.536193029490613
1969-03-01,0.799999999999994
1969-04-01,0.793650793650806
1969-05-01,0.262467191601048
1969-06-01,0.26178010471204
1969-07-01,0.522193211488247
1969-08-01,0.259740259740258
1969-09-01,0.777202072538872
1969-10-01,0.514138817480716
1969-11-01,0.511508951406646
1969-12-01,0.508905852417299
1970-01-01,0.253164556962041
1970-02-01,0.505050505050501
1970-03-01,0.7537688442211
1970-04-01,0.498753117206979
1970-05-01,0.496277915632768
1970-06-01,0.740740740740719
1970-07-01,0.245098039215685
1970-08-01,0.244498777506111
1970-09-01,0.731707317073182
1970-10-01,0.726392251815976
1970-11-01,0.721153846153841
1970-12-01,0.47732696897376
1971-01-01,0
1971-02-01,0
1971-03-01,0.2375296912114
1971-04-01,0.236966824644548
1971-05-01,0.709219858156024
1971-06-01,0.469483568075114
1971-07-01,0.233644859813098
1971-08-01,0
1971-09-01,0.466200466200463
1971-10-01,0.232018561484917
1971-11-01,0.23148148148148
1971-12-01,0.230946882217088
1972-01-01,0
1972-02-01,0.230414746543777
1972-03-01,0.229885057471263
1972-04-01,0.229357798165136
1972-05-01,0.457665903890172
1972-06-01,0.227790432801821
1972-07-01,0.227272727272726
1972-08-01,0.453514739229022
1972-09-01,0
1972-10-01,0.451467268623022
1972-11-01,0.224719101123609
1972-12-01,0.22421524663677
1973-01-01,-0.223713646532437
1973-02-01,0.22421524663677
1973-03-01,0.447427293064874
1973-04-01,0.445434298440977
1973-05-01,0.443458980044343
1973-06-01,0.220750551876378
1973-07-01,0.22026431718063
1973-08-01,0.439560439560436
1973-09-01,0.656455142231943
1973-10-01,0.869565217391313
1973-11-01,0.431034482758618
1973-12-01,0.42918454935622
1974-01-01,0
1974-02-01,0.641025641025636
1974-03-01,0.849256900212308
1974-04-01,0.842105263157903
1974-05-01,1.0438413361169
1974-06-01,1.23966942148761
1974-07-01,1.0204081632653
1974-08-01,1.21212121212122
1974-09-01,1.19760479041917
1974-10-01,1.18343195266273
1974-11-01,0.974658869395704
1974-12-01,0.386100386100383
1975-01-01,0.384615384615395
1975-02-01,0.766283524904209
1975-03-01,0.57034220532319
1975-04-01,0.756143667296794
1975-05-01,0.375234521575982
1975-06-01,0.373831775700932
1975-07-01,0.558659217877104
1975-08-01,0.370370370370368
1975-09-01,0.738007380073796
1975-10-01,0.549450549450558
1975-11-01,0.72859744990892
1975-12-01,0.361663652802903
1976-01-01,0.360360360360358
1976-02-01,0.538599640933569
1976-03-01,0.714285714285697
1976-04-01,0.531914893617018
1976-05-01,0.529100529100537
1976-06-01,0.350877192982454
1976-07-01,0.699300699300694
1976-08-01,0.520833333333341
1976-09-01,0.690846286701204
1976-10-01,0.514579759862775
1976-11-01,0.511945392491476
1976-12-01,0
1977-01-01,0.509337860780981
1977-02-01,0.506756756756765
