"Date","CUUR0400SAA"
1966-12-01,51.4
1967-01-01,NA
1967-02-01,NA
1967-03-01,51.4
1967-04-01,NA
1967-05-01,NA
1967-06-01,52.2
1967-07-01,NA
1967-08-01,NA
1967-09-01,53
1967-10-01,NA
1967-11-01,NA
1967-12-01,53.7
1968-01-01,NA
1968-02-01,NA
1968-03-01,54
1968-04-01,NA
1968-05-01,NA
1968-06-01,54.7
1968-07-01,NA
1968-08-01,NA
1968-09-01,55.7
1968-10-01,NA
1968-11-01,NA
1968-12-01,56.7
1969-01-01,NA
1969-02-01,NA
1969-03-01,56.9
1969-04-01,NA
1969-05-01,NA
1969-06-01,57.4
1969-07-01,NA
1969-08-01,NA
1969-09-01,58.2
1969-10-01,NA
1969-11-01,NA
1969-12-01,59
1970-01-01,NA
1970-02-01,NA
1970-03-01,59.1
1970-04-01,NA
1970-05-01,NA
1970-06-01,59.9
1970-07-01,NA
1970-08-01,NA
1970-09-01,60.5
1970-10-01,NA
1970-11-01,NA
1970-12-01,61.4
1971-01-01,NA
1971-02-01,NA
1971-03-01,61.1
1971-04-01,NA
1971-05-01,NA
1971-06-01,62
1971-07-01,NA
1971-08-01,NA
1971-09-01,62.2
1971-10-01,NA
1971-11-01,NA
1971-12-01,62.8
1972-01-01,NA
1972-02-01,NA
1972-03-01,62.8
1972-04-01,NA
1972-05-01,NA
1972-06-01,63.2
1972-07-01,NA
1972-08-01,NA
1972-09-01,63.4
1972-10-01,NA
1972-11-01,NA
1972-12-01,64.1
1973-01-01,NA
1973-02-01,NA
1973-03-01,64
1973-04-01,NA
1973-05-01,NA
1973-06-01,65.2
1973-07-01,NA
1973-08-01,NA
1973-09-01,65.8
1973-10-01,NA
1973-11-01,NA
1973-12-01,66.5
1974-01-01,NA
1974-02-01,NA
1974-03-01,67.7
1974-04-01,NA
1974-05-01,NA
1974-06-01,69.9
1974-07-01,NA
1974-08-01,NA
1974-09-01,71.5
1974-10-01,NA
1974-11-01,NA
1974-12-01,72.3
1975-01-01,NA
1975-02-01,NA
1975-03-01,72
1975-04-01,NA
1975-05-01,NA
1975-06-01,72.5
1975-07-01,NA
1975-08-01,NA
1975-09-01,73.4
1975-10-01,NA
1975-11-01,NA
1975-12-01,74
1976-01-01,NA
1976-02-01,NA
1976-03-01,74.4
1976-04-01,NA
1976-05-01,NA
1976-06-01,74.9
1976-07-01,NA
1976-08-01,NA
1976-09-01,75.8
1976-10-01,NA
1976-11-01,NA
1976-12-01,76.6
1977-01-01,NA
1977-02-01,NA
1977-03-01,77
1977-04-01,NA
1977-05-01,NA
1977-06-01,77.7
1977-07-01,NA
1977-08-01,NA
1977-09-01,78.2
1977-10-01,NA
1977-11-01,NA
1977-12-01,79.7
1978-01-01,NA
1978-02-01,78.7
1978-03-01,NA
1978-04-01,79.7
1978-05-01,NA
1978-06-01,80.5
1978-07-01,NA
1978-08-01,80.7
1978-09-01,NA
1978-10-01,82.5
1978-11-01,NA
1978-12-01,82.5
1979-01-01,NA
1979-02-01,82.1
1979-03-01,NA
1979-04-01,83.8
