"Date","STICKCPIM158SFRBATL"
1967-01-01,3.027165655
1967-02-01,3.902095672
1967-03-01,0.356621579
1967-04-01,3.904084256
1967-05-01,3.477216506
1967-06-01,3.550913133
1967-07-01,4.117064462
1967-08-01,3.634576799
1967-09-01,2.871266837
1967-10-01,4.459139916
1967-11-01,4.820411211
1967-12-01,3.869164819
1968-01-01,5.725070081
1968-02-01,4.221585738
1968-03-01,5.668130572
1968-04-01,3.70390961
1968-05-01,3.066143342
1968-06-01,8.761259911
1968-07-01,6.29563334
1968-08-01,5.958930121
1968-09-01,2.834080294
1968-10-01,7.283347698
1968-11-01,6.836501035
1968-12-01,7.208242859
1969-01-01,5.800106495
1969-02-01,4.217098942
1969-03-01,9.64675659
1969-04-01,8.085883091
1969-05-01,5.966396157
1969-06-01,4.666781246
1969-07-01,6.595649194
1969-08-01,6.298425337
1969-09-01,7.594002105
1969-10-01,4.845848312
1969-11-01,6.022596709
1969-12-01,7.077085058
1970-01-01,8.665262745
1970-02-01,9.313223947
1970-03-01,9.368965167
1970-04-01,6.753146354
1970-05-01,7.381043282
1970-06-01,6.149147863
1970-07-01,4.953297865
1970-08-01,7.197243474
1970-09-01,6.808964453
1970-10-01,3.881217644
1970-11-01,8.625254491
1970-12-01,6.707925278
1971-01-01,5.543996477
1971-02-01,1.794309274
1971-03-01,0.459364326
1971-04-01,3.84009421
1971-05-01,4.562225783
1971-06-01,8.524193491
1971-07-01,3.993357891
1971-08-01,4.572977069
1971-09-01,4.145957035
1971-10-01,0.719964897
1971-11-01,3.694480828
1971-12-01,3.804697771
1972-01-01,5.114473049
1972-02-01,2.648578165
1972-03-01,2.890850135
1972-04-01,3.066760186
1972-05-01,3.129325757
1972-06-01,3.905575717
1972-07-01,3.837858318
1972-08-01,3.482788519
1972-09-01,1.591532783
1972-10-01,2.757406584
1972-11-01,3.173895636
1972-12-01,2.702425797
1973-01-01,1.958361062
1973-02-01,3.620566565
1973-03-01,3.528737156
1973-04-01,4.37461663
1973-05-01,5.884169825
1973-06-01,4.078469475
1973-07-01,3.240598222
1973-08-01,7.159265177
1973-09-01,10.236817435
1973-10-01,13.581701441
1973-11-01,5.962852893
1973-12-01,7.468051961
1974-01-01,8.168772628
1974-02-01,8.540362631
1974-03-01,9.049588116
1974-04-01,8.438727779
1974-05-01,12.201077947
1974-06-01,13.752820956
1974-07-01,13.861444998
1974-08-01,14.243056249
1974-09-01,14.292687984
1974-10-01,12.575044209
1974-11-01,9.843818586
1974-12-01,12.893411165
1975-01-01,10.291152367
1975-02-01,9.990387672
1975-03-01,6.597684984
1975-04-01,8.194437649
1975-05-01,3.343446989
1975-06-01,7.544221529
1975-07-01,5.690221278
1975-08-01,4.597733882
1975-09-01,9.863045566
