"Date","CUURA319SETB01"
1993-08-01,NA
1993-09-01,NA
1993-10-01,NA
1993-11-01,NA
1993-12-01,NA
1994-01-01,NA
1994-02-01,NA
1994-03-01,NA
1994-04-01,NA
1994-05-01,NA
1994-06-01,NA
1994-07-01,NA
1994-08-01,NA
1994-09-01,NA
1994-10-01,NA
1994-11-01,NA
1994-12-01,NA
1995-01-01,NA
1995-02-01,NA
1995-03-01,NA
1995-04-01,NA
1995-05-01,NA
1995-06-01,NA
1995-07-01,NA
1995-08-01,NA
1995-09-01,NA
1995-10-01,NA
1995-11-01,NA
1995-12-01,NA
1996-01-01,NA
1996-02-01,NA
1996-03-01,NA
1996-04-01,NA
1996-05-01,NA
1996-06-01,NA
1996-07-01,NA
1996-08-01,NA
1996-09-01,NA
1996-10-01,NA
1996-11-01,NA
1996-12-01,NA
1997-01-01,NA
1997-02-01,NA
1997-03-01,NA
1997-04-01,NA
1997-05-01,NA
1997-06-01,NA
1997-07-01,NA
1997-08-01,NA
1997-09-01,NA
1997-10-01,NA
1997-11-01,NA
1997-12-01,87.3
1998-01-01,84.5
1998-02-01,81.1
1998-03-01,78.7
1998-04-01,79.5
1998-05-01,79.6
1998-06-01,80.7
1998-07-01,79.8
1998-08-01,78.2
1998-09-01,76.7
1998-10-01,78.9
1998-11-01,79.2
1998-12-01,77.1
1999-01-01,74.8
1999-02-01,73.1
1999-03-01,73
1999-04-01,85.4
1999-05-01,86.8
1999-06-01,85.7
1999-07-01,89.5
1999-08-01,95.4
1999-09-01,98.7
1999-10-01,100.2
1999-11-01,99.5
1999-12-01,103.1
2000-01-01,102.9
2000-02-01,108.8
2000-03-01,121.7
2000-04-01,119.8
2000-05-01,117.3
2000-06-01,126.8
2000-07-01,131.3
2000-08-01,122.4
2000-09-01,123
2000-10-01,125
2000-11-01,121.4
2000-12-01,117.2
2001-01-01,113.7
2001-02-01,117.4
2001-03-01,112.6
2001-04-01,118.3
2001-05-01,128.8
2001-06-01,126.1
2001-07-01,114
2001-08-01,108.8
2001-09-01,118.6
2001-10-01,110.4
2001-11-01,89.9
2001-12-01,82.1
2002-01-01,86.6
2002-02-01,87.5
2002-03-01,93
2002-04-01,112.2
2002-05-01,109.6
2002-06-01,109.6
2002-07-01,108.6
2002-08-01,111.8
2002-09-01,110.1
2002-10-01,114.2
2002-11-01,114.3
2002-12-01,105.1
2003-01-01,117.2
2003-02-01,127.4
2003-03-01,134.7
2003-04-01,126
2003-05-01,116.9
2003-06-01,117.6
2003-07-01,120
2003-08-01,127.8
2003-09-01,131.6
2003-10-01,118.3
2003-11-01,118.1
2003-12-01,116.5
2004-01-01,128.8
2004-02-01,136.2
2004-03-01,139.4
2004-04-01,146.4
2004-05-01,159.7
2004-06-01,164
2004-07-01,156.4
2004-08-01,154.7
2004-09-01,151.8
2004-10-01,164.3
2004-11-01,163.9
2004-12-01,154.1
2005-01-01,149.1
2005-02-01,157.9
2005-03-01,170.8
2005-04-01,186.3
2005-05-01,179.8
2005-06-01,180.2
2005-07-01,191.4
2005-08-01,204.4
2005-09-01,247.9
2005-10-01,253
2005-11-01,197.7
2005-12-01,175.7
2006-01-01,195.5
2006-02-01,194
2006-03-01,198.2
2006-04-01,231.8
2006-05-01,247.3
2006-06-01,247.2
2006-07-01,257.9
2006-08-01,255.5
2006-09-01,211.7
2006-10-01,181.7
2006-11-01,183.9
2006-12-01,194.4
2007-01-01,182.504
2007-02-01,183.171
2007-03-01,212.634
2007-04-01,234.992
2007-05-01,260.014
2007-06-01,258.147
2007-07-01,257.599
2007-08-01,240.381
2007-09-01,238.884
2007-10-01,239.801
2007-11-01,262.074
2007-12-01,257.825
2008-01-01,262.741
2008-02-01,262.15
2008-03-01,281.033
2008-04-01,296.395
2008-05-01,327.566
2008-06-01,351.001
2008-07-01,352.341
2008-08-01,327.456
2008-09-01,326.966
2008-10-01,279.477
2008-11-01,181.761
2008-12-01,145.441
2009-01-01,147.262
2009-02-01,161.463
2009-03-01,164.737
2009-04-01,173.558
2009-05-01,187.45
2009-06-01,220.477
2009-07-01,215.594
2009-08-01,218.634
2009-09-01,209.957
2009-10-01,210.049
2009-11-01,223.4
2009-12-01,220.373
2010-01-01,230.523
2010-02-01,223.465
2010-03-01,236.475
2010-04-01,241.262
2010-05-01,246.336
2010-06-01,231.206
2010-07-01,230.606
2010-08-01,231.46
2010-09-01,228.572
2010-10-01,234.794
2010-11-01,239.404
2010-12-01,252.403
2011-01-01,265.042
2011-02-01,269.216
2011-03-01,301.909
2011-04-01,322.371
2011-05-01,342.89
2011-06-01,317.569
2011-07-01,321.098
2011-08-01,318.723
2011-09-01,304.838
2011-10-01,291.779
2011-11-01,291.294
2011-12-01,278.747
2012-01-01,297.947
2012-02-01,311.369
2012-03-01,328.936
2012-04-01,334.554
2012-05-01,313.332
2012-06-01,290.147
2012-07-01,292.688
2012-08-01,319.539
2012-09-01,333.915
2012-10-01,313.077
2012-11-01,286.196
2012-12-01,280.623
2013-01-01,289.602
2013-02-01,317.6
2013-03-01,317.644
2013-04-01,300.193
2013-05-01,308.556
2013-06-01,307.764
2013-07-01,307.259
2013-08-01,308.509
2013-09-01,303.077
2013-10-01,294.807
2013-11-01,282.412
2013-12-01,280.708
2014-01-01,283.937
2014-02-01,285.649
2014-03-01,296.298
2014-04-01,315.291
2014-05-01,323.026
2014-06-01,318.221
2014-07-01,314.054
2014-08-01,297.442
2014-09-01,296.799
2014-10-01,280.374
2014-11-01,251.26
2014-12-01,222.064
2015-01-01,184.972
2015-02-01,192.224
2015-03-01,200.773
2015-04-01,205.178
2015-05-01,233.302
2015-06-01,250.588
2015-07-01,240.465
2015-08-01,223.935
2015-09-01,200.703
2015-10-01,191.152
2015-11-01,186.251
2015-12-01,175.369
2016-01-01,162.229
2016-02-01,149.161
2016-03-01,170.268
2016-04-01,187.915
2016-05-01,200.861
2016-06-01,201.026
2016-07-01,184.06
2016-08-01,187.534
2016-09-01,202.835
2016-10-01,204.53
2016-11-01,197.229
2016-12-01,196.619
2017-01-01,201.323
2017-02-01,195.515
2017-03-01,195.905
2017-04-01,205.349
2017-05-01,196.435
2017-06-01,196.327
2017-07-01,199.377
2017-08-01,203.488
2017-09-01,247.455
2017-10-01,220.912
2017-11-01,213.446
2017-12-01,205.194
2018-01-01,217.212
2018-02-01,217.574
2018-03-01,221.014
2018-04-01,234.509
2018-05-01,247.394
2018-06-01,248.604
2018-07-01,245.359
2018-08-01,248.657
2018-09-01,246.985
2018-10-01,247.516
2018-11-01,217.964
2018-12-01,192.224
2019-01-01,187.945
2019-02-01,194.747
2019-03-01,213.373
2019-04-01,238.093
2019-05-01,237.044
2019-06-01,223.587
2019-07-01,237.322
2019-08-01,222.572
2019-09-01,224.334
2019-10-01,219.342
2019-11-01,219.069
2019-12-01,212.643
2020-01-01,211.456
2020-02-01,199.016
2020-03-01,180.251
2020-04-01,139.161
2020-05-01,143.06
2020-06-01,161.035
2020-07-01,176.945
2020-08-01,172.239
2020-09-01,178.947
2020-10-01,175.637
2020-11-01,171.224
2020-12-01,178.194
2021-01-01,194.151
2021-02-01,208.046
2021-03-01,235.576
2021-04-01,237.337
2021-05-01,254.454
2021-06-01,256.515
2021-07-01,258.999
2021-08-01,261.227
2021-09-01,261.012
2021-10-01,273.391
2021-11-01,284.223
2021-12-01,277.5
2022-01-01,275.8
2022-02-01,291.052
2022-03-01,356.582
2022-04-01,332.733
2022-05-01,348.861
2022-06-01,386.937
2022-07-01,361.511
2022-08-01,312.469
2022-09-01,287.021
2022-10-01,282.652
2022-11-01,273.732
2022-12-01,251.534
2023-01-01,269.523
2023-02-01,284.703
2023-03-01,280.505
2023-04-01,291.29
2023-05-01,285.077
2023-06-01,286.929
2023-07-01,293.53
2023-08-01,318.363
2023-09-01,304.709
2023-10-01,275.046
2023-11-01,254.878
