"Date","CUUR0000SAN"
1969-11-01,39.7
1969-12-01,40
1970-01-01,40.1
1970-02-01,40.3
1970-03-01,40.4
1970-04-01,40.5
1970-05-01,40.7
1970-06-01,40.8
1970-07-01,40.9
1970-08-01,40.9
1970-09-01,41.1
1970-10-01,41.2
1970-11-01,41.2
1970-12-01,41.3
1971-01-01,41.3
1971-02-01,41.4
1971-03-01,41.6
1971-04-01,41.8
1971-05-01,42
1971-06-01,42.2
1971-07-01,42.3
1971-08-01,42.4
1971-09-01,42.4
1971-10-01,42.5
1971-11-01,42.5
1971-12-01,42.7
1972-01-01,42.6
1972-02-01,43
1972-03-01,43.1
1972-04-01,43.1
1972-05-01,43.3
1972-06-01,43.3
1972-07-01,43.5
1972-08-01,43.6
1972-09-01,43.9
1972-10-01,44
1972-11-01,44.1
1972-12-01,44.3
1973-01-01,44.6
1973-02-01,45.1
1973-03-01,45.9
1973-04-01,46.4
1973-05-01,46.7
1973-06-01,47.2
1973-07-01,47.3
1973-08-01,48.8
1973-09-01,48.8
1973-10-01,49.1
1973-11-01,49.7
1973-12-01,50.2
1974-01-01,50.8
1974-02-01,51.9
1974-03-01,52.6
1974-04-01,52.8
1974-05-01,53.4
1974-06-01,53.8
1974-07-01,53.9
1974-08-01,54.7
1974-09-01,55.3
1974-10-01,55.7
1974-11-01,56.2
1974-12-01,56.6
1975-01-01,56.7
1975-02-01,57.1
1975-03-01,57.1
1975-04-01,57.2
1975-05-01,57.5
1975-06-01,58.1
1975-07-01,59
1975-08-01,59.1
1975-09-01,59.1
1975-10-01,59.5
1975-11-01,59.7
1975-12-01,59.9
1976-01-01,59.8
1976-02-01,59.8
1976-03-01,59.6
1976-04-01,59.8
1976-05-01,60.1
1976-06-01,60.4
1976-07-01,60.7
1976-08-01,60.9
1976-09-01,61
1976-10-01,61.1
1976-11-01,61.2
1976-12-01,61.4
1977-01-01,61.6
1977-02-01,62.6
1977-03-01,62.9
1977-04-01,63.4
1977-05-01,63.7
1977-06-01,64.2
1977-07-01,64.4
1977-08-01,64.6
1977-09-01,64.7
1977-10-01,64.8
1977-11-01,65.2
1977-12-01,65.4
1978-01-01,65.7
1978-02-01,66.2
1978-03-01,66.8
1978-04-01,67.5
1978-05-01,68.2
1978-06-01,68.9
1978-07-01,69.2
1978-08-01,69.5
1978-09-01,69.9
1978-10-01,70.3
1978-11-01,70.6
1978-12-01,71.1
1979-01-01,71.9
1979-02-01,72.9
1979-03-01,74
1979-04-01,75
1979-05-01,76.1
1979-06-01,77.1
1979-07-01,78
1979-08-01,78.8
1979-09-01,79.8
1979-10-01,80.3
1979-11-01,80.7
1979-12-01,81.6
1980-01-01,82.9
1980-02-01,84.5
1980-03-01,85.9
1980-04-01,86.6
1980-05-01,86.9
1980-06-01,87.4
1980-07-01,87.9
1980-08-01,88.8
1980-09-01,89.4
1980-10-01,89.7
1980-11-01,90.2
1980-12-01,90.8
1981-01-01,91.8
1981-02-01,93.8
1981-03-01,94.8
1981-04-01,95.1
1981-05-01,95
1981-06-01,95.2
1981-07-01,95.5
1981-08-01,95.8
1981-09-01,96.3
1981-10-01,96.3
1981-11-01,96.3
1981-12-01,96.4
1982-01-01,96.8
1982-02-01,97.1
1982-03-01,96.8
1982-04-01,96.3
1982-05-01,96.8
1982-06-01,98.1
1982-07-01,98.6
1982-08-01,98.5
1982-09-01,98.7
1982-10-01,98.8
1982-11-01,98.8
1982-12-01,98.6
1983-01-01,98.4
1983-02-01,98.2
1983-03-01,98.1
1983-04-01,99.1
1983-05-01,99.8
1983-06-01,100
1983-07-01,100.2
1983-08-01,100.5
1983-09-01,100.7
1983-10-01,100.7
1983-11-01,100.5
1983-12-01,100.5
1984-01-01,101.2
1984-02-01,102
1984-03-01,102.1
1984-04-01,102.3
1984-05-01,102.3
1984-06-01,102.2
1984-07-01,102.2
1984-08-01,102.6
1984-09-01,103
1984-10-01,103.2
1984-11-01,103.1
1984-12-01,103.1
1985-01-01,103
1985-02-01,103.4
1985-03-01,104
1985-04-01,104.6
1985-05-01,104.8
1985-06-01,105
1985-07-01,104.9
1985-08-01,105
1985-09-01,105.3
1985-10-01,105.5
1985-11-01,106
1985-12-01,106.3
1986-01-01,106.4
1986-02-01,105.2
1986-03-01,103.5
1986-04-01,102.3
1986-05-01,102.7
1986-06-01,103
1986-07-01,102.6
1986-08-01,102.7
1986-09-01,103.5
1986-10-01,103.3
1986-11-01,103.4
1986-12-01,103.5
1987-01-01,104.4
1987-02-01,105.3
1987-03-01,106.1
1987-04-01,106.9
1987-05-01,107.2
1987-06-01,107.4
1987-07-01,107.3
1987-08-01,108.1
1987-09-01,109
1987-10-01,109.4
1987-11-01,109.5
1987-12-01,109.1
1988-01-01,109.1
1988-02-01,109
1988-03-01,109.8
1988-04-01,111
1988-05-01,111.4
1988-06-01,111.4
1988-07-01,111.9
1988-08-01,112.4
1988-09-01,113.7
1988-10-01,114.2
1988-11-01,114.1
1988-12-01,113.9
1989-01-01,114.3
1989-02-01,114.9
1989-03-01,116.2
1989-04-01,118.4
1989-05-01,119.3
1989-06-01,119
1989-07-01,118.7
1989-08-01,118.4
1989-09-01,119.3
1989-10-01,120.1
1989-11-01,120
1989-12-01,119.8
1990-01-01,122
1990-02-01,122.9
1990-03-01,123.8
1990-04-01,124.2
1990-05-01,124.2
1990-06-01,124.6
1990-07-01,124.6
1990-08-01,126.3
1990-09-01,128.7
1990-10-01,130.4
1990-11-01,130.5
1990-12-01,130
1991-01-01,129.8
1991-02-01,129.3
1991-03-01,129.2
1991-04-01,130.2
1991-05-01,130.6
1991-06-01,130.4
1991-07-01,129.6
1991-08-01,130.1
1991-09-01,131
1991-10-01,131
1991-11-01,131.5
1991-12-01,131.1
1992-01-01,130.6
1992-02-01,131.1
1992-03-01,132.1
1992-04-01,132.4
1992-05-01,132.8
1992-06-01,132.8
1992-07-01,132.5
1992-08-01,133
1992-09-01,133.8
1992-10-01,134.2
1992-11-01,134.2
1992-12-01,133.6
1993-01-01,133.9
1993-02-01,134.7
1993-03-01,135.3
1993-04-01,135.8
1993-05-01,135.9
1993-06-01,135
1993-07-01,134.2
1993-08-01,134.5
1993-09-01,134.7
1993-10-01,135.8
1993-11-01,135.8
1993-12-01,135.1
1994-01-01,135
1994-02-01,135.2
1994-03-01,136
1994-04-01,136.4
1994-05-01,136.5
1994-06-01,136.5
1994-07-01,136.6
1994-08-01,137.4
1994-09-01,138.1
1994-10-01,138.1
1994-11-01,138.2
1994-12-01,137.8
1995-01-01,137.8
1995-02-01,138.1
1995-03-01,138.7
1995-04-01,139.6
1995-05-01,139.9
1995-06-01,139.6
1995-07-01,139
1995-08-01,139.3
1995-09-01,139.9
1995-10-01,140.4
1995-11-01,140.1
1995-12-01,139.7
1996-01-01,140.7
1996-02-01,141
1996-03-01,142.5
1996-04-01,143.9
1996-05-01,144.2
1996-06-01,143.6
1996-07-01,143.1
1996-08-01,143.1
1996-09-01,144.1
1996-10-01,145.1
1996-11-01,145.6
1996-12-01,145.3
1997-01-01,145.5
1997-02-01,145.9
1997-03-01,146.2
1997-04-01,146.6
1997-05-01,146.4
1997-06-01,145.8
1997-07-01,145.4
1997-08-01,146.1
1997-09-01,147.1
1997-10-01,147.4
1997-11-01,147.3
1997-12-01,146.5
1998-01-01,146.2
1998-02-01,146.1
1998-03-01,146.2
1998-04-01,146.7
1998-05-01,147.5
1998-06-01,146.9
1998-07-01,146.4
1998-08-01,146.8
1998-09-01,147.1
1998-10-01,148.1
1998-11-01,147.8
1998-12-01,147.5
1999-01-01,147.9
1999-02-01,147.9
1999-03-01,148.5
1999-04-01,151.4
1999-05-01,151.4
1999-06-01,150.5
1999-07-01,150.6
1999-08-01,151.5
1999-09-01,153.2
1999-10-01,154
1999-11-01,153.7
1999-12-01,153.6
2000-01-01,153.7
2000-02-01,155.6
2000-03-01,158.1
2000-04-01,158.2
2000-05-01,158
2000-06-01,158.8
2000-07-01,158.4
2000-08-01,157.6
2000-09-01,160
2000-10-01,160.1
2000-11-01,160.2
2000-12-01,159.1
2001-01-01,159.1
2001-02-01,160
2001-03-01,160.3
2001-04-01,162
2001-05-01,163.6
2001-06-01,162.7
2001-07-01,160.3
2001-08-01,159.7
2001-09-01,162.3
2001-10-01,160.8
2001-11-01,159.1
2001-12-01,156.8
2002-01-01,157
2002-02-01,158
2002-03-01,160.2
2002-04-01,162.7
2002-05-01,162.1
2002-06-01,161.2
2002-07-01,160.6
2002-08-01,161.2
2002-09-01,162.2
2002-10-01,163
2002-11-01,162.9
2002-12-01,161.6
2003-01-01,162.2
2003-02-01,165.3
2003-03-01,167.2
2003-04-01,165.9
2003-05-01,164.3
2003-06-01,163.9
2003-07-01,163.5
2003-08-01,165.2
2003-09-01,167.4
2003-10-01,166.8
2003-11-01,166.1
2003-12-01,165.4
2004-01-01,166.4
2004-02-01,168.1
2004-03-01,170.3
2004-04-01,171.4
2004-05-01,174.1
2004-06-01,174
2004-07-01,172.2
2004-08-01,171.9
2004-09-01,172.8
2004-10-01,175.8
2004-11-01,175.6
2004-12-01,173.3
2005-01-01,172.5
2005-02-01,174.2
2005-03-01,177
2005-04-01,180.3
2005-05-01,179.4
2005-06-01,178.2
2005-07-01,179.4
2005-08-01,182.1
2005-09-01,188.9
2005-10-01,188
2005-11-01,182.4
2005-12-01,180.1
2006-01-01,182
2006-02-01,182.2
2006-03-01,184.4
2006-04-01,188.7
2006-05-01,191
2006-06-01,190.2
2006-07-01,190.4
2006-08-01,191
2006-09-01,187.8
2006-10-01,184.8
2006-11-01,183.8
2006-12-01,184.5
2007-01-01,184.284
2007-02-01,185.751
2007-03-01,190.212
2007-04-01,193.57
2007-05-01,196.916
2007-06-01,195.749
2007-07-01,194.326
2007-08-01,192.869
2007-09-01,194.616
2007-10-01,195.646
2007-11-01,199.253
2007-12-01,198.422
2008-01-01,199.346
2008-02-01,200.03
2008-03-01,203.767
2008-04-01,207.096
2008-05-01,211.24
2008-06-01,214.783
2008-07-01,215.628
2008-08-01,212.882
2008-09-01,213.274
2008-10-01,207.435
2008-11-01,195.773
2008-12-01,189.557
2009-01-01,190.649
2009-02-01,192.943
2009-03-01,194.105
2009-04-01,195.864
2009-05-01,197.673
2009-06-01,201.461
2009-07-01,199.746
2009-08-01,201.191
2009-09-01,201.783
2009-10-01,202.058
2009-11-01,203.035
2009-12-01,202.064
2010-01-01,203.588
2010-02-01,203.219
2010-03-01,205.409
2010-04-01,206.393
2010-05-01,206.391
2010-06-01,204.157
2010-07-01,203.471
2010-08-01,204.111
2010-09-01,204.92
2010-10-01,206.518
2010-11-01,207.053
2010-12-01,208.028
2011-01-01,210.205
2011-02-01,212.056
2011-03-01,217.791
2011-04-01,221.504
2011-05-01,223.413
2011-06-01,220.611
2011-07-01,219.979
2011-08-01,220.958
2011-09-01,222.036
2011-10-01,221.035
2011-11-01,220.592
2011-12-01,218.411
2012-01-01,220.325
2012-02-01,222.634
2012-03-01,227.039
2012-04-01,228.19
2012-05-01,226.283
2012-06-01,223.115
2012-07-01,221.463
2012-08-01,224.939
2012-09-01,227.913
2012-10-01,227.788
2012-11-01,224.101
2012-12-01,221.668
2013-01-01,222.16
2013-02-01,226.49
2013-03-01,227.54
2013-04-01,226.246
2013-05-01,226.096
2013-06-01,226.071
2013-07-01,225.63
2013-08-01,226
2013-09-01,226.324
2013-10-01,224.824
2013-11-01,223.085
2013-12-01,222.79
2014-01-01,223.63
2014-02-01,224.935
2014-03-01,227.724
2014-04-01,229.635
2014-05-01,230.251
2014-06-01,230.088
2014-07-01,229.2
2014-08-01,228.044
2014-09-01,228.554
2014-10-01,226.71
2014-11-01,222.81
2014-12-01,218.358
2015-01-01,213.108
2015-02-01,214.988
2015-03-01,218.297
2015-04-01,218.244
2015-05-01,220.974
2015-06-01,221.473
2015-07-01,221.01
2015-08-01,219.833
2015-09-01,217.988
2015-10-01,217.382
2015-11-01,215.413
2015-12-01,212.773
2016-01-01,212.014
2016-02-01,210.749
2016-03-01,212.806
2016-04-01,215.135
2016-05-01,216.417
2016-06-01,217.033
2016-07-01,215.113
2016-08-01,215.025
2016-09-01,216.577
2016-10-01,217.516
2016-11-01,215.885
2016-12-01,215.401
2017-01-01,217.486
2017-02-01,217.861
2017-03-01,218.705
2017-04-01,220.132
2017-05-01,219.337
2017-06-01,218.331
2017-07-01,217.668
2017-08-01,219.112
2017-09-01,223.085
2017-10-01,222.048
2017-11-01,221.698
2017-12-01,219.981
2018-01-01,222.191
2018-02-01,223.624
2018-03-01,223.953
2018-04-01,226.564
2018-05-01,228.354
2018-06-01,227.922
2018-07-01,227.018
2018-08-01,226.897
2018-09-01,228.169
2018-10-01,228.816
2018-11-01,225.342
2018-12-01,221.263
2019-01-01,220.86
2019-02-01,222.655
2019-03-01,225.714
2019-04-01,229.028
2019-05-01,229.875
2019-06-01,227.749
2019-07-01,227.936
2019-08-01,226.909
2019-09-01,227.358
2019-10-01,228.294
2019-11-01,227.202
2019-12-01,226.12
2020-01-01,226.998
2020-02-01,227.015
2020-03-01,225.113
2020-04-01,221.622
2020-05-01,221.514
2020-06-01,224.283
2020-07-01,225.024
2020-08-01,225.659
2020-09-01,226.258
2020-10-01,226.074
2020-11-01,224.697
2020-12-01,225.432
2021-01-01,228.543
2021-02-01,230.98
2021-03-01,234.611
2021-04-01,236.092
2021-05-01,237.991
2021-06-01,239.487
2021-07-01,241.137
2021-08-01,242.338
2021-09-01,244.222
2021-10-01,247.33
2021-11-01,248.656
2021-12-01,248.393
2022-01-01,250.951
2022-02-01,255.634
2022-03-01,265.38
2022-04-01,266.284
2022-05-01,271.921
2022-06-01,278.363
2022-07-01,275.627
2022-08-01,271.395
2022-09-01,270.648
2022-10-01,273.337
2022-11-01,271.71
2022-12-01,266.405
2023-01-01,269.657
2023-02-01,271.873
2023-03-01,272.775
2023-04-01,274.743
2023-05-01,274.606
2023-06-01,274.711
2023-07-01,274.97
2023-08-01,278.122
2023-09-01,279.363
2023-10-01,277.852
2023-11-01,273.685
