"Date","CPIRECSL"
1993-01-01,89.7
1993-02-01,90
1993-03-01,90.4
1993-04-01,90.7
1993-05-01,90.3
1993-06-01,90.6
1993-07-01,90.6
1993-08-01,90.9
1993-09-01,91.3
1993-10-01,91.7
1993-11-01,91.9
1993-12-01,92
1994-01-01,92.3
1994-02-01,92.5
1994-03-01,92.7
1994-04-01,92.7
1994-05-01,92.8
1994-06-01,92.7
1994-07-01,92.8
1994-08-01,92.7
1994-09-01,92.9
1994-10-01,93
1994-11-01,93.4
1994-12-01,93.2
1995-01-01,93.7
1995-02-01,93.9
1995-03-01,94
1995-04-01,94.4
1995-05-01,94.6
1995-06-01,94.3
1995-07-01,94.4
1995-08-01,94.7
1995-09-01,95.1
1995-10-01,95.3
1995-11-01,95.7
1995-12-01,95.8
1996-01-01,96.2
1996-02-01,96.9
1996-03-01,97
1996-04-01,97.2
1996-05-01,97.3
1996-06-01,97.4
1996-07-01,97.6
1996-08-01,97.7
1996-09-01,98
1996-10-01,98.2
1996-11-01,98.6
1996-12-01,98.7
1997-01-01,98.9
1997-02-01,99.3
1997-03-01,99.5
1997-04-01,99.4
1997-05-01,99.5
1997-06-01,99.9
1997-07-01,99.9
1997-08-01,100.1
1997-09-01,100.1
1997-10-01,100.2
1997-11-01,100.2
1997-12-01,100.2
1998-01-01,100.4
1998-02-01,100.6
1998-03-01,100.9
1998-04-01,100.9
1998-05-01,100.9
1998-06-01,101.1
1998-07-01,101
1998-08-01,101.2
1998-09-01,101.5
1998-10-01,101.3
1998-11-01,101.4
1998-12-01,101.4
1999-01-01,101.7
1999-02-01,101.7
1999-03-01,101.7
1999-04-01,101.8
1999-05-01,102
1999-06-01,102.1
1999-07-01,102.1
1999-08-01,102.1
1999-09-01,101.8
1999-10-01,101.9
1999-11-01,102
1999-12-01,102.3
2000-01-01,102.3
2000-02-01,102.4
2000-03-01,102.7
2000-04-01,102.6
2000-05-01,103
2000-06-01,103.4
2000-07-01,103.6
2000-08-01,103.8
2000-09-01,103.9
2000-10-01,103.9
2000-11-01,103.9
2000-12-01,104
2001-01-01,104.1
2001-02-01,104.2
2001-03-01,104.2
2001-04-01,104.8
2001-05-01,104.8
2001-06-01,104.7
2001-07-01,104.9
2001-08-01,105.1
2001-09-01,105.3
2001-10-01,105.4
2001-11-01,105.7
2001-12-01,105.6
2002-01-01,105.7
2002-02-01,105.9
2002-03-01,106
2002-04-01,106.3
2002-05-01,106.2
2002-06-01,106.1
2002-07-01,106.1
2002-08-01,106.3
2002-09-01,106.3
2002-10-01,106.5
2002-11-01,106.5
2002-12-01,106.8
2003-01-01,106.9
2003-02-01,107.1
2003-03-01,107.2
2003-04-01,107.1
2003-05-01,107.4
2003-06-01,107.5
2003-07-01,107.7
2003-08-01,107.7
2003-09-01,107.8
2003-10-01,107.7
2003-11-01,107.9
2003-12-01,108
2004-01-01,108
2004-02-01,108.4
2004-03-01,108.6
2004-04-01,108.7
2004-05-01,108.6
2004-06-01,108.9
2004-07-01,108.7
2004-08-01,108.6
2004-09-01,108.7
2004-10-01,108.8
2004-11-01,108.8
2004-12-01,108.8
2005-01-01,109.1
2005-02-01,109
2005-03-01,108.9
2005-04-01,109
2005-05-01,109.3
2005-06-01,109
2005-07-01,109.1
2005-08-01,109.3
2005-09-01,109.7
2005-10-01,110
2005-11-01,109.9
2005-12-01,110
2006-01-01,110.1
2006-02-01,110.2
2006-03-01,110.5
2006-04-01,110.9
2006-05-01,111
2006-06-01,111.1
2006-07-01,111.3
2006-08-01,111.2
2006-09-01,111.1
2006-10-01,111.2
2006-11-01,111.3
2006-12-01,111.1
2007-01-01,111.208
2007-02-01,111.206
2007-03-01,111.157
2007-04-01,111.315
2007-05-01,111.531
2007-06-01,111.45
2007-07-01,111.279
2007-08-01,111.056
2007-09-01,111.365
2007-10-01,111.802
2007-11-01,111.977
2007-12-01,111.962
2008-01-01,112.315
2008-02-01,112.405
2008-03-01,112.628
2008-04-01,112.675
2008-05-01,112.842
2008-06-01,112.867
2008-07-01,113.194
2008-08-01,113.72
2008-09-01,113.991
2008-10-01,114.225
2008-11-01,114.238
2008-12-01,113.945
2009-01-01,114.078
2009-02-01,114.488
2009-03-01,114.503
2009-04-01,114.064
2009-05-01,114.106
2009-06-01,114.485
2009-07-01,114.527
2009-08-01,114.669
2009-09-01,114.572
2009-10-01,114.218
2009-11-01,114.03
2009-12-01,113.545
2010-01-01,113.569
2010-02-01,113.337
2010-03-01,113.195
2010-04-01,113.54
2010-05-01,113.475
2010-06-01,113.638
2010-07-01,113.577
2010-08-01,113.468
2010-09-01,113.082
2010-10-01,113.088
2010-11-01,113.111
2010-12-01,112.724
2011-01-01,112.894
2011-02-01,113.164
2011-03-01,113.1
2011-04-01,113.12
2011-05-01,113.435
2011-06-01,113.481
2011-07-01,113.353
2011-08-01,113.546
2011-09-01,113.449
2011-10-01,113.387
2011-11-01,113.505
2011-12-01,113.896
2012-01-01,114.486
2012-02-01,114.301
2012-03-01,114.519
2012-04-01,114.404
2012-05-01,114.389
2012-06-01,114.784
2012-07-01,114.665
2012-08-01,114.828
2012-09-01,115.014
