"Date","CUURA427SAC"
1976-01-01,60.7
1976-02-01,NA
1976-03-01,NA
1976-04-01,61.3
1976-05-01,NA
1976-06-01,NA
1976-07-01,62.2
1976-08-01,NA
1976-09-01,NA
1976-10-01,62.9
1976-11-01,NA
1976-12-01,NA
1977-01-01,63.5
1977-02-01,NA
1977-03-01,NA
1977-04-01,64.6
1977-05-01,NA
1977-06-01,NA
1977-07-01,66.3
1977-08-01,NA
1977-09-01,NA
1977-10-01,66
1977-11-01,NA
1977-12-01,NA
1978-01-01,66.6
1978-02-01,NA
1978-03-01,67.2
1978-04-01,NA
1978-05-01,69
1978-06-01,NA
1978-07-01,69.9
1978-08-01,NA
1978-09-01,71.3
1978-10-01,NA
1978-11-01,72.3
1978-12-01,NA
1979-01-01,73.6
1979-02-01,NA
1979-03-01,75.2
1979-04-01,NA
1979-05-01,76.1
1979-06-01,NA
1979-07-01,77.9
1979-08-01,NA
1979-09-01,80.4
1979-10-01,NA
1979-11-01,81.8
1979-12-01,NA
1980-01-01,82.6
1980-02-01,NA
1980-03-01,84.4
1980-04-01,NA
1980-05-01,85.4
1980-06-01,NA
1980-07-01,86.8
1980-08-01,NA
1980-09-01,88.3
1980-10-01,NA
1980-11-01,89.7
1980-12-01,NA
1981-01-01,89.8
1981-02-01,NA
1981-03-01,91
1981-04-01,NA
1981-05-01,91.8
1981-06-01,NA
1981-07-01,92.5
1981-08-01,NA
1981-09-01,94.6
1981-10-01,NA
1981-11-01,95.2
1981-12-01,NA
1982-01-01,95.3
1982-02-01,NA
1982-03-01,97.4
1982-04-01,NA
1982-05-01,98.7
1982-06-01,NA
1982-07-01,100
1982-08-01,NA
1982-09-01,99.9
1982-10-01,NA
1982-11-01,98.5
1982-12-01,NA
1983-01-01,98.3
1983-02-01,NA
1983-03-01,98.2
1983-04-01,NA
1983-05-01,98.4
1983-06-01,NA
1983-07-01,99.5
1983-08-01,NA
1983-09-01,100.6
1983-10-01,NA
1983-11-01,101.8
1983-12-01,NA
1984-01-01,101.1
1984-02-01,NA
1984-03-01,102.1
1984-04-01,NA
1984-05-01,102
1984-06-01,NA
1984-07-01,101.7
1984-08-01,NA
1984-09-01,102.8
1984-10-01,NA
1984-11-01,102.2
1984-12-01,NA
1985-01-01,102.3
1985-02-01,NA
1985-03-01,103.5
1985-04-01,NA
1985-05-01,103.7
1985-06-01,NA
1985-07-01,104.2
1985-08-01,NA
1985-09-01,105.8
1985-10-01,NA
1985-11-01,106.9
1985-12-01,NA
1986-01-01,107.1
1986-02-01,NA
1986-03-01,108.2
1986-04-01,NA
1986-05-01,106.5
1986-06-01,NA
1986-07-01,106
1986-08-01,NA
1986-09-01,105.9
1986-10-01,NA
1986-11-01,106.3
1986-12-01,105.9
