"Date","APUC20074713"
1978-01-01,0.638
1978-02-01,0.635
1978-03-01,0.636
1978-04-01,0.641
1978-05-01,0.651
1978-06-01,0.656
1978-07-01,0.67
1978-08-01,0.687
1978-09-01,0.689
1978-10-01,0.69
1978-11-01,0.697
1978-12-01,0.702
1979-01-01,0.716
1979-02-01,0.733
1979-03-01,0.759
1979-04-01,0.798
1979-05-01,0.848
1979-06-01,0.895
1979-07-01,0.941
1979-08-01,0.957
1979-09-01,1.008
1979-10-01,1.021
1979-11-01,1.045
1979-12-01,1.075
1980-01-01,1.139
1980-02-01,1.202
1980-03-01,1.257
1980-04-01,1.275
1980-05-01,1.293
