"Date","CUURA316SAF11"
1963-11-01,32.2
1963-12-01,32.2
1964-01-01,32.2
1964-02-01,32.2
1964-03-01,32
1964-04-01,32.2
1964-05-01,31.9
1964-06-01,32.2
1964-07-01,32.3
1964-08-01,32.5
1964-09-01,32.5
1964-10-01,32.6
1964-11-01,32.6
1964-12-01,32.5
1965-01-01,32.6
1965-02-01,32.6
1965-03-01,32.7
1965-04-01,32.9
1965-05-01,33.1
1965-06-01,33.7
1965-07-01,34
1965-08-01,34.1
1965-09-01,33.9
1965-10-01,33.9
1965-11-01,34
1965-12-01,34.3
1966-01-01,34.8
1966-02-01,35.2
1966-03-01,35.3
1966-04-01,35.8
1966-05-01,35.4
1966-06-01,35.4
1966-07-01,35.6
1966-08-01,36.1
1966-09-01,35.9
1966-10-01,35.8
1966-11-01,35.8
1966-12-01,35.6
1967-01-01,35.5
1967-02-01,35.2
1967-03-01,34.8
1967-04-01,34.3
1967-05-01,34.5
1967-06-01,34.9
1967-07-01,35.2
1967-08-01,35.3
1967-09-01,34.9
1967-10-01,35
1967-11-01,34.9
1967-12-01,35.2
1968-01-01,35.4
1968-02-01,35.4
1968-03-01,35.7
1968-04-01,35.8
1968-05-01,36
1968-06-01,36.1
1968-07-01,36
1968-08-01,36.2
1968-09-01,36.3
1968-10-01,36.1
1968-11-01,36.1
1968-12-01,36.4
1969-01-01,36.7
1969-02-01,36.4
1969-03-01,36.5
1969-04-01,36.7
1969-05-01,37
1969-06-01,37.7
1969-07-01,38
1969-08-01,38.4
1969-09-01,38.4
1969-10-01,38.1
1969-11-01,38.5
1969-12-01,39
1970-01-01,39.4
1970-02-01,39.7
1970-03-01,39.4
1970-04-01,39.3
1970-05-01,39.3
1970-06-01,39.2
1970-07-01,39.2
1970-08-01,39.6
1970-09-01,39.5
1970-10-01,39.2
1970-11-01,38.6
1970-12-01,38.7
1971-01-01,39
1971-02-01,39
1971-03-01,39.6
1971-04-01,39.7
1971-05-01,39.8
1971-06-01,40
1971-07-01,40.3
1971-08-01,40.6
1971-09-01,40.1
1971-10-01,40.2
1971-11-01,40
1971-12-01,41
1972-01-01,41.1
1972-02-01,41.8
1972-03-01,41.6
1972-04-01,41.3
1972-05-01,41.3
1972-06-01,41.5
1972-07-01,41.9
1972-08-01,42.1
1972-09-01,42.3
1972-10-01,42.5
1972-11-01,42.6
1972-12-01,42.8
1973-01-01,43.9
1973-02-01,45
1973-03-01,46.2
1973-04-01,46.8
1973-05-01,47.3
1973-06-01,48.1
1973-07-01,48.4
1973-08-01,52.4
1973-09-01,51.8
1973-10-01,50.1
1973-11-01,50.7
1973-12-01,51.3
1974-01-01,52.2
1974-02-01,53.9
1974-03-01,54.2
