"Date","CUURA207SEHF02"
1971-05-01,25.7
1971-06-01,25.7
1971-07-01,25.7
1971-08-01,25.8
1971-09-01,25.8
1971-10-01,25.8
1971-11-01,25.8
1971-12-01,26.2
1972-01-01,27.1
1972-02-01,27.1
1972-03-01,27.1
1972-04-01,27.1
1972-05-01,26.7
1972-06-01,26.7
1972-07-01,26.6
1972-08-01,26.5
1972-09-01,26.9
1972-10-01,26.7
1972-11-01,26.8
1972-12-01,27
1973-01-01,27.7
1973-02-01,27.7
1973-03-01,27.6
1973-04-01,27.6
1973-05-01,27.8
1973-06-01,27.8
1973-07-01,27.8
1973-08-01,27.9
1973-09-01,28.5
1973-10-01,28.1
1973-11-01,28.7
1973-12-01,29
1974-01-01,29.5
1974-02-01,29.7
1974-03-01,30.1
1974-04-01,30
1974-05-01,30.1
1974-06-01,30.4
1974-07-01,30.6
1974-08-01,30.7
1974-09-01,31
1974-10-01,31
1974-11-01,31.9
1974-12-01,32.6
1975-01-01,34.1
1975-02-01,34.5
1975-03-01,35.3
1975-04-01,36.9
1975-05-01,37.2
1975-06-01,37
1975-07-01,37.1
1975-08-01,36.7
1975-09-01,36.3
1975-10-01,36.3
1975-11-01,37.2
1975-12-01,37.7
1976-01-01,37.9
1976-02-01,39.3
1976-03-01,41.7
1976-04-01,42.1
1976-05-01,42.8
1976-06-01,43.7
1976-07-01,44.4
1976-08-01,44
1976-09-01,44.8
1976-10-01,43.9
1976-11-01,43.8
1976-12-01,48.2
1977-01-01,48.7
1977-02-01,48.7
1977-03-01,49.7
1977-04-01,53.9
1977-05-01,53.8
1977-06-01,51.4
1977-07-01,51.2
1977-08-01,51.5
1977-09-01,49.5
1977-10-01,50
1977-11-01,50.5
1977-12-01,51.4
1978-01-01,51.3
1978-02-01,51.9
1978-03-01,55.1
1978-04-01,55.3
1978-05-01,55.7
1978-06-01,55
1978-07-01,55.2
1978-08-01,53.5
1978-09-01,54.5
1978-10-01,55
1978-11-01,54.9
1978-12-01,58.4
1979-01-01,60.7
1979-02-01,60.5
1979-03-01,64.3
1979-04-01,63.7
1979-05-01,63.4
1979-06-01,63.7
1979-07-01,66.8
1979-08-01,67.5
1979-09-01,72.3
1979-10-01,72.1
1979-11-01,71.5
1979-12-01,70.3
1980-01-01,75.2
1980-02-01,73.9
1980-03-01,74.9
1980-04-01,70.1
1980-05-01,70.3
1980-06-01,70.5
1980-07-01,71
1980-08-01,70.7
1980-09-01,72.1
1980-10-01,71.7
1980-11-01,72.3
1980-12-01,75.4
1981-01-01,77.7
1981-02-01,77.3
1981-03-01,83.7
1981-04-01,81.6
1981-05-01,80.4
1981-06-01,80.7
1981-07-01,83
1981-08-01,84.7
1981-09-01,84.7
1981-10-01,87.9
1981-11-01,86.5
1981-12-01,85.3
1982-01-01,87.4
1982-02-01,86.6
1982-03-01,88.4
1982-04-01,89.9
1982-05-01,89.2
1982-06-01,88.7
1982-07-01,91.5
1982-08-01,88.6
1982-09-01,90.8
1982-10-01,95.5
1982-11-01,98.4
1982-12-01,98.6
1983-01-01,103
1983-02-01,103.4
1983-03-01,106.7
1983-04-01,107
1983-05-01,108.5
1983-06-01,108.8
1983-07-01,107.2
1983-08-01,109.8
1983-09-01,107.5
1983-10-01,102.7
1983-11-01,107.6
1983-12-01,106.7
1984-01-01,106.5
1984-02-01,102.7
1984-03-01,100.8
1984-04-01,97.9
1984-05-01,96.9
1984-06-01,97.2
1984-07-01,97
1984-08-01,98.5
1984-09-01,100.7
1984-10-01,109.6
1984-11-01,109.9
1984-12-01,109.8
1985-01-01,112.2
1985-02-01,111.8
1985-03-01,111.7
1985-04-01,105.9
1985-05-01,104.7
1985-06-01,104
1985-07-01,104.4
1985-08-01,101.7
1985-09-01,101.2
1985-10-01,100.7
1985-11-01,101.1
1985-12-01,100.3
1986-01-01,99
1986-02-01,98.6
1986-03-01,96.1
1986-04-01,98.2
1986-05-01,97
1986-06-01,96.2
1986-07-01,95.2
1986-08-01,94.3
1986-09-01,94.7
1986-10-01,93.9
1986-11-01,92.3
1986-12-01,92.5
1987-01-01,95.4
1987-02-01,94
1987-03-01,92.4
1987-04-01,93.7
1987-05-01,92.1
1987-06-01,89
1987-07-01,88.2
1987-08-01,87.9
1987-09-01,88
1987-10-01,86.3
1987-11-01,85.2
1987-12-01,88.3
1988-01-01,82.2
1988-02-01,89.1
1988-03-01,91.6
1988-04-01,91.8
1988-05-01,87.5
1988-06-01,83.9
1988-07-01,83.2
1988-08-01,83.3
1988-09-01,83.5
1988-10-01,84.2
1988-11-01,90.3
1988-12-01,94.2
1989-01-01,99.6
1989-02-01,106.1
1989-03-01,101.8
1989-04-01,96
1989-05-01,91
1989-06-01,90
1989-07-01,92
1989-08-01,91.9
1989-09-01,90.8
1989-10-01,91.6
1989-11-01,91.6
1989-12-01,96.7
1990-01-01,100.7
1990-02-01,108.6
1990-03-01,98.9
1990-04-01,92.5
1990-05-01,90.7
1990-06-01,88.5
1990-07-01,89
1990-08-01,87.8
1990-09-01,87.2
1990-10-01,87.8
1990-11-01,95
1990-12-01,106.6
1991-01-01,109.5
1991-02-01,105.2
1991-03-01,95.5
1991-04-01,93.6
1991-05-01,89.9
1991-06-01,88.3
1991-07-01,87.9
1991-08-01,86.5
1991-09-01,87.6
1991-10-01,89.6
1991-11-01,94.7
1991-12-01,97.9
1992-01-01,102
1992-02-01,99.5
1992-03-01,87.7
1992-04-01,90.2
1992-05-01,91
1992-06-01,93.9
1992-07-01,97
1992-08-01,94
1992-09-01,101.3
1992-10-01,104.2
1992-11-01,116
1992-12-01,114.4
1993-01-01,113.4
1993-02-01,111.4
1993-03-01,103.4
1993-04-01,109.4
1993-05-01,114.8
1993-06-01,118.3
1993-07-01,115
1993-08-01,115.8
1993-09-01,116.2
1993-10-01,118.8
1993-11-01,113.3
1993-12-01,116.5
1994-01-01,117.2
1994-02-01,116.3
1994-03-01,118.9
1994-04-01,118.8
1994-05-01,108.7
1994-06-01,110.6
1994-07-01,103.2
1994-08-01,104.7
1994-09-01,101.7
1994-10-01,97
1994-11-01,94.8
1994-12-01,104.1
1995-01-01,102.4
1995-02-01,101.7
1995-03-01,89.7
1995-04-01,89.1
1995-05-01,88.5
1995-06-01,87.3
1995-07-01,87.6
1995-08-01,83.4
1995-09-01,80.3
