"Date","CUSR0000SASL5"
1983-01-01,97.5
1983-02-01,97.9
1983-03-01,98.2
1983-04-01,98.6
1983-05-01,98.7
1983-06-01,98.9
1983-07-01,99.1
1983-08-01,99.3
1983-09-01,99.8
1983-10-01,100.4
1983-11-01,101
1983-12-01,101.4
1984-01-01,102
1984-02-01,102.5
1984-03-01,102.9
1984-04-01,103.2
1984-05-01,103.6
1984-06-01,103.8
1984-07-01,104.4
1984-08-01,105
1984-09-01,105.5
1984-10-01,105.9
1984-11-01,106.3
1984-12-01,106.8
1985-01-01,107.1
1985-02-01,107.6
1985-03-01,108
1985-04-01,108.2
1985-05-01,109
1985-06-01,109.5
1985-07-01,109.8
1985-08-01,110.2
1985-09-01,110.5
1985-10-01,111
1985-11-01,111.6
1985-12-01,112.1
1986-01-01,112.5
1986-02-01,112.9
1986-03-01,113.4
1986-04-01,113.8
1986-05-01,114.2
1986-06-01,114.7
1986-07-01,114.9
1986-08-01,115.1
1986-09-01,115.6
1986-10-01,115.9
1986-11-01,116.1
1986-12-01,116.5
1987-01-01,116.9
1987-02-01,117.2
1987-03-01,117.7
1987-04-01,118.1
1987-05-01,118.4
1987-06-01,118.8
1987-07-01,119.1
1987-08-01,119.7
1987-09-01,120.2
1987-10-01,120.6
1987-11-01,121
1987-12-01,121.3
1988-01-01,121.8
1988-02-01,122.2
1988-03-01,122.6
1988-04-01,123.1
1988-05-01,123.5
1988-06-01,124
1988-07-01,124.4
1988-08-01,124.9
1988-09-01,125.5
1988-10-01,126.1
1988-11-01,126.5
1988-12-01,126.9
1989-01-01,127.4
1989-02-01,127.9
1989-03-01,128.4
1989-04-01,128.8
1989-05-01,129.4
1989-06-01,129.8
1989-07-01,130.5
1989-08-01,130.9
1989-09-01,131.2
1989-10-01,131.7
1989-11-01,132.3
1989-12-01,132.9
1990-01-01,133.4
1990-02-01,133.9
1990-03-01,134.7
1990-04-01,135.2
1990-05-01,135.7
1990-06-01,136.5
1990-07-01,137.2
1990-08-01,138.1
1990-09-01,138.6
1990-10-01,139
1990-11-01,139.6
1990-12-01,140
1991-01-01,141.1
1991-02-01,141.7
1991-03-01,141.9
1991-04-01,142.1
1991-05-01,142.5
1991-06-01,142.9
1991-07-01,143.5
1991-08-01,143.9
1991-09-01,144.4
1991-10-01,145
1991-11-01,145.3
1991-12-01,145.8
1992-01-01,146.2
1992-02-01,146.5
1992-03-01,146.9
1992-04-01,147.4
1992-05-01,147.8
1992-06-01,148.1
1992-07-01,148.5
