"Date","CUUR0000SEEB"
1977-12-01,57.8
1978-01-01,58.2
1978-02-01,58.3
1978-03-01,58.3
1978-04-01,58.3
1978-05-01,58.3
1978-06-01,58.3
1978-07-01,58.4
1978-08-01,58.7
1978-09-01,62.6
1978-10-01,62.7
1978-11-01,62.7
1978-12-01,62.7
1979-01-01,62.7
1979-02-01,62.8
1979-03-01,62.8
1979-04-01,62.9
1979-05-01,62.9
1979-06-01,62.9
1979-07-01,63
1979-08-01,63.3
1979-09-01,68.1
1979-10-01,68.3
1979-11-01,68.3
1979-12-01,68.3
1980-01-01,68.4
1980-02-01,68.5
1980-03-01,68.6
1980-04-01,68.6
1980-05-01,68.6
1980-06-01,68.6
1980-07-01,68.7
1980-08-01,69.1
1980-09-01,76.1
1980-10-01,76.5
1980-11-01,76.5
1980-12-01,76.5
1981-01-01,76.7
1981-02-01,76.7
1981-03-01,76.8
1981-04-01,76.8
1981-05-01,76.8
1981-06-01,76.9
1981-07-01,77.2
1981-08-01,77.6
1981-09-01,85.3
1981-10-01,86.2
1981-11-01,86.2
1981-12-01,86.2
1982-01-01,87
1982-02-01,87.1
1982-03-01,87.4
1982-04-01,87.6
1982-05-01,87.6
1982-06-01,87.6
1982-07-01,87.9
1982-08-01,88.3
1982-09-01,95.8
1982-10-01,96.7
1982-11-01,96.7
1982-12-01,96.7
1983-01-01,96.8
1983-02-01,96.8
1983-03-01,96.8
1983-04-01,96.9
1983-05-01,97
1983-06-01,96.9
1983-07-01,97.2
1983-08-01,97.3
1983-09-01,103.3
1983-10-01,105.8
1983-11-01,105.8
1983-12-01,105.8
1984-01-01,105.8
1984-02-01,106
1984-03-01,106.6
1984-04-01,106.6
1984-05-01,106.6
1984-06-01,106.7
1984-07-01,106.9
1984-08-01,107
1984-09-01,115.8
1984-10-01,116.4
1984-11-01,116.4
1984-12-01,116.4
1985-01-01,116.4
1985-02-01,116.5
1985-03-01,116.5
1985-04-01,116.5
1985-05-01,116.5
1985-06-01,116.6
1985-07-01,116.9
1985-08-01,116.9
1985-09-01,125.3
