"Date","CUURA433SAS"
1976-01-01,41.5
1976-02-01,NA
1976-03-01,NA
1976-04-01,42.3
1976-05-01,NA
1976-06-01,NA
1976-07-01,43.1
1976-08-01,NA
1976-09-01,NA
1976-10-01,43.6
1976-11-01,NA
1976-12-01,NA
1977-01-01,44.6
1977-02-01,NA
1977-03-01,NA
1977-04-01,46.1
1977-05-01,NA
1977-06-01,NA
1977-07-01,47.1
1977-08-01,NA
1977-09-01,NA
1977-10-01,48.3
1977-11-01,NA
1977-12-01,NA
1978-01-01,49.8
1978-02-01,NA
1978-03-01,50.5
1978-04-01,NA
1978-05-01,51.4
1978-06-01,NA
1978-07-01,52.4
1978-08-01,NA
1978-09-01,53.9
1978-10-01,NA
1978-11-01,55.5
1978-12-01,NA
1979-01-01,57.1
1979-02-01,NA
1979-03-01,58.6
1979-04-01,NA
1979-05-01,61.3
1979-06-01,NA
1979-07-01,62.8
1979-08-01,NA
1979-09-01,64.8
1979-10-01,NA
1979-11-01,66.7
1979-12-01,NA
1980-01-01,67.5
1980-02-01,NA
1980-03-01,70.2
1980-04-01,NA
1980-05-01,70.8
1980-06-01,NA
1980-07-01,71.5
1980-08-01,NA
1980-09-01,73.3
1980-10-01,NA
1980-11-01,75.2
1980-12-01,NA
1981-01-01,77.7
1981-02-01,NA
1981-03-01,78.4
1981-04-01,NA
1981-05-01,81.7
1981-06-01,NA
1981-07-01,84.5
1981-08-01,NA
1981-09-01,86.7
1981-10-01,NA
1981-11-01,85.9
1981-12-01,NA
1982-01-01,89.4
1982-02-01,NA
1982-03-01,91.6
1982-04-01,NA
1982-05-01,93.7
1982-06-01,NA
1982-07-01,95.7
1982-08-01,NA
1982-09-01,97.5
1982-10-01,NA
1982-11-01,97.3
1982-12-01,NA
1983-01-01,98.7
1983-02-01,NA
1983-03-01,99.5
1983-04-01,NA
1983-05-01,100.4
1983-06-01,NA
1983-07-01,100.3
1983-08-01,NA
1983-09-01,101.6
1983-10-01,NA
1983-11-01,101.9
1983-12-01,NA
1984-01-01,103.8
1984-02-01,NA
1984-03-01,103.4
1984-04-01,NA
1984-05-01,103.8
1984-06-01,NA
1984-07-01,106.1
1984-08-01,NA
1984-09-01,106.1
1984-10-01,NA
1984-11-01,105
1984-12-01,NA
1985-01-01,106.5
1985-02-01,NA
1985-03-01,106.9
1985-04-01,NA
1985-05-01,107.5
1985-06-01,NA
1985-07-01,109.8
1985-08-01,NA
1985-09-01,108.6
1985-10-01,NA
1985-11-01,109.6
1985-12-01,NA
1986-01-01,112.7
1986-02-01,NA
1986-03-01,110.7
1986-04-01,NA
1986-05-01,111.3
1986-06-01,NA
1986-07-01,112.2
1986-08-01,NA
1986-09-01,113
1986-10-01,NA
1986-11-01,112.3
1986-12-01,112.8
