"Date","CUURA422SS47014"
1976-01-01,45.7
1976-02-01,45
1976-03-01,44.7
1976-04-01,44.4
1976-05-01,44.7
1976-06-01,45.6
1976-07-01,46.3
1976-08-01,46.8
1976-09-01,47.4
1976-10-01,47.3
1976-11-01,47.3
1976-12-01,47.4
1977-01-01,47.6
1977-02-01,47.9
1977-03-01,48.2
1977-04-01,48.4
1977-05-01,48.8
1977-06-01,49.3
1977-07-01,49.2
1977-08-01,49.3
1977-09-01,49.3
1977-10-01,49.2
1977-11-01,48.6
1977-12-01,49.3
1978-01-01,49.4
1978-02-01,49.1
1978-03-01,49.5
1978-04-01,50
1978-05-01,51.2
1978-06-01,52
1978-07-01,52.7
1978-08-01,53.4
1978-09-01,53.9
1978-10-01,53.8
1978-11-01,53.8
1978-12-01,54.3
1979-01-01,54.8
1979-02-01,55.5
1979-03-01,57.5
1979-04-01,62.3
1979-05-01,66.1
1979-06-01,70.5
1979-07-01,73.3
1979-08-01,76.9
1979-09-01,79.3
1979-10-01,80.4
1979-11-01,80.8
1979-12-01,81.5
1980-01-01,86.4
1980-02-01,92.9
1980-03-01,96.5
1980-04-01,97.3
1980-05-01,97.1
1980-06-01,96.9
1980-07-01,96.9
1980-08-01,97.4
1980-09-01,97.2
1980-10-01,96.9
1980-11-01,96.4
1980-12-01,96.6
1981-01-01,98.5
1981-02-01,103.6
1981-03-01,106.4
1981-04-01,107.1
1981-05-01,107.6
1981-06-01,108.8
1981-07-01,109.1
1981-08-01,109.2
1981-09-01,109.1
1981-10-01,108.6
1981-11-01,108
1981-12-01,106.8
1982-01-01,106.5
1982-02-01,105.1
1982-03-01,100.3
1982-04-01,97.8
1982-05-01,97.3
1982-06-01,102.2
1982-07-01,107.3
1982-08-01,106.6
1982-09-01,105.7
1982-10-01,103.8
1982-11-01,101.7
1982-12-01,97.7
1983-01-01,95.4
1983-02-01,92.2
1983-03-01,90.2
1983-04-01,94.1
1983-05-01,100.2
1983-06-01,104.9
1983-07-01,105.8
1983-08-01,105.2
1983-09-01,102
1983-10-01,98.3
1983-11-01,97.2
1983-12-01,98.3
1984-01-01,97.7
1984-02-01,95.7
1984-03-01,96.6
1984-04-01,99.9
1984-05-01,102.5
1984-06-01,101.7
1984-07-01,98.9
1984-08-01,95.9
1984-09-01,96.6
1984-10-01,99.5
1984-11-01,100
1984-12-01,99.3
1985-01-01,96.8
1985-02-01,95.6
1985-03-01,97.5
1985-04-01,100.5
1985-05-01,103.1
1985-06-01,103.7
1985-07-01,103
1985-08-01,99.6
1985-09-01,97.9
1985-10-01,97.7
1985-11-01,96
1985-12-01,96.4
1986-01-01,96.3
1986-02-01,93
1986-03-01,81.7
1986-04-01,76.2
1986-05-01,79.9
1986-06-01,80.9
1986-07-01,74.4
1986-08-01,70.9
1986-09-01,71.9
1986-10-01,68.4
1986-11-01,66.7
1986-12-01,66.7
1987-01-01,67.5
1987-02-01,73.8
1987-03-01,77
1987-04-01,78.1
1987-05-01,78.3
1987-06-01,78.8
1987-07-01,79
1987-08-01,80.5
1987-09-01,81.2
1987-10-01,82.5
1987-11-01,82.4
1987-12-01,82.3
1988-01-01,82.2
1988-02-01,81.7
1988-03-01,81.4
1988-04-01,82.1
1988-05-01,83.9
1988-06-01,84.7
1988-07-01,84.8
1988-08-01,84.6
1988-09-01,85.9
1988-10-01,84.3
1988-11-01,81.6
1988-12-01,79.7
1989-01-01,77.9
1989-02-01,78.3
1989-03-01,81.6
1989-04-01,93.3
1989-05-01,98.2
1989-06-01,97.5
1989-07-01,95.8
1989-08-01,94
1989-09-01,87.5
1989-10-01,86.5
1989-11-01,85.2
1989-12-01,83.9
1990-01-01,85.7
1990-02-01,86.8
1990-03-01,88.7
1990-04-01,90.9
1990-05-01,94.8
1990-06-01,97.7
1990-07-01,98.8
1990-08-01,105
1990-09-01,109.9
1990-10-01,115.1
1990-11-01,117.2
1990-12-01,119.3
1991-01-01,110.4
1991-02-01,101.1
1991-03-01,93.8
1991-04-01,89.4
1991-05-01,96.3
1991-06-01,100.1
1991-07-01,97
1991-08-01,97.2
1991-09-01,99.9
1991-10-01,98.2
1991-11-01,97.4
1991-12-01,96.8
1992-01-01,95.4
1992-02-01,95.6
1992-03-01,95.3
1992-04-01,95.8
1992-05-01,101
1992-06-01,106.1
1992-07-01,107.9
1992-08-01,108.2
1992-09-01,107.7
1992-10-01,107.4
1992-11-01,109.6
1992-12-01,109.3
1993-01-01,109.5
1993-02-01,108.6
1993-03-01,108
1993-04-01,106
1993-05-01,104.9
1993-06-01,104
1993-07-01,102.9
1993-08-01,102.3
1993-09-01,101.6
1993-10-01,105.7
1993-11-01,102.2
1993-12-01,98.5
1994-01-01,96.3
1994-02-01,96
1994-03-01,97.2
1994-04-01,99.3
1994-05-01,100.2
1994-06-01,101.1
1994-07-01,104.3
1994-08-01,106.6
1994-09-01,106.7
1994-10-01,108.6
1994-11-01,108.3
1994-12-01,105.2
1995-01-01,103.6
1995-02-01,103.1
1995-03-01,101.6
1995-04-01,101.9
1995-05-01,104.6
1995-06-01,107.3
1995-07-01,106.2
1995-08-01,104.3
1995-09-01,102.8
1995-10-01,103.6
1995-11-01,103.2
1995-12-01,102.4
1996-01-01,103.2
1996-02-01,104.2
1996-03-01,107.8
1996-04-01,120.3
1996-05-01,123.2
1996-06-01,118.6
1996-07-01,116.5
1996-08-01,112.5
1996-09-01,108.1
1996-10-01,104
1996-11-01,97.6
1996-12-01,94.2
1997-01-01,99.7
1997-02-01,104.7
1997-03-01,106.1
1997-04-01,111.9
1997-05-01,109.6
1997-06-01,106.2
1997-07-01,102.6
1997-08-01,104.6
1997-09-01,110.8
1997-10-01,110.6
1997-11-01,108.2
1997-12-01,105.7
1998-01-01,104.4
1998-02-01,100.2
1998-03-01,94.8
1998-04-01,94.1
1998-05-01,100.3
1998-06-01,99
1998-07-01,97.5
1998-08-01,95.3
1998-09-01,93.1
1998-10-01,91.2
1998-11-01,89.6
1998-12-01,89.5
1999-01-01,88
1999-02-01,86.9
1999-03-01,93.4
1999-04-01,130.3
1999-05-01,121.1
1999-06-01,111.9
1999-07-01,118.4
1999-08-01,128.3
1999-09-01,121.2
1999-10-01,115.2
1999-11-01,110
1999-12-01,111.5
2000-01-01,110.3
2000-02-01,114.7
2000-03-01,139.7
2000-04-01,141.7
2000-05-01,134.2
2000-06-01,132.9
2000-07-01,141.7
2000-08-01,138.4
2000-09-01,150.1
2000-10-01,146.4
2000-11-01,144.7
2000-12-01,138
2001-01-01,130.7
2001-02-01,130.5
2001-03-01,136.3
2001-04-01,144.9
2001-05-01,152
2001-06-01,149.1
2001-07-01,139.2
2001-08-01,124.9
2001-09-01,137
2001-10-01,129.2
2001-11-01,119.9
2001-12-01,103.2
2002-01-01,96
2002-02-01,95.7
2002-03-01,109.2
2002-04-01,124.2
2002-05-01,120.7
2002-06-01,122.8
2002-07-01,125.1
2002-08-01,123.3
2002-09-01,122.1
2002-10-01,119.7
2002-11-01,125.5
2002-12-01,123
2003-01-01,128.7
2003-02-01,144.3
2003-03-01,162.9
2003-04-01,160.1
2003-05-01,144.9
2003-06-01,139.1
2003-07-01,141.6
2003-08-01,145.4
2003-09-01,159.2
2003-10-01,140.7
2003-11-01,129.2
2003-12-01,123.4
2004-01-01,126.3
2004-02-01,140.4
2004-03-01,160.3
2004-04-01,162.1
2004-05-01,170.8
2004-06-01,174.9
2004-07-01,167.2
2004-08-01,158.8
2004-09-01,158.7
2004-10-01,177.4
2004-11-01,177.4
2004-12-01,161.8
2005-01-01,146.4
2005-02-01,154.5
2005-03-01,173.2
2005-04-01,198.7
2005-05-01,194.1
2005-06-01,182.5
2005-07-01,195
2005-08-01,206.2
2005-09-01,226.7
2005-10-01,221.8
2005-11-01,194.3
2005-12-01,168
2006-01-01,176.8
2006-02-01,188.4
2006-03-01,193
2006-04-01,220.7
2006-05-01,250.8
2006-06-01,242.6
2006-07-01,241.5
2006-08-01,236.8
2006-09-01,213.5
2006-10-01,190.7
2006-11-01,185.9
2006-12-01,193.5
2007-01-01,199.471
2007-02-01,207.966
2007-03-01,236.242
2007-04-01,252.504
2007-05-01,263.437
2007-06-01,249.922
2007-07-01,240.839
2007-08-01,225.221
2007-09-01,222.333
2007-10-01,235.057
2007-11-01,258.906
2007-12-01,255.35
2008-01-01,249.372
2008-02-01,247.267
2008-03-01,273.767
2008-04-01,289.952
2008-05-01,305.173
2008-06-01,343.004
2008-07-01,341.219
2008-08-01,313.42
2008-09-01,293.3
2008-10-01,265.333
2008-11-01,181.916
2008-12-01,139.844
2009-01-01,152.794
2009-02-01,167.865
2009-03-01,163.991
2009-04-01,174.711
2009-05-01,190.786
2009-06-01,223.158
2009-07-01,220.067
2009-08-01,228.599
2009-09-01,237.547
2009-10-01,232.163
2009-11-01,227.214
2009-12-01,221.226
2010-01-01,229.8
2010-02-01,223.013
2010-03-01,232.87
2010-04-01,235.535
2010-05-01,236.274
