"Date","CWUR0000SAE"
2001-02-01,104.1
2001-03-01,104.4
2001-04-01,104.2
2001-05-01,104.1
2001-06-01,104.5
2001-07-01,104.9
2001-08-01,105.8
2001-09-01,106.5
2001-10-01,107.1
2001-11-01,106.9
2001-12-01,106.9
2002-01-01,107.1
2002-02-01,107.2
2002-03-01,106.5
2002-04-01,106
2002-05-01,106.5
2002-06-01,106.7
2002-07-01,107.4
2002-08-01,108.6
2002-09-01,109.1
2002-10-01,109
2002-11-01,108.8
2002-12-01,108.8
2003-01-01,109.2
2003-02-01,109.2
2003-03-01,108.9
2003-04-01,108.4
2003-05-01,108
2003-06-01,107.8
2003-07-01,108.2
2003-08-01,109.1
2003-09-01,109.7
2003-10-01,109.7
2003-11-01,109.6
2003-12-01,109.7
2004-01-01,109.8
2004-02-01,110
2004-03-01,109.8
2004-04-01,109.6
2004-05-01,109.2
2004-06-01,109.4
2004-07-01,109.4
2004-08-01,109.9
2004-09-01,110.8
2004-10-01,110.5
2004-11-01,110.6
2004-12-01,110.5
2005-01-01,110.6
2005-02-01,110.7
2005-03-01,110.7
2005-04-01,110.8
2005-05-01,110.6
2005-06-01,110.7
2005-07-01,110.7
2005-08-01,111.1
2005-09-01,112.6
2005-10-01,112.4
2005-11-01,112.7
2005-12-01,112.6
2006-01-01,113.1
2006-02-01,113.1
2006-03-01,113
2006-04-01,113.2
2006-05-01,113
2006-06-01,113.3
2006-07-01,113.5
2006-08-01,114.5
2006-09-01,115.3
2006-10-01,115.4
2006-11-01,114.9
2006-12-01,114.8
2007-01-01,114.703
2007-02-01,114.87
2007-03-01,115.161
2007-04-01,115.28
2007-05-01,115.83
2007-06-01,115.746
2007-07-01,115.98
2007-08-01,116.981
2007-09-01,117.707
2007-10-01,117.891
2007-11-01,117.686
2007-12-01,117.782
2008-01-01,118.097
2008-02-01,118.079
2008-03-01,118.155
2008-04-01,118.462
2008-05-01,118.737
2008-06-01,119.264
2008-07-01,119.852
2008-08-01,120.809
2008-09-01,121.439
2008-10-01,121.569
2008-11-01,121.636
2008-12-01,121.819
2009-01-01,122.025
2009-02-01,122.092
2009-03-01,122.087
2009-04-01,122.152
2009-05-01,122.293
2009-06-01,122.333
2009-07-01,122.699
2009-08-01,123.579
2009-09-01,124.322
2009-10-01,124.362
2009-11-01,124.1
2009-12-01,124.156
2010-01-01,124.293
2010-02-01,124.334
2010-03-01,124.455
2010-04-01,124.559
2010-05-01,124.459
2010-06-01,124.43
2010-07-01,124.687
2010-08-01,125.425
2010-09-01,125.818
2010-10-01,125.617
2010-11-01,125.526
2010-12-01,125.089
2011-01-01,125.065
2011-02-01,125.069
2011-03-01,125.047
2011-04-01,124.993
2011-05-01,124.934
2011-06-01,124.906
2011-07-01,124.994
2011-08-01,125.797
2011-09-01,126.219
2011-10-01,126.415
2011-11-01,126.392
2011-12-01,126.413
2012-01-01,126.735
2012-02-01,126.853
2012-03-01,126.905
2012-04-01,127
2012-05-01,127.175
2012-06-01,127.154
2012-07-01,127.124
2012-08-01,127.315
2012-09-01,127.79
2012-10-01,127.956
2012-11-01,127.92
2012-12-01,127.902
2013-01-01,128.324
2013-02-01,128.58
2013-03-01,128.708
2013-04-01,128.254
2013-05-01,128.216
2013-06-01,128.134
2013-07-01,128.268
2013-08-01,128.797
2013-09-01,129.292
2013-10-01,129.423
2013-11-01,129.394
2013-12-01,129.396
2014-01-01,129.488
2014-02-01,129.451
2014-03-01,129.568
2014-04-01,129.749
2014-05-01,129.672
2014-06-01,129.631
2014-07-01,129.776
2014-08-01,130.208
2014-09-01,130.421
2014-10-01,129.75
2014-11-01,129.377
2014-12-01,129.062
2015-01-01,129.129
2015-02-01,129.062
2015-03-01,129.028
2015-04-01,129.229
2015-05-01,128.8
2015-06-01,128.759
2015-07-01,128.851
2015-08-01,129.389
2015-09-01,130.022
2015-10-01,130.303
2015-11-01,130.529
2015-12-01,130.334
2016-01-01,130.453
2016-02-01,130.084
2016-03-01,130.228
2016-04-01,130.245
2016-05-01,129.861
2016-06-01,129.777
2016-07-01,129.652
2016-08-01,129.966
2016-09-01,129.644
2016-10-01,129.324
2016-11-01,129.372
2016-12-01,129.319
2017-01-01,129.342
2017-02-01,128.932
2017-03-01,125.753
2017-04-01,125.185
2017-05-01,124.958
2017-06-01,124.738
2017-07-01,124.526
2017-08-01,124.732
2017-09-01,125.076
2017-10-01,125.374
2017-11-01,125.574
2017-12-01,125.548
2018-01-01,125.533
2018-02-01,125.172
2018-03-01,124.992
2018-04-01,124.888
2018-05-01,125.22
2018-06-01,125.497
2018-07-01,125.68
2018-08-01,125.841
2018-09-01,126.198
2018-10-01,126.045
2018-11-01,124.982
2018-12-01,124.945
2019-01-01,125.094
2019-02-01,125.2
2019-03-01,125.026
2019-04-01,125.181
2019-05-01,125.132
2019-06-01,125.321
2019-07-01,125.492
2019-08-01,125.893
2019-09-01,126.025
2019-10-01,126.085
2019-11-01,126.506
2019-12-01,126.492
2020-01-01,126.811
2020-02-01,126.879
2020-03-01,126.791
2020-04-01,126.979
2020-05-01,126.936
2020-06-01,126.817
2020-07-01,128.654
2020-08-01,129.148
2020-09-01,129.258
2020-10-01,129.332
2020-11-01,129.361
2020-12-01,129.352
2021-01-01,129.397
2021-02-01,129.503
2021-03-01,129.019
2021-04-01,129.327
2021-05-01,129.523
2021-06-01,129.687
2021-07-01,129.822
2021-08-01,130.229
2021-09-01,130.776
2021-10-01,130.89
2021-11-01,130.845
2021-12-01,130.806
2022-01-01,130.756
2022-02-01,130.669
2022-03-01,130.09
2022-04-01,129.793
2022-05-01,129.661
2022-06-01,129.74
2022-07-01,129.522
2022-08-01,129.82
2022-09-01,129.943
2022-10-01,129.763
2022-11-01,130.805
2022-12-01,130.94
2023-01-01,131.365
2023-02-01,131.276
2023-03-01,131.257
2023-04-01,131.263
2023-05-01,130.871
2023-06-01,130.418
2023-07-01,130.362
2023-08-01,130.519
2023-09-01,130.651
2023-10-01,130.256
2023-11-01,129.759
