"Date","CWUR0000SAE"
1993-01-01,84.9
1993-02-01,84.9
1993-03-01,85
1993-04-01,84.9
1993-05-01,85.1
1993-06-01,85.2
1993-07-01,85.4
1993-08-01,86.2
1993-09-01,87.4
1993-10-01,87.5
1993-11-01,87.6
1993-12-01,87.8
1994-01-01,87.9
1994-02-01,88.2
1994-03-01,88.2
1994-04-01,88.2
1994-05-01,88.3
1994-06-01,88.5
1994-07-01,88.6
1994-08-01,89.3
1994-09-01,90.3
1994-10-01,90.4
1994-11-01,90.4
1994-12-01,90.4
1995-01-01,91.5
1995-02-01,91.4
1995-03-01,91.3
1995-04-01,91.3
1995-05-01,91.3
1995-06-01,91.5
1995-07-01,91.7
1995-08-01,92.5
1995-09-01,93.7
1995-10-01,93.8
1995-11-01,93.8
1995-12-01,94
1996-01-01,94.1
1996-02-01,94.2
1996-03-01,94.4
1996-04-01,94
1996-05-01,94.5
1996-06-01,94.7
1996-07-01,94.8
1996-08-01,95.8
1996-09-01,96.8
1996-10-01,97
1996-11-01,97
1996-12-01,97.1
1997-01-01,97.5
1997-02-01,97.5
1997-03-01,97.6
1997-04-01,97.6
1997-05-01,97.8
1997-06-01,97.9
1997-07-01,98.1
1997-08-01,98.5
1997-09-01,99.7
1997-10-01,99.9
1997-11-01,100
1997-12-01,100
1998-01-01,100
1998-02-01,99.8
1998-03-01,100
1998-04-01,100.1
1998-05-01,100.3
1998-06-01,100.3
1998-07-01,100.2
1998-08-01,100.3
1998-09-01,101.1
1998-10-01,101.1
1998-11-01,101.2
1998-12-01,100.9
1999-01-01,101.2
1999-02-01,101.2
1999-03-01,101
1999-04-01,100.9
1999-05-01,100.7
1999-06-01,100.7
1999-07-01,100.8
1999-08-01,101.5
1999-09-01,102.1
1999-10-01,102.3
1999-11-01,102.5
1999-12-01,102.5
2000-01-01,103
2000-02-01,102.5
2000-03-01,102.2
2000-04-01,102.1
2000-05-01,102.1
2000-06-01,101.7
2000-07-01,102.2
2000-08-01,103
2000-09-01,102.9
2000-10-01,103.7
2000-11-01,103.2
2000-12-01,103.7
2001-01-01,104
