"Date","CUUR0000SERG02"
1997-12-01,100
1998-01-01,99.9
1998-02-01,100.4
1998-03-01,101.5
1998-04-01,102.4
1998-05-01,102.6
1998-06-01,102.6
1998-07-01,102.8
1998-08-01,103.9
1998-09-01,104.3
1998-10-01,103.6
1998-11-01,102.5
1998-12-01,102.5
1999-01-01,102.9
1999-02-01,102.3
1999-03-01,101.2
1999-04-01,101.8
1999-05-01,103.4
1999-06-01,100.6
1999-07-01,98.9
1999-08-01,99
1999-09-01,99.3
1999-10-01,100.1
1999-11-01,100.6
1999-12-01,100.6
2000-01-01,100.6
2000-02-01,101.1
2000-03-01,100.7
2000-04-01,99.8
2000-05-01,100.5
2000-06-01,101.6
2000-07-01,100.9
2000-08-01,100.9
2000-09-01,100.5
2000-10-01,100
2000-11-01,101
2000-12-01,101.3
2001-01-01,100.8
2001-02-01,100.6
2001-03-01,101.1
2001-04-01,101.7
2001-05-01,102
2001-06-01,102.1
2001-07-01,102.5
2001-08-01,102.2
2001-09-01,102
2001-10-01,102.4
2001-11-01,102.5
2001-12-01,103
2002-01-01,103.5
2002-02-01,105
2002-03-01,104.3
2002-04-01,104.2
2002-05-01,105.3
2002-06-01,105.5
2002-07-01,105.6
2002-08-01,104.8
2002-09-01,105.4
2002-10-01,105.4
2002-11-01,105.8
2002-12-01,104.7
2003-01-01,104.7
2003-02-01,104.6
2003-03-01,104.5
2003-04-01,104.4
2003-05-01,104.6
2003-06-01,103.5
2003-07-01,103.5
2003-08-01,103.8
2003-09-01,104.2
2003-10-01,104
2003-11-01,103.5
2003-12-01,104.2
2004-01-01,104.4
2004-02-01,103.5
2004-03-01,104.7
2004-04-01,104.9
2004-05-01,104.6
2004-06-01,104.7
2004-07-01,103.9
2004-08-01,103.6
2004-09-01,104.4
2004-10-01,104.5
2004-11-01,104.6
2004-12-01,104.2
2005-01-01,104.3
2005-02-01,103.6
2005-03-01,103.8
2005-04-01,103.3
2005-05-01,103.9
2005-06-01,104.8
2005-07-01,104.4
2005-08-01,104.1
2005-09-01,103.8
2005-10-01,103.9
2005-11-01,104.2
2005-12-01,102.9
2006-01-01,102.9
2006-02-01,103.8
2006-03-01,103
2006-04-01,103.1
2006-05-01,103.5
2006-06-01,103
2006-07-01,103.1
2006-08-01,103.5
2006-09-01,102.4
2006-10-01,103.6
2006-11-01,103.6
2006-12-01,103.6
