"Date","CUUR0000SERG02"
2007-01-01,103.44
2007-02-01,103.901
2007-03-01,103.884
2007-04-01,103.479
2007-05-01,104.096
2007-06-01,104.415
2007-07-01,104.506
2007-08-01,104.326
2007-09-01,102.987
2007-10-01,104.864
2007-11-01,105.231
2007-12-01,104.305
2008-01-01,104.513
2008-02-01,105.494
2008-03-01,105.333
2008-04-01,105.373
2008-05-01,105.076
2008-06-01,106.648
2008-07-01,105.654
2008-08-01,105.858
2008-09-01,106.233
2008-10-01,107.102
2008-11-01,107.048
2008-12-01,106.299
2009-01-01,106.899
2009-02-01,107.198
2009-03-01,107.272
2009-04-01,106.577
2009-05-01,106.07
2009-06-01,105.9
2009-07-01,106.893
2009-08-01,107.348
2009-09-01,107.431
2009-10-01,107.145
2009-11-01,107.391
2009-12-01,106.493
2010-01-01,106.176
2010-02-01,105.593
2010-03-01,106.07
2010-04-01,106.915
2010-05-01,105.312
2010-06-01,105.663
2010-07-01,105.709
2010-08-01,105.835
2010-09-01,105.715
2010-10-01,105.552
2010-11-01,105.733
2010-12-01,105.098
2011-01-01,105.298
2011-02-01,106.211
2011-03-01,104.623
2011-04-01,103.882
2011-05-01,103.324
2011-06-01,102.781
2011-07-01,103.04
2011-08-01,101.564
2011-09-01,101.882
2011-10-01,102.184
2011-11-01,102.225
2011-12-01,102.471
2012-01-01,102.02
2012-02-01,101.803
2012-03-01,102.155
2012-04-01,102.151
2012-05-01,102.027
2012-06-01,101.039
2012-07-01,101.461
2012-08-01,101.25
2012-09-01,101.036
2012-10-01,99.972
2012-11-01,100.195
2012-12-01,100.332
2013-01-01,100.517
2013-02-01,100.986
2013-03-01,101.881
2013-04-01,101.909
2013-05-01,101.39
2013-06-01,101.364
2013-07-01,101.48
2013-08-01,100.944
2013-09-01,100.47
2013-10-01,100.826
2013-11-01,100.297
2013-12-01,100.051
2014-01-01,100.793
2014-02-01,100.406
2014-03-01,100.567
2014-04-01,101.215
2014-05-01,100.914
2014-06-01,99.979
2014-07-01,99.478
2014-08-01,99.049
2014-09-01,99.204
2014-10-01,100.045
2014-11-01,99.979
2014-12-01,99.132
2015-01-01,99.869
2015-02-01,99.774
2015-03-01,99.764
2015-04-01,100.336
2015-05-01,100.146
2015-06-01,100.473
2015-07-01,99.905
2015-08-01,100.056
2015-09-01,101.49
2015-10-01,100.527
2015-11-01,101.534
2015-12-01,102.841
2016-01-01,101.693
2016-02-01,102.714
2016-03-01,97.719
2016-04-01,97.654
2016-05-01,96.914
2016-06-01,96.729
2016-07-01,95.721
2016-08-01,100.823
2016-09-01,99.166
2016-10-01,98.293
2016-11-01,98.99
2016-12-01,99.481
2017-01-01,99.549
2017-02-01,97.043
2017-03-01,97.238
2017-04-01,96.152
2017-05-01,94.934
2017-06-01,93.14
2017-07-01,94.444
2017-08-01,94.719
2017-09-01,95.444
2017-10-01,95.682
2017-11-01,95.458
2017-12-01,96.292
2018-01-01,96.525
2018-02-01,96.135
2018-03-01,95.254
2018-04-01,97.061
2018-05-01,97.198
2018-06-01,96.42
2018-07-01,96.725
2018-08-01,96.713
2018-09-01,95.247
2018-10-01,95.31
2018-11-01,94.957
2018-12-01,95.586
2019-01-01,97.419
2019-02-01,96.293
2019-03-01,95.684
2019-04-01,96.138
2019-05-01,94.951
2019-06-01,93.414
2019-07-01,94.601
2019-08-01,95.032
2019-09-01,93.871
2019-10-01,96.465
2019-11-01,96.211
2019-12-01,95.611
2020-01-01,95.563
2020-02-01,98.419
2020-03-01,97.037
2020-04-01,95.811
2020-05-01,97.351
2020-06-01,99.258
2020-07-01,98.37
2020-08-01,98.916
2020-09-01,97.76
2020-10-01,99.908
2020-11-01,98.89
2020-12-01,100.111
2021-01-01,99.671
2021-02-01,98.427
2021-03-01,97.039
2021-04-01,98.641
2021-05-01,98.869
2021-06-01,97.778
2021-07-01,98.472
2021-08-01,98.455
2021-09-01,98.605
2021-10-01,97.84
2021-11-01,99.106
2021-12-01,97.559
2022-01-01,98.459
2022-02-01,99.608
2022-03-01,98.116
2022-04-01,99.109
2022-05-01,98.688
2022-06-01,100.273
2022-07-01,98.559
2022-08-01,99.786
2022-09-01,100.043
2022-10-01,97.832
2022-11-01,99.127
2022-12-01,98.988
2023-01-01,98.118
2023-02-01,98.558
2023-03-01,98.692
2023-04-01,100.091
2023-05-01,99.602
2023-06-01,97.165
2023-07-01,98.131
2023-08-01,97.974
2023-09-01,100.17
2023-10-01,99.639
2023-11-01,99.374
