"Date","CUURX000SAH31"
2009-12-01,100
2010-01-01,99.983
2010-02-01,99.98
2010-03-01,100.075
2010-04-01,99.498
2010-05-01,99.649
2010-06-01,98.731
2010-07-01,98.244
2010-08-01,97.955
2010-09-01,97.228
2010-10-01,97.228
2010-11-01,96.81
2010-12-01,96.999
2011-01-01,97.501
2011-02-01,97.89
2011-03-01,97.949
2011-04-01,97.814
2011-05-01,98.082
2011-06-01,98.041
2011-07-01,98.231
2011-08-01,98.374
2011-09-01,98.712
2011-10-01,99.023
2011-11-01,98.801
2011-12-01,98.611
2012-01-01,99.018
2012-02-01,99.359
2012-03-01,99.505
2012-04-01,99.586
2012-05-01,99.469
2012-06-01,99.397
2012-07-01,99.333
2012-08-01,98.652
2012-09-01,98.337
2012-10-01,98.474
2012-11-01,98.844
2012-12-01,98.546
2013-01-01,98.609
2013-02-01,98.815
2013-03-01,98.511
2013-04-01,98.355
2013-05-01,98.686
2013-06-01,98.755
2013-07-01,97.957
2013-08-01,97.631
2013-09-01,97.612
2013-10-01,96.974
2013-11-01,96.591
2013-12-01,96.468
2014-01-01,96.726
2014-02-01,96.829
2014-03-01,96.554
2014-04-01,96.402
2014-05-01,96.493
2014-06-01,96.522
2014-07-01,95.872
2014-08-01,95.338
2014-09-01,95.33
2014-10-01,95.635
2014-11-01,95.194
2014-12-01,94.772
2015-01-01,94.959
2015-02-01,95.242
2015-03-01,95.485
2015-04-01,96.239
2015-05-01,96.325
2015-06-01,95.962
2015-07-01,95.508
2015-08-01,94.921
2015-09-01,95.248
2015-10-01,95.483
2015-11-01,94.974
2015-12-01,94.931
2016-01-01,95.161
2016-02-01,95.29
2016-03-01,95.01
2016-04-01,94.774
2016-05-01,94.481
2016-06-01,94.425
2016-07-01,94.158
2016-08-01,93.585
2016-09-01,93.825
2016-10-01,94.328
2016-11-01,93.741
2016-12-01,93.131
2017-01-01,93.946
2017-02-01,94.044
2017-03-01,94.096
2017-04-01,93.492
2017-05-01,93.361
2017-06-01,92.98
2017-07-01,92.243
2017-08-01,91.762
2017-09-01,91.742
2017-10-01,92.029
2017-11-01,91.081
2017-12-01,90.953
2018-01-01,91.851
2018-02-01,92.236
2018-03-01,92.46
2018-04-01,93.026
2018-05-01,92.439
2018-06-01,92.223
2018-07-01,92.304
2018-08-01,91.988
2018-09-01,92.234
2018-10-01,92.851
2018-11-01,92.812
2018-12-01,92.849
2019-01-01,93.258
2019-02-01,93.795
2019-03-01,93.831
2019-04-01,93.377
2019-05-01,92.99
2019-06-01,93.209
2019-07-01,93.255
2019-08-01,92.548
2019-09-01,92.799
2019-10-01,93.244
2019-11-01,92.893
2019-12-01,92.811
2020-01-01,93.239
2020-02-01,93.481
2020-03-01,93.342
2020-04-01,93.974
2020-05-01,94.404
2020-06-01,94.942
2020-07-01,94.782
2020-08-01,95.253
2020-09-01,95.236
2020-10-01,95.122
2020-11-01,95.847
2020-12-01,95.328
2021-01-01,95.178
2021-02-01,95.161
2021-03-01,95.445
2021-04-01,96.443
2021-05-01,97.842
2021-06-01,97.768
2021-07-01,97.444
2021-08-01,98.141
2021-09-01,99.448
2021-10-01,101.15
2021-11-01,101.439
2021-12-01,102.233
2022-01-01,104.005
2022-02-01,104.946
2022-03-01,105.809
2022-04-01,106.608
2022-05-01,106.708
2022-06-01,107.299
2022-07-01,108.029
2022-08-01,108.868
2022-09-01,109.746
2022-10-01,109.965
2022-11-01,109.927
2022-12-01,109.716
2023-01-01,111.306
2023-02-01,112.81
2023-03-01,113.191
2023-04-01,112.968
2023-05-01,112.149
2023-06-01,112.107
2023-07-01,111.03
2023-08-01,111.37
2023-09-01,111.387
2023-10-01,110.715
2023-11-01,109.5
