"Date","CUUR0000SACE"
1957-01-01,21.4
1957-02-01,21.7
1957-03-01,21.8
1957-04-01,21.7
1957-05-01,21.6
1957-06-01,21.6
1957-07-01,21.7
1957-08-01,21.4
1957-09-01,21.5
1957-10-01,21.5
1957-11-01,21.6
1957-12-01,21.6
1958-01-01,21.6
1958-02-01,21.2
1958-03-01,21.3
1958-04-01,21
1958-05-01,21.1
1958-06-01,21
1958-07-01,21.4
1958-08-01,21.6
1958-09-01,21.5
1958-10-01,21.4
1958-11-01,21.1
1958-12-01,21
1959-01-01,21.1
1959-02-01,21.4
1959-03-01,21.5
1959-04-01,21.5
1959-05-01,21.3
1959-06-01,21.3
1959-07-01,21.2
1959-08-01,21.6
1959-09-01,21.5
1959-10-01,21.9
1959-11-01,21.9
1959-12-01,22
1960-01-01,22
1960-02-01,21.7
1960-03-01,21.8
1960-04-01,21.7
1960-05-01,21.4
1960-06-01,21.6
1960-07-01,21.9
1960-08-01,22.1
1960-09-01,22.1
1960-10-01,22
1960-11-01,22.2
1960-12-01,22.2
1961-01-01,22.3
1961-02-01,22.2
1961-03-01,22.1
1961-04-01,21.5
1961-05-01,21.4
1961-06-01,21.6
1961-07-01,21.8
1961-08-01,22
1961-09-01,22
1961-10-01,21.9
1961-11-01,22
1961-12-01,21.8
1962-01-01,21.9
1962-02-01,22.1
1962-03-01,21.8
1962-04-01,22.2
1962-05-01,21.9
1962-06-01,21.7
1962-07-01,21.4
1962-08-01,21.6
1962-09-01,22.3
1962-10-01,22.2
1962-11-01,22.2
1962-12-01,22.5
1963-01-01,22.4
1963-02-01,22.2
1963-03-01,22.2
1963-04-01,21.9
1963-05-01,21.9
1963-06-01,21.7
1963-07-01,22
1963-08-01,22.2
1963-09-01,22
1963-10-01,22.2
1963-11-01,22.1
1963-12-01,22.2
1964-01-01,22.4
1964-02-01,21.7
1964-03-01,22.1
1964-04-01,21.8
1964-05-01,21.7
1964-06-01,21.8
1964-07-01,21.9
1964-08-01,22
1964-09-01,21.9
1964-10-01,21.9
1964-11-01,21.9
1964-12-01,22.1
1965-01-01,22.3
1965-02-01,22.2
1965-03-01,22.1
1965-04-01,22.5
1965-05-01,22.7
1965-06-01,22.7
1965-07-01,22.8
