"Date","SUUR0000SAM"
1999-12-01,100
2000-01-01,100.5
2000-02-01,101.1
2000-03-01,101.5
2000-04-01,101.7
2000-05-01,102
2000-06-01,102.4
2000-07-01,102.8
2000-08-01,103.1
2000-09-01,103.3
2000-10-01,103.5
2000-11-01,103.6
2000-12-01,104
2001-01-01,104.9
2001-02-01,105.6
2001-03-01,106
2001-04-01,106.3
2001-05-01,106.6
2001-06-01,106.9
2001-07-01,107.1
2001-08-01,107.7
2001-09-01,107.9
2001-10-01,108.3
2001-11-01,108.6
2001-12-01,108.9
2002-01-01,109.7
2002-02-01,110.2
2002-03-01,110.6
2002-04-01,111.1
2002-05-01,111.4
2002-06-01,111.6
2002-07-01,112.3
2002-08-01,112.6
2002-09-01,112.9
2002-10-01,113.5
2002-11-01,114
2002-12-01,114.3
2003-01-01,114.7
2003-02-01,115.1
2003-03-01,115.3
2003-04-01,115.5
2003-05-01,115.8
2003-06-01,116
2003-07-01,116.5
2003-08-01,116.8
2003-09-01,117.2
2003-10-01,117.4
2003-11-01,117.8
2003-12-01,118.3
2004-01-01,119
2004-02-01,119.9
2004-03-01,120.4
2004-04-01,120.6
2004-05-01,120.9
2004-06-01,121.3
2004-07-01,121.7
2004-08-01,121.9
2004-09-01,122.2
2004-10-01,122.6
2004-11-01,122.8
2004-12-01,123.2
2005-01-01,124
2005-02-01,124.9
2005-03-01,125.3
2005-04-01,125.7
2005-05-01,125.9
2005-06-01,126.3
2005-07-01,126.6
2005-08-01,126.7
2005-09-01,127.1
2005-10-01,127.6
2005-11-01,128.2
2005-12-01,128.4
2006-01-01,128.9
2006-02-01,129.8
2006-03-01,130.4
2006-04-01,130.8
2006-05-01,131.1
2006-06-01,131.3
2006-07-01,131.7
2006-08-01,132
2006-09-01,132.3
2006-10-01,132.5
2006-11-01,132.7
2006-12-01,133
2007-01-01,134.167
2007-02-01,135.117
2007-03-01,135.397
2007-04-01,135.855
2007-05-01,136.162
2007-06-01,136.418
2007-07-01,137.091
2007-08-01,137.559
2007-09-01,137.848
2007-10-01,138.455
2007-11-01,138.914
2007-12-01,139.266
2008-01-01,140.248
2008-02-01,140.964
2008-03-01,141.081
2008-04-01,141.201
2008-05-01,141.283
2008-06-01,141.373
2008-07-01,141.548
2008-08-01,141.727
2008-09-01,141.832
2008-10-01,142.236
2008-11-01,142.509
2008-12-01,142.786
2009-01-01,143.76
2009-02-01,144.683
2009-03-01,144.899
2009-04-01,145.223
2009-05-01,145.511
2009-06-01,145.546
2009-07-01,145.765
2009-08-01,145.976
2009-09-01,146.415
2009-10-01,146.8
2009-11-01,147.026
2009-12-01,147.227
2010-01-01,148.365
2010-02-01,149.39
2010-03-01,149.784
2010-04-01,150.004
2010-05-01,149.973
2010-06-01,149.993
2010-07-01,149.966
2010-08-01,150.342
2010-09-01,150.978
2010-10-01,151.172
2010-11-01,151.279
2010-12-01,151.479
2011-01-01,152.264
2011-02-01,153.295
2011-03-01,153.553
2011-04-01,153.916
2011-05-01,154.108
2011-06-01,154.239
2011-07-01,154.505
2011-08-01,154.833
2011-09-01,155.167
2011-10-01,155.824
2011-11-01,156.322
2011-12-01,156.849
2012-01-01,157.69
2012-02-01,158.598
2012-03-01,159.067
2012-04-01,159.495
2012-05-01,160.072
2012-06-01,160.673
2012-07-01,161.267
2012-08-01,161.288
2012-09-01,161.618
2012-10-01,161.855
2012-11-01,161.942
2012-12-01,162.074
2013-01-01,162.805
2013-02-01,163.836
2013-03-01,164.205
2013-04-01,164.027
2013-05-01,163.694
2013-06-01,164.257
2013-07-01,164.473
2013-08-01,165.308
2013-09-01,165.783
2013-10-01,165.789
2013-11-01,165.616
2013-12-01,165.341
2014-01-01,166.347
2014-02-01,167.597
2014-03-01,167.763
2014-04-01,168.027
2014-05-01,168.332
2014-06-01,168.445
2014-07-01,168.638
2014-08-01,168.514
2014-09-01,168.83
2014-10-01,169.01
2014-11-01,169.508
2014-12-01,169.993
2015-01-01,170.609
2015-02-01,171.039
2015-03-01,171.719
2015-04-01,172.838
2015-05-01,172.991
2015-06-01,172.506
2015-07-01,172.628
2015-08-01,172.579
2015-09-01,172.909
2015-10-01,174.109
2015-11-01,174.612
2015-12-01,174.5
2016-01-01,175.772
2016-02-01,177.273
2016-03-01,177.437
2016-04-01,177.869
2016-05-01,178.388
2016-06-01,178.74
2016-07-01,179.489
2016-08-01,181.028
2016-09-01,181.294
2016-10-01,181.302
2016-11-01,181.35
2016-12-01,181.416
2017-01-01,182.282
2017-02-01,183.309
2017-03-01,183.328
