"Date","CUURD300SAS"
1977-12-01,56.7
1978-01-01,NA
1978-02-01,57.9
1978-03-01,NA
1978-04-01,58
1978-05-01,NA
1978-06-01,59.5
1978-07-01,NA
1978-08-01,60.3
1978-09-01,NA
1978-10-01,61.4
1978-11-01,NA
1978-12-01,61.9
1979-01-01,NA
1979-02-01,63.1
1979-03-01,NA
1979-04-01,64
1979-05-01,NA
1979-06-01,65.3
1979-07-01,NA
1979-08-01,67.2
1979-09-01,NA
1979-10-01,68.7
1979-11-01,NA
1979-12-01,70
1980-01-01,NA
1980-02-01,72.4
1980-03-01,NA
1980-04-01,73.6
1980-05-01,NA
1980-06-01,76.6
1980-07-01,NA
1980-08-01,75.2
1980-09-01,NA
1980-10-01,76.6
1980-11-01,NA
1980-12-01,78.3
1981-01-01,NA
1981-02-01,79
1981-03-01,NA
1981-04-01,81.4
1981-05-01,NA
1981-06-01,84.5
1981-07-01,NA
1981-08-01,86.8
1981-09-01,NA
1981-10-01,89.3
1981-11-01,NA
1981-12-01,90.4
1982-01-01,NA
1982-02-01,92.6
1982-03-01,NA
1982-04-01,93.5
1982-05-01,NA
1982-06-01,94.6
1982-07-01,NA
1982-08-01,97.9
1982-09-01,NA
1982-10-01,98.4
1982-11-01,NA
1982-12-01,97.6
1983-01-01,NA
1983-02-01,99.2
1983-03-01,NA
1983-04-01,99.4
1983-05-01,NA
1983-06-01,99.6
1983-07-01,NA
1983-08-01,100.4
1983-09-01,NA
1983-10-01,101.8
1983-11-01,NA
1983-12-01,102.5
1984-01-01,NA
1984-02-01,102.8
1984-03-01,NA
1984-04-01,104
1984-05-01,NA
1984-06-01,104.1
1984-07-01,NA
1984-08-01,104.4
1984-09-01,NA
1984-10-01,105.2
1984-11-01,NA
1984-12-01,106
1985-01-01,NA
1985-02-01,105.3
1985-03-01,NA
1985-04-01,106
1985-05-01,NA
1985-06-01,106.7
1985-07-01,NA
1985-08-01,107.4
1985-09-01,NA
1985-10-01,109.5
1985-11-01,NA
1985-12-01,108.9
1986-01-01,NA
1986-02-01,110.3
1986-03-01,NA
1986-04-01,111.1
1986-05-01,NA
1986-06-01,112
1986-07-01,NA
1986-08-01,112.7
1986-09-01,NA
1986-10-01,113.1
1986-11-01,NA
1986-12-01,114.9
1987-01-01,115.4
1987-02-01,115.5
1987-03-01,116.1
1987-04-01,116
1987-05-01,116.7
1987-06-01,116.7
1987-07-01,117.5
1987-08-01,117.5
