"Date","CWUR0000SAH"
1994-07-01,142.5
1994-08-01,143
1994-09-01,143
1994-10-01,142.8
1994-11-01,142.7
1994-12-01,142.7
1995-01-01,143.5
1995-02-01,144
1995-03-01,144.3
1995-04-01,144.4
1995-05-01,144.6
1995-06-01,145.5
1995-07-01,146.1
1995-08-01,146.5
1995-09-01,146.5
1995-10-01,146.6
1995-11-01,146.4
1995-12-01,146.7
1996-01-01,147.5
1996-02-01,148
1996-03-01,148.5
1996-04-01,148.6
1996-05-01,148.9
1996-06-01,149.6
1996-07-01,150.4
1996-08-01,150.7
1996-09-01,150.8
1996-10-01,150.7
1996-11-01,150.7
1996-12-01,151
1997-01-01,151.8
1997-02-01,152.4
1997-03-01,152.5
1997-04-01,152.4
1997-05-01,152.6
1997-06-01,153.6
1997-07-01,154.1
1997-08-01,154.2
1997-09-01,154.4
1997-10-01,154.4
1997-11-01,154.5
1997-12-01,154.4
1998-01-01,154.8
1998-02-01,155.1
1998-03-01,155.5
1998-04-01,155.8
1998-05-01,156.1
1998-06-01,157
1998-07-01,157.6
1998-08-01,157.7
1998-09-01,157.8
1998-10-01,157.6
1998-11-01,157.7
1998-12-01,157.8
1999-01-01,158.1
1999-02-01,158.4
1999-03-01,158.8
1999-04-01,159.1
1999-05-01,159.2
1999-06-01,160.2
1999-07-01,160.7
1999-08-01,161
1999-09-01,161.3
1999-10-01,161
1999-11-01,161.1
1999-12-01,161.1
2000-01-01,162
2000-02-01,162.9
2000-03-01,163.4
2000-04-01,163.6
2000-05-01,163.9
2000-06-01,165.5
2000-07-01,166.4
2000-08-01,166.6
2000-09-01,167.3
2000-10-01,167.5
2000-11-01,167.6
2000-12-01,168.1
2001-01-01,170.2
2001-02-01,170.5
2001-03-01,171
2001-04-01,171
2001-05-01,171.7
2001-06-01,173
2001-07-01,173.3
2001-08-01,173.5
2001-09-01,173.2
2001-10-01,172.5
2001-11-01,172.8
2001-12-01,172.9
2002-01-01,173.4
2002-02-01,173.9
2002-03-01,174.4
2002-04-01,174.8
2002-05-01,175.1
2002-06-01,176.1
2002-07-01,176.5
2002-08-01,176.9
2002-09-01,177
2002-10-01,176.9
2002-11-01,176.9
2002-12-01,176.9
2003-01-01,177.9
2003-02-01,178.7
2003-03-01,179.9
2003-04-01,179.7
2003-05-01,180
2003-06-01,180.9
2003-07-01,181.4
2003-08-01,181.6
2003-09-01,181.6
2003-10-01,181.3
2003-11-01,180.9
2003-12-01,181
2004-01-01,182.1
2004-02-01,182.6
2004-03-01,183.2
2004-04-01,183.6
2004-05-01,184.1
2004-06-01,185.6
2004-07-01,186.2
2004-08-01,186.6
2004-09-01,186.5
2004-10-01,186.2
2004-11-01,186.4
2004-12-01,186.4
2005-01-01,187.3
2005-02-01,188.1
2005-03-01,188.9
2005-04-01,189.4
2005-05-01,189.7
2005-06-01,190.9
2005-07-01,191.9
2005-08-01,192.3
2005-09-01,192.9
2005-10-01,194.1
2005-11-01,194.4
2005-12-01,194.2
2006-01-01,195.8
2006-02-01,196.1
2006-03-01,196.6
2006-04-01,196.8
2006-05-01,197.4
2006-06-01,198.9
2006-07-01,199.7
2006-08-01,200.3
2006-09-01,200.4
2006-10-01,199.6
2006-11-01,199.9
2006-12-01,200.5
2007-01-01,201.509
2007-02-01,202.37
2007-03-01,203.203
2007-04-01,203.588
2007-05-01,204.033
2007-06-01,205.711
2007-07-01,206.183
2007-08-01,206.054
2007-09-01,206.05
2007-10-01,205.916
2007-11-01,206.288
2007-12-01,206.638
2008-01-01,207.692
2008-02-01,208.268
2008-03-01,209.388
2008-04-01,210.161
2008-05-01,211.191
2008-06-01,213.441
2008-07-01,215.026
2008-08-01,214.743
2008-09-01,213.954
2008-10-01,213.156
2008-11-01,212.591
2008-12-01,212.452
2009-01-01,213.078
2009-02-01,213.192
2009-03-01,213.213
2009-04-01,212.885
2009-05-01,212.881
2009-06-01,214.034
2009-07-01,214.029
2009-08-01,213.824
2009-09-01,213.391
2009-10-01,212.734
2009-11-01,212.327
2009-12-01,212.142
2010-01-01,212.529
2010-02-01,212.401
2010-03-01,212.604
2010-04-01,212.368
2010-05-01,212.518
2010-06-01,213.469
2010-07-01,213.743
2010-08-01,213.603
2010-09-01,213.294
2010-10-01,212.681
2010-11-01,212.49
2010-12-01,212.861
2011-01-01,213.442
2011-02-01,213.931
2011-03-01,214.323
2011-04-01,214.523
2011-05-01,215.135
2011-06-01,216.263
2011-07-01,216.917
2011-08-01,217.235
2011-09-01,217.371
2011-10-01,216.843
2011-11-01,216.723
2011-12-01,217.009
2012-01-01,217.528
2012-02-01,217.717
2012-03-01,218.024
2012-04-01,218.175
2012-05-01,218.446
2012-06-01,219.573
2012-07-01,219.808
2012-08-01,220.226
2012-09-01,220.481
2012-10-01,220.261
2012-11-01,220.454
2012-12-01,220.75
2013-01-01,221.459
2013-02-01,221.972
2013-03-01,222.168
2013-04-01,222.551
2013-05-01,223.51
2013-06-01,224.744
2013-07-01,225.01
2013-08-01,225.198
2013-09-01,225.486
2013-10-01,225.033
2013-11-01,225.134
2013-12-01,225.647
2014-01-01,227.013
2014-02-01,227.627
2014-03-01,228.692
2014-04-01,228.333
2014-05-01,229.335
2014-06-01,230.627
2014-07-01,231.139
2014-08-01,231.229
2014-09-01,231.388
2014-10-01,231.006
2014-11-01,230.944
2014-12-01,231.419
2015-01-01,232.167
2015-02-01,232.601
2015-03-01,232.9
2015-04-01,233.139
2015-05-01,233.512
2015-06-01,235.032
2015-07-01,235.424
2015-08-01,235.747
2015-09-01,236.088
2015-10-01,235.733
2015-11-01,235.695
2015-12-01,235.946
2016-01-01,236.811
2016-02-01,237.246
2016-03-01,237.658
2016-04-01,237.904
2016-05-01,238.883
2016-06-01,240.424
2016-07-01,241.153
2016-08-01,241.692
2016-09-01,242.369
2016-10-01,242.392
2016-11-01,242.443
2016-12-01,243.031
2017-01-01,244.133
2017-02-01,244.847
2017-03-01,245.098
2017-04-01,245.601
2017-05-01,246.454
2017-06-01,247.854
2017-07-01,248.173
2017-08-01,248.9
2017-09-01,249.261
2017-10-01,249.267
2017-11-01,249.487
2017-12-01,250.238
2018-01-01,251.133
2018-02-01,251.946
2018-03-01,252.449
2018-04-01,253.015
2018-05-01,253.94
2018-06-01,254.84
2018-07-01,255.345
2018-08-01,256.061
2018-09-01,256.076
2018-10-01,256.405
2018-11-01,256.739
2018-12-01,257.605
2019-01-01,258.48
2019-02-01,259.071
2019-03-01,259.803
2019-04-01,260.333
2019-05-01,260.983
2019-06-01,262.337
2019-07-01,262.981
2019-08-01,263.156
2019-09-01,263.734
2019-10-01,263.786
2019-11-01,263.944
2019-12-01,264.317
2020-01-01,265.528
2020-02-01,266.227
2020-03-01,266.266
2020-04-01,266.34
2020-05-01,267.019
2020-06-01,268.062
2020-07-01,268.646
2020-08-01,269.09
2020-09-01,269.391
2020-10-01,269.363
2020-11-01,269.743
2020-12-01,270.084
2021-01-01,270.589
2021-02-01,271.341
2021-03-01,272.104
2021-04-01,273.199
2021-05-01,274.641
2021-06-01,276.339
2021-07-01,277.424
2021-08-01,278.304
2021-09-01,279.77
2021-10-01,281.548
2021-11-01,282.461
2021-12-01,283.659
2022-01-01,286.121
2022-02-01,287.639
2022-03-01,289.577
2022-04-01,291.285
2022-05-01,293.946
2022-06-01,297.309
2022-07-01,298.842
2022-08-01,301.184
2022-09-01,303.281
2022-10-01,304.389
2022-11-01,305.277
2022-12-01,307.346
2023-01-01,310.622
2023-02-01,311.833
2023-03-01,312.74
2023-04-01,313.432
2023-05-01,314.256
2023-06-01,316.138
2023-07-01,317.162
2023-08-01,318.045
2023-09-01,319.668
2023-10-01,320.321
2023-11-01,321.136
